"ISO_3"	"name"	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011								"Agric Capacity"		
"AFG"	"Afghanistan"	0.063	0.063	0.063	0.063	0.063	0.063	0.063	0.053	0.079	0.064	0.064	0.072	0.067	0.064	0.063	0.063											
"ALB"	"Albania"	0.471	0.46	0.453	0.458	0.458	0.456	0.449	0.446	0.418	0.459	0.409	0.4	0.394	0.286	0.164	0.164											
"DZA"	"Algeria"	0.111	0.111	0.111	0.111	0.112	0.113	0.114	0.115	0.103	0.146	0.111	0.131	0.138	0.113	0.032	0.032											
"AND"	"Andorra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									"Most recent datum"	"Year"	"Data Count"
"AGO"	"Angola"	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.008	0.004	0.006	0.006	0.014	0.014	0.014									0.06	2010	16
"ATG"	"Antigua and Barbuda"	0	0	0	0	0	0	0	0	0	0	0.005	0.004	0	0.003	0.003	0.003									0.16	2010	16
"ARG"	"Argentina"	0.118	0.117	0.117	0.117	0.116	0.115	0.115	0.114	0.08	0.087	0.076	0.087	0.103	0.075	0.075	0.075									0.03	2010	16
"ARM"	"Armenia"	0.356	0.347	0.342	0.341	0.341	0.348	0.358	0.362	0.32	0.35	0.32	0.341	0.302	0.313	0.119	0.119									0	2010	16
"AUS"	"Australia"	0.084	0.084	0.084	0.084	0.084	0.084	0.084	0.085	0.084	0.096	0.085	0.072	0.073	0.061	0.061	0.061									0.01	2010	16
"AUT"	"Austria"	0.91	0.91	0.91	0.91	0.91	0.91	0.91	0.91	1.013	0.74	0.75	0.23	0.197	0.196	0.196	0.196									0	2010	16
"AZE"	"Azerbaijan"	0.418	0.414	0.412	0.411	0.41	0.409	0.408	0.408	0.398	0.414	0.387	0.394	0.393	0.428	0.335	0.335									0.08	2010	16
"BHS"	"Bahamas"	0.107	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0.12	2010	16
"BHR"	"Bahrain"	0.035	0.03	0.028	0.025	0.03	0.038	0.043	0.04	0.038	0.043	0.033	0.028	0.018	0	0	0									0.06	2010	16
"BGD"	"Bangladesh"	0.828	0.827	0.827	0.827	0.827	0.827	0.827	0.827	0.777	0.793	0.842	0.836	0.817	0.774	0.774	0.774									0.2	2010	16
"BRB"	"Barbados"	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.067	0.116	0.29	0.148	0.188	0.18	0.183	0.183	0.183									0.34	2010	16
"BLR"	"Belarus"	0.369	0.357	0.354	0.344	0.339	0.335	0.334	0.331	0.276	0.32	0.353	0.459	0.435	0.454	0.402	0.402									0	2010	16
"BEL"	"Belgium"	0.016	0.016	0.016	0.016	0.016	0.516	0.516	0.516	0.516	0.516	0.516	0.016	0.017	0.017	0.017	0.017									0	2010	16
"BLZ"	"Belize"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.5	0.5	0.135	0.149	0	0.083	0.083	0.083									0.77	2010	16
"BEN"	"Benin"	0.028	0.028	0.028	0.028	0.027	0.027	0.027	0.027	0.001	0	0	0	0	0	0	0									0.18	2010	16
"BTN"	"Bhutan"	0.09	0.091	0.091	0.091	0.091	0.092	0.092	0.092	0.093	0.093	0.094	0.093	0.094	0.093	0.083	0.083									0.4	2010	16
"BOL"	"Bolivia, Plurinational State of"	0.018	0.018	0.017	0.017	0.017	0.017	0.007	0.007	0.006	0.008	0.011	0.007	0.01	0.009	0.009	0.009									0.02	2010	16
