ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,2.624413219,1.358683095,1.597391009,-0.792229481,-1.663005082,-1.738615918,-1.00782219,-0.398391272,-0.299470279,-0.2590841,0.783153691,1.096106231,1.533432276,1.798724619,1.82012958,1.055515542
DZA,Algeria,-6.917069571,-6.179467287,-6.650260197,-6.298184457,-7.084557425,-5.652981302,-4.364742667,-5.43759135,-5.01757172,-4.466320704,-2.871529013,-2.242015448,-1.673335858,-1.393286788,-2.03608122,-3.029431706
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,-19.16840322,-19.87619668,-20.18442287,-20.22999391,-20.62406236,-20.8244334,-19.4234017,-19.1294784,-17.8478576,-18.15307783,-18.47237895,-18.118236,-18.29792924,-18.21099139,-17.26899272,-18.24034954
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,6.836857644,6.599597892,5.96067411,5.629884251,5.638614691,6.017739543,4.211118962,2.122685241,2.707077527,2.308734379,2.988322119,3.716342279,3.456773281,2.267923113,1.852184299,2.060809183
ARM,Armenia,8.905753737,8.780754528,9.012774612,8.253301817,10.1176659,9.83283044,9.905395411,9.126841021,9.642870662,8.332262004,8.005790135,7.609339489,7.495496118,8.448066042,9.154382662,8.778948055
AUS,Australia,6.839018711,6.716426517,6.63657351,6.287231321,6.000451459,5.828935204,5.751843384,5.594931933,5.635862043,6.132074741,6.014186868,6.380890388,6.662939688,6.673594969,6.454185093,6.497707418
AUT,Austria,4.771525237,4.164013777,3.940752294,3.505592426,4.700591422,4.503897966,4.173975328,3.25364058,3.382037921,3.163863161,2.992617908,2.359460411,2.303285655,2.780910954,2.637541771,2.959081115
AZE,Azerbaijan,3.409475524,3.818598421,5.044769307,4.55323317,4.581639419,4.017171621,4.955559947,4.487546892,3.270813964,2.349638564,0.4016949,-1.234236682,-2.042951207,-1.027232952,-1.157263661,-1.911119339
BHS,Bahamas,-3.504141289,-3.912360877,-4.418792886,-4.3273122,-4.891432342,-4.967683008,-5.394093175,-5.314379702,-6.205121015,-6.033293087,-6.331109083,-6.141125601,-6.185594034,-5.946221743,-7.504943444,-7.549913694
BHR,Bahrain,-10.23825633,-10.55044321,-9.883086779,-9.29446688,-9.148053855,-9.089202809,-8.907235925,-8.60498656,-9.004781409,-8.655785878,-9.492427158,-10.0118565,-9.97484389,-10.12414459,-10.2123804,-9.776744192
BGD,Bangladesh,2.127010244,3.16888236,3.278480073,2.80018851,2.115832782,2.493157761,2.378200604,2.006952236,0.66297983,-1.028282161,0.695310609,0.1826697,-0.529682616,-0.718507276,0.258292343,0.026785644
BRB,Barbados,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,Belarus,3.205477802,2.044795703,1.793278521,0.796211178,0.037299565,-0.69043724,-0.857839763,-1.739455541,-1.56114521,-1.683918582,-0.887396733,-0.599980859,-0.73695061,-0.988460177,-0.495435241,-1.005266722
