ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,"20,769,532.00","21,312,543.72","21,869,752.28","22,441,528.86","23,028,254.32","23,630,319.50","24,232,218.70","24,849,449.16","25,482,401.40","26,131,475.86","26,797,083.21","27,518,809.06","28,259,973.14","29,021,099.00","29,802,724.26",
ALB,Albania,"3,133,759.00","3,105,896.00","3,086,806.00","3,075,628.00","3,069,856.00","3,067,556.00","3,069,383.00","3,076,282.00","3,086,736.00","3,098,677.00","3,110,579.00","3,121,751.00","3,132,458.00","3,143,291.00","3,155,271.00",
DZA,Algeria,"28,265,291.00","28,759,876.00","29,215,667.00","29,646,386.00","30,071,594.00","30,506,054.00","30,954,289.00","31,414,114.00","31,885,435.00","32,366,125.00","32,854,535.00","33,351,478.00","33,858,168.00","34,373,426.00","34,895,470.00",
AND,Andorra,,,,,,,,,"69,740.00","74,598.00","77,712.00","79,886.00","82,180.00","83,810.50","85,168.00",
AGO,Angola,"12,539,131.00","12,887,785.00","13,218,780.00","13,547,401.00","13,895,820.00","14,279,518.00","14,704,383.00","15,164,026.00","15,646,832.00","16,135,465.00","16,617,589.00","17,089,111.00","17,554,585.00","18,020,668.00","18,497,632.00",
ATG,Antigua and Barbuda,"68,158.00","69,968.00","71,828.00","73,679.00","75,462.00","77,134.00","78,658.00","80,024.00","81,260.00","82,418.00","83,534.00","84,612.00","85,641.00","86,634.00","87,600.00",
ARG,Argentina,"34,771,691.00","35,222,503.00","35,670,986.00","36,111,222.00","36,535,442.00","36,938,728.00","37,317,983.00","37,676,467.00","38,023,463.00","38,372,041.00","38,731,603.00","39,105,347.00","39,490,465.00","39,882,980.00","40,276,376.00",
ARM,Armenia,"3,223,169.00","3,172,156.00","3,134,770.00","3,108,982.00","3,090,433.00","3,075,811.00","3,065,426.00","3,060,592.00","3,059,964.00","3,061,844.00","3,064,925.00","3,068,475.00","3,072,450.00","3,077,087.00","3,082,951.00",
AUS,Australia,"18,072,000.00","18,311,000.00","18,517,000.00","18,711,000.00","18,926,000.00","19,153,000.00","19,413,000.00","19,651,400.00","19,895,400.00","20,127,400.00","20,394,800.00","20,697,900.00","21,072,500.00","21,431,800.00","21,874,900.00",
AUT,Austria,"7,953,067.00","7,964,966.00","7,971,116.00","7,982,461.00","8,002,186.00","8,011,560.51","8,043,015.64","8,083,639.30","8,117,800.00","8,174,700.00","8,233,300.00","8,282,424.00","8,300,788.00","8,336,926.00","8,364,095.00",
