ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,-0.046220261,-0.032378311,-0.047250222,-0.078534293,-0.082984259,-0.08225375,-0.065848339,-0.043797286,-0.037985265,-0.038452535,-0.030455216,-0.007218977,0.008078424,0.024736405,0.031934106,0.03451638
DZA,Algeria,-0.171923819,-0.178823965,-0.180341555,-0.179377215,-0.163607817,-0.155730249,-0.133912578,-0.106764446,-0.117452699,-0.097968078,-0.085353995,-0.063413246,-0.055504749,-0.050085167,-0.04296147,-0.044103691
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,-0.214106633,-0.225852558,-0.232706024,-0.233924428,-0.244963862,-0.245976399,-0.217871265,-0.198313771,-0.176899728,-0.173794573,-0.173186098,-0.159959509,-0.156272745,-0.140415491,-0.132971321,-0.128942636
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,-0.001745967,0.020256371,0.019912302,0.016884109,0.024429014,0.029955999,0.017773089,-0.012618709,-0.015166699,-0.02150492,-0.013900234,0.012449654,0.013282791,-0.000359583,-0.008677802,-0.018688035
ARM,Armenia,0.002759281,0.001580545,-0.004246995,-0.000541344,0.003342449,0.028474687,0.04449943,0.053230206,0.050801268,0.053932559,0.057298137,0.06785064,0.078816385,0.106199497,0.125464206,0.116484422
AUS,Australia,0.084920033,0.090343234,0.09408882,0.095751466,0.09992563,0.111050225,0.118703318,0.12530808,0.126092139,0.138032065,0.137011225,0.139915718,0.1463508,0.154043159,0.154022634,0.150405485
AUT,Austria,0.017283854,0.021592887,0.014849289,0.021803933,0.02682414,0.062023362,0.065842194,0.051092985,0.053199648,0.05734014,0.054923479,0.066551829,0.0719225,0.073831219,0.068836375,0.06654113
AZE,Azerbaijan,-0.108805837,-0.107380059,-0.090960007,-0.065294918,-0.0684932,-0.066396739,-0.05994454,-0.049291679,-0.057791651,-0.070825173,-0.078416642,-0.101238162,-0.097338418,-0.083642834,-0.061821069,-0.062487912
BHS,Bahamas,-0.025816603,-0.014683434,-0.000822453,0.011263482,0.014849121,0.014898888,0.022426751,0.028443668,0.016977997,0.020221599,0.022004407,0.018693785,0.028550779,0.021151343,0.019406005,-0.000735916
BHR,Bahrain,-0.124627668,-0.123784479,-0.103268777,-0.083917145,-0.076983985,-0.06633751,-0.051421834,-0.040421162,-0.045038376,-0.035111047,-0.054399585,-0.064525892,-0.061514188,-0.059731274,-0.047583342,-0.044923444
