ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.52,0.52,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.47,0.48,0.48,0.45,0.45
ALB,Albania,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31
DZA,Algeria,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31
AND,Andorra,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18
AGO,Angola,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.34,0.33
ATG,Antigua and Barbuda,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.25,0.25
ARG,Argentina,0.29,0.29,0.29,0.28,0.29,0.29,0.29,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.27
ARM,Armenia,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.35,0.34,0.34,0.35,0.34
AUS,Australia,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
AUT,Austria,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2
AZE,Azerbaijan,0.42,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.38,0.37,0.35,0.33,0.31,0.31,0.3,0.29
BHS,Bahamas,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22
BHR,Bahrain,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2
BGD,Bangladesh,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44
BRB,Barbados,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23
BLR,Belarus,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.3,0.3,0.29,0.28,0.28,0.27
BEL,Belgium,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BLZ,Belize,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
BEN,Benin,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44
BTN,Bhutan,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.35
BOL,Bolivia,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36
BIH,Bosnia and Herzegovina,0.43,0.38,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.32,0.31
BWA,Botswana,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.27
BRA,Brazil,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.3,0.29
BRN,Brunei Darussalam,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
BGR,Bulgaria,0.32,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28
BFA,Burkina Faso,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46
BDI,Burundi,0.54,0.54,0.55,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.55
KHM,Cambodia,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.42
CMR,Cameroon,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41
CAN,Canada,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2
CPV,Cape Verde,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37
CAF,Central African Republic,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.5
TCD,Chad,0.49,0.49,0.49,0.48,0.49,0.49,0.48,0.48,0.47,0.45,0.44,0.45,0.45,0.45,0.45,0.45
CHL,Chile,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27
CHN,China,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.37,0.37,0.36,0.35,0.34,0.33,0.33,0.32
COL,Colombia,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31
COM,Comoros,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
COG,Congo,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36
COD,"Congo,DRC",0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.55,0.55,0.55
CRI,Costa Rica,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29
CIV,Cªte d'Ivoire,0.43,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
HRV,Croatia,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25
CUB,Cuba,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29
CYP,Cyprus,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22
CZE,Czech Republic,0.26,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23
DNK,Denmark,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
DJI,Djibouti,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41
DMA,Dominica,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31
DOM,Dominican Republic,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31
ECU,Ecuador,0.33,0.33,0.33,0.33,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31
EGY,Egypt,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34
