"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"AFG","Afghanistan",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.9,0.9,
"ALB","Albania",6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.5,6.4,6.4,6.4,6.3,6.3,6.3,6.3,
"DZA","Algeria",4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.2,4.1,4.2,4.4,4.4,4.4,4.4,
"AND","Andorra",11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11,11.5,11.2,11.6,11.6,11.6,11.6,
"AGO","Angola",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,
"ATG","Antigua and Barbuda",3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,
"ARG","Argentina",6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,
"ARM","Armenia",12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,11.8,12.3,12.3,12.3,12.3,12.3,12.3,
"AUS","Australia",14.7,14.7,14.7,14.7,14.7,14.7,14.7,15,15.3,15.6,16,16.3,16.1,15.8,15.6,15.6,
"AUT","Austria",13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.5,13.7,13.9,14.2,17.2,17.3,17.3,
"AZE","Azerbaijan",15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.7,15.7,16,16,16,16,
"BHS","Bahamas",6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,
"BHR","Bahrain",8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,11.5,11.6,11.7,6.6,6.6,6.6,
"BGD","Bangladesh",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,
"BRB","Barbados",6.4,6.3,6.3,6.2,6.1,6.3,7.2,7.5,7.9,8.2,8.5,8.5,8.5,8.5,8.5,8.5,
"BLR","Belarus",21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.7,21.9,22.1,22.3,22.3,22.3,22.3,
"BEL","Belgium",23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,22.9,22.6,18,13.5,8.7,6.3,6.3,6.3,
"BLZ","Belize",3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.6,3.6,
