ISO_3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.095273954,0.095273954,0.095273954,0.095273954,0.095273954,0.095273954,0.095273954,0.073921413,0.127740783,0.091884915,0.098778525,0.103785012,0.100824187,0.097540362,0.078429579,0.078429579,0.078429579
ALB,Albania,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.335230071,0.183500666,0.321987932,0.321987932,0.321987932
DZA,Algeria,0.016516267,0.016516267,0.016516267,0.016516267,0.016516267,0.016516267,0.016516267,0.016516267,0.016516267,0.018925106,0.02044679,0.020972125,0.02436394,0.021831978,0.021831978,0.021831978,0.021831978
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966,0.001046966
ARM,Armenia,0.157407838,0.157407838,0.157407838,0.157407838,0.157407838,0.157407838,0.157407838,0.157407838,0.157407838,0.157407838,0.157407838,0.157407838,0.159081109,0.160660258,0.160660258,0.160660258,0.160660258
AUS,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,0.000145082,0.000145082,0.000145082,0.000145082,0.000145082,0.000145082,0.000145082,0.000145082,0.000145082,0.002377294,0.004609506,0.005958066,0.007306627,0.007306627,0.007306627,0.007306627,0.007306627
AZE,Azerbaijan,0.591621686,0.591621686,0.591621686,0.591621686,0.591621686,0.591621686,0.591621686,0.591750697,0.590463026,0.592609446,0.592951935,0.592351659,0.592780763,0.592780763,0.581926528,0.581926528,0.581926528
BHS,Bahamas,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BHR,Bahrain,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGD,Bangladesh ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRB,Barbados,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,Belarus,0.005303261,0.005303261,0.005303261,0.005303261,0.005303261,0.005303261,0.005303261,0.005596699,0.005482452,0.005566277,0.005589497,0.004879916,0.004999039,0,0,0,0
BEL,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BEN,Benin,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BTN,Bhutan,0.11907209,0.11907209,0.11907209,0.11907209,0.11907209,0.11907209,0.11907209,0.11907209,0.11907209,0.118075802,0.117582977,0.117582977,0.117582977,0.117582977,0.117582977,0.117582977,0.117582977
BOL,"Bolivia, Plurinational State of",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BIH,Bosnia and Herzegovina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BWA,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BRN,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,0.009863052,0.009863052,0.009863052,0.009863052,0.009863052,0.009863052,0.009863052,0.009863052,0.009863052,0.005193171,0.000523287,0.004617726,0.008712164,0.008712164,0.008712164,0.008712164,0.008712164
BFA,Burkina Faso,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BDI,Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KHM,Cambodia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
