"ISO_3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"AFG","Afghanistan",3,6.6,10.2,13.8,17.4,21,25,29,33,37,41,43.3,45.7,48,47,46.1,
"ALB","Albania",96,96.2,96.4,96.6,96.8,97,97,97,97,97,97,97,97,97,95.1,93.1,
"DZA","Algeria",93,92.2,91.4,90.6,89.8,89,88.2,87.4,86.6,85.8,85,84.3,83.7,83,81.3,79.7,
"AND","Andorra",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"AGO","Angola",36,37,38,39,40,41,42.2,43.4,44.6,45.8,47,48,49,50,49,48,
"ATG","Antigua and Barbuda",91,91,91,91,91,91,91,91,91,91,89.2,87.4,85.5,83.7,81.9,80.1,
"ARG","Argentina",95,95.2,95.4,95.6,95.8,96,96,96,96,96,96,96.3,96.7,97,95.1,93.1,
"ARM","Armenia",92,92.2,92.4,92.6,92.8,93,93.4,93.8,94.2,94.6,95,95.3,95.7,96,94.1,92.2,
"AUS","Australia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"AUT","Austria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"AZE","Azerbaijan",71,71.6,72.2,72.8,73.4,74,74.6,75.2,75.8,76.4,77,78,79,80,78.4,76.8,
"BHS","Bahamas",96,96,96,96,96,96,96.5,97,97,97,95.1,93.1,91.2,89.2,87.3,85.4,
"BHR","Bahrain",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"BGD","Bangladesh ",78,78.2,78.4,78.6,78.8,79,79.2,79.4,79.6,79.8,80,80,80,80,78.4,76.8,
"BRB","Barbados",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"BLR","Belarus",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"BEL","Belgium",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"BLZ","Belize",82,83.4,84.8,86.2,87.6,89,90,91,91,91,96,97,98,99,97,95,
"BEN","Benin",61,62,63,64,65,66,67.2,68.4,69.6,70.8,72,73,74,75,73.5,72,
"BTN","Bhutan",81.9,83.7,85.5,87.4,89.2,91,91,91,91,91,91,91.3,91.7,92,90.2,88.3,
"BOL","Bolivia, Plurinational State of",75,75.8,76.6,77.4,78.2,79,80,81,82,83,84,84.7,85.3,86,84.3,82.6,
"BIH","Bosnia and Herzegovina",97,97,97,97,97,97,97.2,97.4,97.6,97.8,98,98.3,98.7,99,97,95,
"BWA","Botswana",94,94,94,94,94,94,94.2,94.4,94.6,94.8,95,95,95,95,93.1,91.2,
"BRA","Brazil",91,91.4,91.8,92.2,92.6,93,93.4,93.8,94.2,94.6,95,95.7,96.3,97,95.1,93.1,
"BRN","Brunei Darussalam",99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
"BGR","Bulgaria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"BFA","Burkina Faso",49,51.2,53.4,55.6,57.8,60,62,64,66,68,70,72,74,76,74.5,73,
"BDI","Burundi",71,71.2,71.4,71.6,71.8,72,72,72,72,72,72,72,72,72,70.6,69.1,
"KHM","Cambodia",37,38.8,40.6,42.4,44.2,46,48,50,52,54,56,57.7,59.3,61,59.8,58.6,
"CMR","Cameroon",57,58.4,59.8,61.2,62.6,64,65.4,66.8,68.2,69.6,71,72,73,74,72.5,71,
"CAN","Canada",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"CPV","Cape Verde",82,82.2,82.4,82.6,82.8,83,83.2,83.4,83.6,83.8,84,84,84,84,82.3,80.6,
"CAF","Central African Republic",60,60.6,61.2,61.8,62.4,63,63.4,63.8,64.2,64.6,65,65.7,66.3,67,65.7,64.3,
"TCD","Chad",42,42.6,43.2,43.8,44.4,45,45.8,46.6,47.4,48.2,49,49.3,49.7,50,49,48,
"CHL","Chile",92,92.4,92.8,93.2,93.6,94,94.4,94.8,95.2,95.6,96,96,96,96,94.1,92.2,
"CHN","China",74,75.2,76.4,77.6,78.8,80,81.2,82.4,83.6,84.8,86,87,88,89,87.2,85.4,
"COL","Colombia",90,90.2,90.4,90.6,90.8,91,91.2,91.4,91.6,91.8,92,92,92,92,90.2,88.3,
"COM","Comoros",90,90.4,90.8,91.2,91.6,92,92.6,93.2,93.8,94.4,95,95,95,95,93.1,91.2,
"COG","Congo",63,64.4,65.8,67.2,68.6,70,70.2,70.4,70.6,70.8,71,71,71,71,69.6,68.2,
"COD","Congo, the Democratic Republic of the",25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
"CRI","Costa Rica",94,94.2,94.4,94.6,94.8,95,95.2,95.4,95.6,95.8,96,96.3,96.7,97,95.1,93.1,
"CIV","Côte d'Ivoire",77,77.2,77.4,77.6,77.8,78,78.2,78.4,78.6,78.8,79,79.3,79.7,80,78.4,76.8,
"HRV","Croatia",99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,95,
"CUB","Cuba",86,86.8,87.6,88.4,89.2,90,90.4,90.8,91.2,91.6,92,92.7,93.3,94,92.1,90.2,
"CYP","Cyprus",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"CZE","Czech Republic",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"DNK","Denmark",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"DJI","Djibouti",78,79.2,80.4,81.6,82.8,84,85,86,87,88,89,90,91,92,90.2,88.3,
"DMA","Dominica",95,95,95,95,95,95,96,97,97,97,95,93.1,91.2,89.3,87.4,85.5,
"DOM","Dominican Republic",88,87.8,87.6,87.4,87.2,87,87,87,87,87,87,86.7,86.3,86,84.3,82.6,
"ECU","Ecuador",79,80.4,81.8,83.2,84.6,86,87.2,88.4,89.6,90.8,92,92.7,93.3,94,92.1,90.2,
"EGY","Egypt",93,93.6,94.2,94.8,95.4,96,96.4,96.8,97.2,97.6,98,98.3,98.7,99,97,95,
"SLV","El Salvador",78,78.8,79.6,80.4,81.2,82,82.8,83.6,84.4,85.2,86,86.3,86.7,87,85.3,83.5,
"GNQ","Equatorial Guinea",43,43,43,43,43,43,43,43,43,43,43,42.1,41.3,40.4,39.6,38.7,
"ERI","Eritrea",46,47.6,49.2,50.8,52.4,54,55.2,56.4,57.6,58.8,60,60.3,60.7,61,59.8,58.6,
"EST","Estonia",98,98,98,98,98,98,98,98,98,98,98,98,98,98,96,94.1,
"ETH","Ethiopia",22,23.2,24.4,25.6,26.8,28,29.4,30.8,32.2,33.6,35,36,37,38,37.2,36.5,
"FJI","Fiji",64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,
"FIN","Finland",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"FRA","France",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"GAB","Gabon",84,84.2,84.4,84.6,84.8,85,85.2,85.4,85.6,85.8,86,86.3,86.7,87,85.3,83.5,
"GMB","Gambia",79,80,81,82,83,84,85,86,87,88,89,90,91,92,90.2,88.3,
"GEO","Georgia",82,83.4,84.8,86.2,87.6,89,90.4,91.8,93.2,94.6,96,96.7,97.3,98,96,94.1,
"DEU","Germany",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"GHA","Ghana",63,64.6,66.2,67.8,69.4,71,72.4,73.8,75.2,76.6,78,79.3,80.7,82,80.4,78.7,
"GRC","Greece",98,98.2,98.4,98.6,98.8,99,99.2,99.4,99.6,99.8,100,100,100,100,98,96,
"GRD","Grenada",94,94,94,94,94,94,94.5,95,95,95,93.1,91.2,89.3,87.4,85.5,83.6,
"GTM","Guatemala",86,86.6,87.2,87.8,88.4,89,89.6,90.2,90.8,91.4,92,92.7,93.3,94,92.1,90.2,
"GIN","Guinea",58,58.8,59.6,60.4,61.2,62,63.2,64.4,65.6,66.8,68,69,70,71,69.6,68.2,
"GNB","Guinea-Bissau",52,52.6,53.2,53.8,54.4,55,55.6,56.2,56.8,57.4,58,59,60,61,59.8,58.6,
"GUY","Guyana",87,87.4,87.8,88.2,88.6,89,86,83,83,83,92,92.7,93.3,94,92.1,90.2,
"HTI","Haiti",52,52.6,53.2,53.8,54.4,55,56,57,58,59,60,61,62,63,61.7,60.5,
"HND","Honduras",76,76.8,77.6,78.4,79.2,80,80.8,81.6,82.4,83.2,84,84.7,85.3,86,84.3,82.6,
"HUN","Hungary",97,97.4,97.8,98.2,98.6,99,99.2,99.4,99.6,99.8,100,100,100,100,98,96,
"ISL","Iceland",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"IND","India",76,77,78,79,80,81,81.8,82.6,83.4,84.2,85,86,87,88,86.2,84.5,
"IDN","Indonesia",74,74.6,75.2,75.8,76.4,77,77.6,78.2,78.8,79.4,80,80,80,80,78.4,76.8,
"IRN","Iran, Islamic Republic of",92,92.2,92.4,92.6,92.8,93,91.1,89.3,87.4,85.6,83.7,81.8,80,78.1,76.3,74.4,
"IRQ","Iraq",80,80,80,80,80,80,80,80,80,80,80,79.7,79.3,79,77.4,75.8,
"IRL","Ireland",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"ISR","Israel",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"ITA","Italy",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"JAM","Jamaica",93,93,93,93,93,93,93,93,93,93,93,93.3,93.7,94,92.1,90.2,
"JPN","Japan",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"JOR","Jordan",96,96,96,96,96,96,96,96,96,96,96,96,96,96,94.1,92.2,
"KAZ","Kazakhstan",96,96,96,96,96,96,96,96,96,96,96,95.7,95.3,95,93.1,91.2,
"KEN","Kenya",48,48.8,49.6,50.4,51.2,52,52.8,53.6,54.4,55.2,56,57,58,59,57.8,56.6,
"KIR","Kiribati",54,55.6,57.2,58.8,60.4,62,61.8,61.6,61.4,61.2,61,59.8,58.6,57.3,56.1,54.9,
"PRK","Korea, Democratic People's Republic of",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"KOR","Korea, Republic of",90,90.6,91.2,91.8,92.4,93,93.6,94.2,94.8,95.4,96,96.7,97.3,98,96,94.1,
"KWT","Kuwait",99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,95,
"KGZ","Kyrgyzstan",78,78.8,79.6,80.4,81.2,82,83,84,85,86,87,88,89,90,88.2,86.4,
"LAO","Lao People's Democratic Republic",44,44.8,45.6,46.4,47.2,48,49.2,50.4,51.6,52.8,54,55,56,57,55.9,54.7,
"LVA","Latvia",99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,95,
"LBN","Lebanon",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"LSO","Lesotho",64,66,68,70,72,74,75.8,77.6,79.4,81.2,83,83.7,84.3,85,83.3,81.6,
"LBR","Liberia",61,61.8,62.6,63.4,64.2,65,65.4,65.8,66.2,66.6,67,67.3,67.7,68,66.6,65.3,
"LBY","Libyan Arab Jamahiriya",54,54,54,54,54,54,52.9,51.8,50.8,49.7,48.6,47.5,46.4,45.4,44.3,43.2,
"LIE","Liechtenstein",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"LTU","Lithuania",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
"LUX","Luxembourg",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"MDG","Madagascar",34,34.6,35.2,35.8,36.4,37,37.6,38.2,38.8,39.4,40,40.3,40.7,41,40.2,39.4,
"MWI","Malawi",51,53.4,55.8,58.2,60.6,63,65.2,67.4,69.6,71.8,74,76,78,80,78.4,76.8,
"MYS","Malaysia",92,93,94,95,96,97,97.6,98.2,98.8,99.4,100,100,100,100,98,96,
"MDV","Maldives",90,90.2,90.4,90.6,90.8,91,90.8,90.6,90.4,90.2,90,90.3,90.7,91,89.2,87.4,
"MLI","Mali",36,37.6,39.2,40.8,42.4,44,45.4,46.8,48.2,49.6,51,52.7,54.3,56,54.9,53.8,
"MLT","Malta",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"MHL","Marshall Islands",95,95,95,95,95,95,95,95,95,95,95,94.7,94.3,94,92.1,90.2,
"MRT","Mauritania",36,36.8,37.6,38.4,39.2,40,41,42,43,44,45,46.3,47.7,49,48,47,
"MUS","Mauritius",99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,95,
"MEX","Mexico",88,88.4,88.8,89.2,89.6,90,90.6,91.2,91.8,92.4,93,93.3,93.7,94,92.1,90.2,
"FSM","Micronesia, Federated States of",90,90.4,90.8,91.2,91.6,92,92.4,92.8,93.2,93.6,94,92.1,90.2,88.4,86.5,84.6,
"MDA","Moldova, Republic of",93,92.8,92.6,92.4,92.2,92,91.6,91.2,90.8,90.4,90,90,90,90,88.2,86.4,
"MCO","Monaco",100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,96,
"MKD","Macedonia",90,92,94,96,98,100,100,100,100,100,100,100,100,100,98,96,
"MNG","Mongolia",59,60.4,61.8,63.2,64.6,66,67.4,68.8,70.2,71.6,73,74,75,76,74.5,73,
