ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,70,70,70,70,70,70,70,55,55,55,55,54.3,64.1,55.6,67,68
DZA,Algeria,70,70,70,70,70,70,70,70,70,70,70,74.8,73.7,73.6,72.5,71.2
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,40.00,40.00,40.00,40.00,40.00,40.00,37.80,35.60,33.40,31.20,29.00,26.80,35.30,36.70,43.60,43.40
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,85,85,85,85,85,85,85,70,70,70,70,62.9,63.9,63.7,62.1,62.1
ARM,Armenia,53.90,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,77.60,80.80,81.30,83.70,83.40
AUS,Australia,70,70,70,70,70,70,70,85,85,85,85,90.9,89.1,90.3,90.5,90.3
AUT,Austria,70,70,70,70,70,70,70,70,70,70,70,82,81.7,80.9,78.6,73.6
AZE,Azerbaijan,39.20,40.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,56.70,58.00,62.60,74.60,74.60
BHS,Bahamas,100,100,100,100,100,100,100,100,100,85,85,80,80,80,74.7,73.4
BHR,Bahrain,100,100,100,85,85,85,85,85,85,85,85,80,80,80,79.6,77.8
BGD,Bangladesh,40,40,40,40,40,40,40,40,40,40,40,58.2,59.1,56.5,62.9,59.4
BRB,Barbados,68.60,70.00,70.00,70.00,70.00,70.00,85.00,85.00,85.00,85.00,85.00,90.00,90.00,90.00,90.00,90.00
BLR,Belarus,70,70,70,55,55,55,40,40,40,40,40,54.4,55.7,58.8,63.7,72.1
BEL,Belgium,68.60,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,90.70,92.60,93.70,93.20,92.90
BLZ,Belize,70,70,70,70,70,70,70,70,70,70,70,77.4,77.4,76.5,75.5,74.1
BEN,Benin,68.60,70.00,70.00,70.00,70.00,70.00,70.00,55.00,55.00,55.00,55.00,48.00,48.50,48.10,43.80,42.30
BTN,Bhutan,44.42,45.66,46.89,48.13,49.36,50.59,51.83,53.06,54.30,55.53,56.76,58.00,59.23,60.47,61.70,60.50
BOL,"Bolivia, Plurinational State of",55,55,55,55,55,55,55,55,55,55,55,60.9,59.9,59,58.5,57.3
BIH,Bosnia and Herzegovina,37.60,38.40,39.20,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,55.70,55.40,57.20,59.90,61.30
BWA,Botswana,70,70,70,70,70,70,70,70,85,85,85,69.6,66.1,69.1,71.2,70.5
BRA,Brazil,55,55,70,70,70,70,70,70,70,70,70,53.5,54.2,54,54.4,54.5
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,55,55,55,55,55,55,55,55,55,55,55,70.5,70.3,68.4,73.5,77.8
BFA,Burkina Faso,39.20,40.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,39.20,43.80,50.70,58.70,60.00
BDI,Burundi,52.80,53.90,55.00,55.00,55.00,55.00,52.00,49.00,46.00,43.00,40.00,37.00,49.60,35.50,34.40,37.80
KHM,Cambodia,52.80,53.90,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,43.00,43.50,43.00,42.70,39.90
CMR,Cameroon,55,55,55,55,55,55,55,55,55,55,55,40.3,41,40.3,39.3,37.2
CAN,Canada,85,85,85,85,85,85,85,85,85,85,85,96.9,96.8,96.7,96.5,96.5
CPV,Cape Verde,53.90,55.00,55.00,55.00,55.00,55.00,70.00,70.00,85.00,85.00,85.00,55.70,55.70,55.30,57.10,63.30
CAF,Central African Republic,47.30,48.40,49.50,50.60,51.70,52.80,53.90,55.00,55.00,55.00,55.00,42.10,41.10,40.80,39.50,37.50
