ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
ALB,Albania,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
DZA,Algeria,#DIV/0!,#DIV/0!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AND,Andorra,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AGO,Angola,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,#VALUE!,#VALUE!,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64
ARG,Argentina,#VALUE!,#VALUE!,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915,0.432540915
ARM,Armenia,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,#VALUE!,#VALUE!,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184,0.227721184
AUT,Austria,#VALUE!,#VALUE!,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AZE,Azerbaijan,#VALUE!,#VALUE!,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464,1.223025464
BHS,Bahamas,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,#VALUE!,#VALUE!,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674,1.4461674
BGD,Bangladesh ,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,Barbados,#VALUE!,#VALUE!,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716,19.09930716
BLR,Belarus,#VALUE!,#VALUE!,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718,87.08933718
BEL,Belgium,#VALUE!,#VALUE!,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662,42.3943662
BLZ,Belize,#VALUE!,#VALUE!,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667,30.06666667
BEN,Benin,#VALUE!,#VALUE!,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907,25.11627907
BTN,Bhutan,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,"Bolivia, Plurinational State of",#VALUE!,#VALUE!,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501,10.2168501
BIH,Bosnia and Herzegovina,#VALUE!,#VALUE!,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808,13.02264808
BWA,Botswana,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,#VALUE!,#VALUE!,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875,0.04296875
BFA,Burkina Faso,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,#VALUE!,#VALUE!,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068,1.972319068
KHM,Cambodia,#VALUE!,#VALUE!,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906,22.35701906
CMR,Cameroon,#VALUE!,#VALUE!,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295,0.329997295
CAN,Canada,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,Cape Verde,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,#VALUE!,#VALUE!,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796,4.870746796
TCD,Chad,#VALUE!,#VALUE!,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196,1.189845196
CHL,Chile,#VALUE!,#VALUE!,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515,2.153288515
CHN,China,#VALUE!,#VALUE!,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089,11.21588089
COL,Colombia,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COM,Comoros,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,Congo,#VALUE!,#VALUE!,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756,3.655683756
COD,"Congo, the Democratic Republic of the",#VALUE!,#VALUE!,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756,1.135209756
CRI,Costa Rica,#VALUE!,#VALUE!,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358,1.30686358
CIV,C™te d'Ivoire,#VALUE!,#VALUE!,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327,4.843049327
HRV,Croatia,#VALUE!,#VALUE!,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175,0.478070175
CUB,Cuba,#VALUE!,#VALUE!,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569,0.031174569
CYP,Cyprus,#VALUE!,#VALUE!,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067,3.367906067
CZE,Czech Republic,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,Denmark,#VALUE!,#VALUE!,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342,1.368942342
DJI,Djibouti,#VALUE!,#VALUE!,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846,19.96391846
DMA,Dominica,#VALUE!,#VALUE!,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757,3.956756757
DOM,Dominican Republic,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,Ecuador,#VALUE!,#VALUE!,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575,21.36458575
EGY,Egypt,#VALUE!,#VALUE!,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241,2.965517241
SLV,El Salvador,#VALUE!,#VALUE!,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GNQ,Equatorial Guinea,#VALUE!,#VALUE!,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897,4.104247897
ERI,Eritrea,#VALUE!,#VALUE!,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908,1.547467908
EST,Estonia,#VALUE!,#VALUE!,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414,3.395576414
ETH,Ethiopia,#VALUE!,#VALUE!,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224,3.678707224
FJI,Fiji,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,Finland,#VALUE!,#VALUE!,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034,3.712585034
FRA,France,#VALUE!,#VALUE!,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306,2.66962306
GAB,Gabon,#VALUE!,#VALUE!,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508,0.720637508
GMB,Gambia,#VALUE!,#VALUE!,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901,11.77339901
GEO,Georgia,#VALUE!,#VALUE!,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978,0.884222978
DEU,Germany,#VALUE!,#VALUE!,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845,1.89156845
GHA,Ghana,#VALUE!,#VALUE!,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598,3.439309598
GRC,Greece,#VALUE!,#VALUE!,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088,19.98230088
GRD,Grenada,#VALUE!,#VALUE!,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544,0.648493544
GTM,Guatemala,#VALUE!,#VALUE!,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464,4.283113464
GIN,Guinea,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,Guinea-Bissau,#VALUE!,#VALUE!,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443,4.612761443
GUY,Guyana,#VALUE!,#VALUE!,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235,6.470588235
HTI,Haiti,#VALUE!,#VALUE!,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917,2.034162917
HND,Honduras,#VALUE!,#VALUE!,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911,0.192385911
HUN,Hungary,#VALUE!,#VALUE!,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186,12.26744186
ISL,Iceland,#VALUE!,#VALUE!,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569,4.412243569
IND,India,#VALUE!,#VALUE!,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153,3.953153153
IDN,Indonesia,#VALUE!,#VALUE!,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185,4.49014185
IRN,"Iran, Islamic Republic of",#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRQ,Iraq,#VALUE!,#VALUE!,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573,1.941747573
IRL,Ireland,#VALUE!,#VALUE!,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442,1.925585442
ISR,Israel,#VALUE!,#VALUE!,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952,14.38728952
ITA,Italy,#VALUE!,#VALUE!,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824,1.222727824
JAM,Jamaica,#VALUE!,#VALUE!,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963,3.572275963
JPN,Japan,#VALUE!,#VALUE!,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564,3.826668564
JOR,Jordan,#VALUE!,#VALUE!,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376,8.376068376
KAZ,Kazakhstan,#VALUE!,#VALUE!,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293,3.954337293
KEN,Kenya,#VALUE!,#VALUE!,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862,3.912647862
KIR,Kiribati,#VALUE!,#VALUE!,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737,4.463472737
PRK,"Korea, Democratic People's Republic of",#VALUE!,#VALUE!,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788,2.748570788
KOR,"Korea, Republic of",#VALUE!,#VALUE!,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495,6.96737495
KWT,Kuwait,#VALUE!,#VALUE!,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987,0.448506987
KGZ,Kyrgyzstan,#VALUE!,#VALUE!,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918,67.80821918
LAO,Lao People's Democratic Republic,#VALUE!,#VALUE!,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302,4.389414302
LVA,Latvia,#VALUE!,#VALUE!,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006,5.157163006
