ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,0.130632288,0.130632288,0.131689787,0.132747314,0.124996448,0.117245589,0.165982914,0.214720235,0.190629706,0.224220813,0.208570117,0.211605549,0.181969427,0.172710942,0.195381343,0.174432476,0.189958158,0.189958158
ALB,Albania,0.281803995,0.281803995,0.290042925,0.298281836,0.316692698,0.335103563,0.331874287,0.328645014,0.346249997,0.365576452,0.349365996,0.339752579,0.368048631,0.390589215,0.4017535,0.402752179,0.378541648,0.378541648
DZA,Algeria,0.40400179,0.40400179,0.355030572,0.306059353,0.308157372,0.31025539,0.311470759,0.312686137,0.366379706,0.374848475,0.415604782,0.403507539,0.397493866,0.388335646,0.390793392,0.402182489,0.38637617,0.38637617
AND,Andorra,,,,,,,,,,,,,,,,,,
AGO,Angola,0.268380407,0.268380407,0.252304649,0.236228881,0.216444731,0.196660597,0.234637022,0.272613433,0.239242183,0.24369591,0.233734795,0.25458948,0.235936111,0.243471159,0.212243492,0.232801448,0.227136769,0.227136769
ATG,Antigua and Barbuda,0.680296703,0.680296703,0.682214284,0.684131863,0.683430386,0.682728897,0.675868797,0.669008684,0.666691419,0.667295925,0.653159292,0.75495979,0.75954941,0.763973091,0.769258418,0.766076707,0.761509729,0.761509729
ARG,Argentina,0.457455676,0.457455676,0.460311911,0.463168144,0.447733629,0.432299121,0.414733911,0.397168696,0.395411798,0.408961626,0.413973316,0.420194474,0.420001333,0.405021212,0.396155335,0.411171851,0.421272767,0.421272767
ARM,Armenia,0.405464495,0.405464495,0.379025602,0.352586705,0.361136293,0.369685892,0.369858301,0.370030707,0.389201839,0.378615573,0.373189671,0.382843001,0.354864624,0.373590287,0.386897129,0.367318714,0.375439408,0.375439408
AUS,Australia,0.877147402,0.877147402,0.865215182,0.853282951,0.872289228,0.891295504,0.870987415,0.850679314,0.888997006,0.919453415,0.894811595,0.898338352,0.908244863,0.914393074,0.909214829,0.912745749,0.931563228,0.931563228
AUT,Austria,0.886567302,0.886567302,0.899978113,0.913388909,0.901665497,0.889942058,0.904406261,0.918870455,0.920592034,0.929737358,0.892971072,0.899826417,0.920847343,0.883677169,0.85731428,0.828803275,0.787189971,0.787189971
AZE,Azerbaijan,0.249163858,0.249163858,0.262093902,0.275023937,0.278013372,0.281002813,0.285166597,0.289330401,0.310632283,0.277619943,0.302233881,0.302241943,0.296498156,0.292280423,0.27574336,0.260492882,0.274177909,0.274177909
BHS,Bahamas,0.740399811,0.740399811,0.755089712,0.769779631,0.773455238,0.777130828,0.783490229,0.789849615,0.779861895,0.780490283,0.766125947,0.7752148,0.774034836,0.776022689,0.773267866,0.770956835,0.771768492,0.771768492
BHR,Bahrain,0.533290236,0.533290236,0.526672587,0.520054937,0.54739458,0.574734214,0.614238739,0.653743251,0.589940355,0.605836923,0.59308636,0.548788211,0.550117451,0.549589938,0.546609632,0.548321565,0.546354646,0.546354646
BGD,Bangladesh ,0.353393606,0.353393606,0.38278265,0.412171699,0.361811352,0.311451009,0.28801477,0.264578543,0.233266701,0.20222804,0.217578992,0.21550393,0.290740679,0.297003598,0.300394266,0.300185661,0.300980492,0.300980492
BRB,Barbados,0.771907439,0.771907439,0.773968363,0.776029288,0.776502705,0.776976115,0.768421245,0.759866374,0.763303499,0.746621869,0.761349903,0.752248081,0.767689386,0.761849878,0.766648839,0.786569584,0.852005879,0.852005879
BLR,Belarus,0.31385376,0.31385376,0.343620503,0.37338724,0.386375356,0.399363476,0.371763015,0.34416254,0.359010723,0.315497586,0.325589837,0.374363108,0.363535479,0.370968715,0.367177147,0.351014835,0.352485499,0.352485499
BEL,Belgium,0.762697888,0.762697888,0.763246584,0.763795287,0.777878857,0.791962419,0.790983009,0.790003631,0.776233768,0.770657869,0.768898287,0.749969746,0.759264949,0.763757356,0.787628524,0.799890832,0.815846622,0.815846622
BLZ,Belize,0.497075231,0.497075231,0.485945705,0.474816176,0.467851228,0.46088628,0.455976039,0.451065798,0.474632154,0.446530716,0.446959386,0.422594167,0.424001042,0.432704331,0.492014366,0.482994262,0.448721024,0.448721024
BEN,Benin,0.31385376,0.31385376,0.346956348,0.380058949,0.390752506,0.40144607,0.371522117,0.341598165,0.386215176,0.401223628,0.305866984,0.377370815,0.405983662,0.394441309,0.360696385,0.347863246,0.366235599,0.366235599
BTN,Bhutan,0.588685967,0.588685967,0.616392684,0.644099395,0.610499048,0.576898715,0.596487272,0.61607583,0.650789758,0.623694522,0.649578905,0.631500411,0.647923656,0.653091016,0.663432125,0.665509463,0.648981392,0.648981392
BOL,"Bolivia, Plurinational State of",0.320095785,0.320095785,0.390687907,0.461280027,0.443372428,0.425464833,0.367779994,0.310095147,0.341298069,0.345462083,0.349297624,0.422480762,0.42905507,0.402621498,0.367176612,0.403495835,0.407141224,0.407141224
BIH,Bosnia and Herzegovina,0.430114416,0.430114416,0.437462431,0.444810447,0.423704231,0.402598016,0.416075134,0.429552256,0.43977114,0.437125457,0.460142249,0.441209741,0.424957535,0.429263944,0.42693643,0.435634473,0.43526594,0.43526594
BWA,Botswana,0.61719624,0.61719624,0.629176593,0.64115695,0.637200773,0.633244597,0.627222979,0.621201354,0.749933866,0.675897981,0.728248559,0.678978599,0.688144951,0.697487924,0.679489735,0.696369051,0.694621843,0.694621843
BRA,Brazil,0.485573062,0.485573062,0.492925425,0.500277787,0.502491622,0.504705457,0.503654087,0.502602718,0.520641658,0.510392665,0.467648627,0.474219383,0.476969497,0.496441987,0.478703519,0.510690391,0.53462516,0.53462516
