ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.04,0.05,0.05
ALB,Albania,0.19,0.19,0.19,0.21,0.22,0.23,0.23,0.23,0.23,0.28,0.27,0.26,0.26,0.25,0.25,0.24
DZA,Algeria,0.15,0.17,0.18,0.19,0.20,0.22,0.23,0.25,0.27,0.28,0.30,0.31,0.34,0.39,0.44,0.43
AND,Andorra,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.11,0.11,0.11,0.13,0.14,0.15,0.14,0.14
AGO,Angola,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04
ATG,Antigua and Barbuda,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
ARG,Argentina,0.63,0.65,0.66,0.67,0.70,0.76,0.83,0.88,0.92,0.93,0.92,0.97,0.97,0.95,0.93,0.91
ARM,Armenia,0.23,0.24,0.21,0.27,0.34,0.34,0.36,0.38,0.36,0.37,0.40,0.45,0.49,0.68,0.72,0.71
AUS,Australia,1.00,1.00,1.00,0.95,0.93,0.94,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
AUT,Austria,0.65,0.68,0.71,0.74,0.77,0.80,0.80,0.67,0.68,0.69,0.69,0.70,0.72,0.78,0.77,0.75
AZE,Azerbaijan,0.26,0.25,0.24,0.21,0.22,0.22,0.22,0.22,0.21,0.20,0.21,0.21,0.21,0.21,0.27,0.27
BHS,Bahamas,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
BHR,Bahrain,0.26,0.26,0.28,0.30,0.31,0.30,0.30,0.29,0.29,0.28,0.27,0.27,0.26,0.25,0.25,0.24
BGD,Bangladesh,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.09,0.10,0.11,0.11,0.11
BRB,Barbados,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,Belarus,0.58,0.61,0.63,0.69,0.73,0.76,0.80,0.83,0.86,0.88,0.91,0.94,0.98,1.00,1.00,1.00
BEL,Belgium,0.77,0.79,0.80,0.81,0.81,0.83,0.84,0.85,0.87,0.89,0.89,0.89,0.89,0.90,0.88,0.86
BLZ,Belize,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.09,0.11,0.14,0.16,0.16
BEN,Benin,0.03,0.03,0.04,0.04,0.05,0.05,0.07,0.08,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08
BTN,Bhutan,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.06,0.06,0.07,0.07,0.08,0.09,0.09,0.09
BOL,"Bolivia, Plurinational State of",0.36,0.37,0.40,0.43,0.47,0.51,0.54,0.55,0.58,0.58,0.57,0.56,0.55,0.54,0.53,0.51
BIH,Bosnia and Herzegovina,0.36,0.37,0.38,0.39,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.50,0.53,0.52
BWA,Botswana,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.10,0.11,0.11,0.11,0.11,0.11,0.10,0.10,0.10
BRA,Brazil,0.17,0.17,0.18,0.19,0.21,0.23,0.25,0.29,0.32,0.34,0.36,0.40,0.43,0.49,0.54,0.53
BRN,Brunei Darussalam,0.13,0.14,0.14,0.14,0.18,0.18,0.20,0.20,0.20,0.21,0.21,0.21,0.22,0.23,0.24,0.24
BGR,Bulgaria,0.52,0.59,0.62,0.62,0.65,0.64,0.61,0.57,0.58,0.59,0.63,0.65,0.70,0.73,0.71,0.70
BFA,Burkina Faso,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05
BDI,Burundi,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04
KHM,Cambodia,0.02,0.02,0.02,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.08,0.10,0.14,0.14
CMR,Cameroon,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.08,0.10,0.10,0.11,0.13,0.13
CAN,Canada,1.00,1.00,1.00,0.85,0.86,0.85,0.85,0.86,0.87,0.89,0.87,0.85,0.84,0.82,0.80,0.78
CPV,Cape Verde,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.05,0.06,0.09,0.11,0.12,0.14,0.17,0.21,0.21
