ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,81.7,81.7,81.5,82.1,82.9,80.2,79.5,79.2,83.8,83.6,83.3,81.2,87.3,90.3,92.8,92.6
DZA,Algeria,48.8,48.8,48.8,48.6,48.7,64.7,64.6,65,65.2,74.1,73.9,73.9,73.8,77,77.2,83.5
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,61.60,54.60,52.60,59.10,47.90,53.40,58.65,63.90,69.15,74.40,79.65,84.90,85.00,85.20,85.20,85.10
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,80.7,80.2,80.2,77.7,77.6,74,72.5,72.4,72.2,72.4,72.7,71.5,70.7,70.5,70.3,69.5
ARM,Armenia,74.28,75.80,80.70,80.90,80.30,79.30,81.90,88.30,88.90,90.00,89.90,90.00,89.70,89.00,90.00,89.30
AUS,Australia,59.6,59.3,56.6,56.1,55.7,55.8,55.4,56.4,58.6,59.6,59.1,58.9,59.5,59.2,61.4,61.4
AUT,Austria,46.3,45.9,46.1,46.5,45.5,44.2,44.2,44.5,45.3,43.5,44.4,50.2,50.3,51.2,49.9,51.2
AZE,Azerbaijan,45.37,46.30,54.60,70.30,71.60,71.30,71.80,78.40,78.40,78.30,79.20,80.00,80.80,80.40,79.70,79.50
BHS,Bahamas,97.7,97.8,97.3,97.2,97.2,97.2,97.3,97,96.9,97.1,96.7,96.8,96.6,96.2,96.5,95.2
BHR,Bahrain,99.4,99.4,99.5,99.4,99.4,99.6,99.2,99.3,99.5,99.5,99.5,99.4,99.4,99.7,99.9,99.9
BGD,Bangladesh,44,79.2,70.6,73,77.2,77.2,77.3,77.3,77.2,77.2,84.1,84.1,84.1,84,72.8,72.8
BRB,Barbados,59.58,60.80,60.70,60.30,60.30,58.60,58.80,59.00,60.40,59.80,60.60,67.40,67.40,71.30,70.90,70.10
BLR,Belarus,42,38,38,43.4,44.9,58.3,66,68.2,65.3,75.4,76.2,78.9,81.8,81,79.4,85.2
BEL,Belgium,33.22,33.90,33.70,33.70,33.50,33.10,33.20,33.70,33.70,43.10,42.10,42.80,44.10,43.90,41.50,42.20
BLZ,Belize,63.2,63.3,63.3,63.7,63.6,58.9,83.6,84.5,84.3,84.1,83.9,83.9,69.7,69.3,68.8,68.3
BEN,Benin,70.66,72.10,71.90,71.80,71.70,71.50,71.50,71.40,52.30,52.40,52.20,67.30,67.80,67.50,67.20,75.90
BTN,Bhutan,60.19,61.86,63.54,65.21,66.88,68.55,70.22,71.90,73.57,75.24,76.91,78.58,80.26,81.93,83.60,84.10
BOL,"Bolivia, Plurinational State of",91,89.2,89.1,89.1,88.9,89,88.2,88.7,88.6,88.9,88.9,90.4,88.9,87.8,84.8,84.3
BIH,Bosnia and Herzegovina,74.07,75.65,77.22,78.80,78.80,82.00,67.00,66.80,66.10,70.10,70.10,75.10,74.90,73.70,71.80,83.20
BWA,Botswana,53.7,63.5,75.9,76.6,80.3,77.8,80.4,73.1,69.4,75.9,75.6,73.9,73.9,76.4,75.1,74.1
BRA,Brazil,76.7,66.7,88.3,88.6,88.7,87.2,87,86.3,90.2,90.2,86.2,83.8,68.6,68.6,65.8,68.4
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,46,50.6,48.9,53.5,68,67.9,58.1,68.3,72.4,81.1,80.3,83.2,82.4,82.7,86.2,86.3
BFA,Burkina Faso,65.37,66.70,66.50,66.30,66.10,69.20,73.40,65.90,77.10,77.70,77.60,77.60,77.40,77.50,80.70,80.40
BDI,Burundi,41.86,42.73,43.60,43.70,44.70,44.80,49.02,53.23,57.45,61.67,65.88,70.10,70.10,72.10,72.50,72.20
KHM,Cambodia,88.03,89.87,91.70,91.60,91.60,91.60,91.60,91.30,91.30,91.40,91.30,91.30,91.40,91.40,91.40,91.00
CMR,Cameroon,51.1,51.3,51,50.9,50.9,50.6,50.4,50.4,50.2,50.4,69,69.4,69.5,71.8,69.6,71.8
CAN,Canada,64.2,64.6,38.1,38.1,39.2,40,41.5,71.1,72.7,73.6,75.1,75.3,75.9,75.5,76.6,76.7
CPV,Cape Verde,63.01,64.30,63.60,63.50,64.70,65.00,64.90,64.50,64.20,64.00,81.20,77.10,67.00,66.20,65.50,65.60
CAF,Central African Republic,56.16,57.46,58.77,60.08,61.38,62.69,63.99,65.30,65.40,65.50,65.30,58.80,65.60,65.50,65.40,65.50
TCD,Chad,44.35,45.28,46.20,46.10,46.00,45.90,45.90,45.90,46.00,46.00,50.20,49.80,49.80,49.90,50.50,50.50
CHL,Chile,79.4,89.8,73.5,73,73,73.2,73.7,74,75,78.5,78.3,78.6,78.8,78.1,78.2,77.5
CHN,China,70.6,70.7,70.4,70.5,70.5,70.4,70.4,70.3,66.9,66.4,67.9,70,66.6,66.4,70.6,70.2
COL,Colombia,80.5,80.4,77.3,76.2,75.9,72.4,72.4,72.6,72.5,66.7,66.7,66.6,71.7,72.8,72.9,74.3
COM,Comoros,46.51,47.80,49.10,50.39,51.68,52.97,54.26,55.56,56.85,58.14,59.43,60.72,62.02,63.31,64.60,65.00
COG,Congo,50.90,54.70,54.70,54.50,54.50,54.60,56.68,58.76,60.83,62.91,64.99,67.07,69.14,71.22,73.30,74.00
COD,"Congo, the Democratic Republic of the",48.61,49.60,54.10,54.50,54.50,54.60,54.30,54.50,58.80,59.40,60.20,51.00,59.80,60.10,60.20,60.30
CRI,Costa Rica,82.6,82.5,82.7,82.4,83.2,83.2,83.2,83.3,83.2,83,83,83,83,82.9,82.8,82.4
CIV,C™te d'Ivoire,52.2,52.2,51.9,51.2,50.9,51.8,52.1,52.2,52.4,52.2,52,52.2,52.1,52.3,58.1,78.3
HRV,Croatia,75.85,77.40,74.40,68.30,68.40,68.90,66.90,68.30,77.60,67.30,59.30,69.60,69.90,68.80,68.70,70.30
CUB,Cuba,47.6,47.6,47.6,47.6,47.6,47.6,46.5,46.5,50.9,49.9,46.7,44.2,51.7,54.8,45.9,45.9
CYP,Cyprus,70.46,71.90,71.30,71.10,71.20,71.70,71.40,71.20,70.70,81.40,79.00,79.10,79.40,78.20,76.60,72.70
CZE,Czech Republic,46.7,47.5,53.7,54.7,59.2,58.1,67.5,66.8,67.2,67,68.2,68.8,69.9,71.3,80.2,80.1
DNK,Denmark,30.87,31.50,30.60,30.60,30.30,30.50,31.60,32.20,32.60,33.60,33.90,35.50,34.20,35.00,35.40,35.90
DJI,Djibouti,80.74,82.42,84.10,84.70,84.90,86.00,87.10,78.80,80.10,80.50,80.30,80.30,80.50,80.80,80.80,78.20
DMA,Dominica,48.53,49.88,51.22,52.57,53.92,55.27,56.62,57.96,59.31,60.66,62.01,63.36,64.70,66.05,67.40,67.70
DOM,Dominican Republic,84.3,85.4,85.7,85.7,85.8,85.3,85.3,85.3,85.3,85,84.9,85.4,79.7,80.4,85.2,85.3
ECU,Ecuador,81.8,79,78.2,86.9,87,86.6,90.8,86.7,86.3,85.4,85,86.2,86.5,86.4,85.8,79.3
EGY,Egypt,46,56.2,55.9,56.5,64.9,65.3,66.1,65.6,66.1,66.1,66.1,64.7,90.4,90.8,89.5,89.7
SLV,El Salvador,83.8,83.7,83.6,83.5,83.6,83.7,83.7,83.7,83.7,83.6,83.5,86.2,83.5,83.4,85.7,85.7
GNQ,Equatorial Guinea,82.16,83.94,85.73,87.51,89.30,89.40,89.50,89.60,89.70,89.70,92.70,75.40,75.40,75.40,75.50,75.50
ERI,Eritrea,62.21,63.94,65.66,67.39,69.12,70.85,72.58,74.30,76.03,77.76,79.49,81.22,82.94,84.67,86.40,73.00
EST,Estonia,82,73.2,71.4,72.2,72.8,72.5,79.6,80,80.4,83.8,82.9,83.8,84.5,86,81.5,80.2
ETH,Ethiopia,41,48.8,48.7,48.4,48.3,66.6,66.7,70.3,69.9,70.2,73.5,70.8,77.2,77.2,77.4,77.7
FJI,Fiji,57.1,67.4,71,70.9,71.1,70.8,70.7,70.9,75.4,78.3,78.5,76.9,75.5,74.5,76,75.7
FIN,Finland,57.23,58.40,54.90,38.50,38.40,37.20,55.60,55.60,54.90,57.50,58.00,61.90,63.10,64.30,64.30,65.40
FRA,France,60.8,60.6,38.1,38.2,42.4,35.1,33.9,37.2,41.3,44.3,44.8,46.6,46.3,53.2,50.9,51.9
GAB,Gabon,49.4,52.5,49.9,49.5,53.5,53.1,52.2,53.2,56.4,61.5,61.2,59.7,61.3,61.7,61.7,61.5
GMB,Gambia,69.60,71.05,72.50,72.80,70.50,72.50,72.70,73.00,72.90,73.80,73.50,71.00,72.00,72.50,71.90,71.90
GEO,Georgia,90.16,92.00,92.00,91.70,91.30,90.80,90.90,90.70,90.60,90.60,89.90,94.10,91.20,90.70,86.80,89.10
DEU,Germany,33.2,44,37.8,37.8,38.3,38.6,44.7,53.3,55.7,56.4,58.4,60.8,61.4,58.4,58.5,58.3
GHA,Ghana,66.3,73.8,72.9,73.3,73.2,73.3,73,73.3,74.5,77.5,77.4,75.6,82.5,83.7,83.2,83.5
GRC,Greece,62.5,58,54,53.3,47.6,52.2,50.9,50.1,57.2,58.4,58,61,62.4,65.6,66.5,65.9
GRD,Grenada,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GTM,Guatemala,86.8,84.1,81.5,81.4,84,82.7,86.7,79.8,79.8,79.8,77,79.7,79.8,79.9,79.4,79.3
GIN,Guinea,71.3,71.4,71.4,71.4,71.4,71.3,71.3,71.3,71.2,71.2,71,70.3,74.3,70.1,71.1,69.9
