ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,0.991132265,0.991131983,0.991133761,0.991137082,0.991132265,0.991133668,0.991133668,0.991133666,0.991454343,0.988303145,0.989041169,0.983914586,0.990889821,0.991634626,0.991634626,0.991634626,0.991634626
ALB,Albania,0.619253467,0.619253488,0.619253487,0.619253474,0.619253487,0.619253488,0.619253463,0.619253485,0.620101218,0.601684261,0.662264132,0.69717092,0.693293266,0.812282453,0.725145739,0.725145739,0.725145739
DZA,Algeria,0.967637933,0.967637932,0.967637929,0.967637903,0.967637919,0.967637919,0.967637914,0.967637914,0.976737532,0.927799545,0.971201851,0.956357308,0.950414083,0.967642222,0.969472336,0.969472336,0.969472336
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.924609119,0.92460912,0.924609116,0.924609126,0.924609125,0.924609127,0.924609124,0.924609117,0.896001514,0.883277514,0.897989649,0.884925085,0.863524241,0.902467608,0.935912482,0.935912482,0.935912482
ARM,Armenia,0.834988389,0.834988389,0.834988389,0.834988389,0.834988389,0.834988389,0.834988389,0.834988389,0.863801575,0.842169707,0.864565312,0.851544975,0.882118738,0.874536241,0.846529827,0.846529827,0.846529827
AUS,Australia,0.881522888,0.881522888,0.881522888,0.881522888,0.881522888,0.881522888,0.881522888,0.881522888,0.88249527,0.864377553,0.880223068,0.900266059,0.896825487,0.915370025,0.927616569,0.927616569,0.927616569
AUT,Austria,0.499927459,0.499927459,0.499927459,0.499927459,0.499927459,0.499927459,0.499927459,0.499927459,0.499927459,0.672041872,0.659946509,0.671643165,0.721878525,0.722234605,0.788500224,0.788500224,0.788500224
AZE,Azerbaijan,0.678100425,0.678100437,0.678100439,0.678100431,0.678100416,0.678100422,0.678100422,0.678035916,0.685658037,0.673746903,0.670119254,0.670471369,0.666106918,0.651260152,0.675122645,0.675122645,0.675122645
BHS,Bahamas,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BHR,Bahrain,0.325,0.35,0.3625,0.375,0.35,0.3125,0.3125,0.3125,0.3725,0.3125,0.3125,0.3125,0.6975,0.3125,0.3125,0.3125,0.3125
BGD,Bangladesh ,0.526065876,0.52648867,0.526803116,0.52712816,0.527487548,0.527693482,0.527693482,0.527693482,0.597805033,0.574489344,0.503891628,0.515873217,0.537283356,0.565604067,0.497016706,0.497016706,0.497016706
BRB,Barbados,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,Belarus,0.657382204,0.657382206,0.6573822,0.657382206,0.681229,0.700177337,0.707181742,0.719855685,0.733315532,0.74789278,0.755501007,0.760136757,0.769035179,0.775575598,0.783098846,0.783098846,0.783098846
BEL,Belgium,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
BLZ,Belize,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BEN,Benin,0.956681099,0.956839744,0.956964286,0.957061111,0.957061111,0.957061111,0.957061111,0.957061111,0.995972117,0.99784596,0.997965741,0.997965741,0.997965741,0.997965741,0.997965741,0.997965741,0.997965741
BTN,Bhutan,0.95982148,0.958710369,0.957969628,0.957599258,0.957043702,0.955839999,0.955839999,0.955839999,0.955539999,0.954667969,0.952851563,0.955019685,0.953326772,0.936549296,0.918708515,0.918708515,0.918708515
BOL,"Bolivia, Plurinational State of",0.934241129,0.935187075,0.939398527,0.941099237,0.941741129,0.939241129,0.939241129,0.939241129,0.940811042,0.937339341,0.933817656,0.938915783,0.934370324,0.936363889,0.934910977,0.934910977,0.934910977
BIH,Bosnia and Herzegovina,0.418254764,0.418254764,0.418254764,0.418254764,0.418254764,0.418254764,0.418254764,0.418254764,0.455857915,0.353893482,0.438407317,0.461290166,0.446749022,0.470324901,0.438708626,0.438708626,0.438708626
BWA,Botswana,0.72826087,0.731884058,0.69425,0.635108696,0.62,0.808,0.604375,0.680306122,0.620897436,0.659111111,0.6965625,0.706666667,0.7165,0.6629,0.6629,0.6629,0.6629
BRA,Brazil,0.344900759,0.338318568,0.338648708,0.3387272,0.339407009,0.340086818,0.348164254,0.349598773,0.257036079,0.246876281,0.335983607,0.323546803,0.214091885,0.26487656,0.364697516,0.364697516,0.364697516
BRN,Brunei Darussalam,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.62125,0.5,0.835,0.5,0.754166667,0.800833333,0.800833333,0.800833333
BGR,Bulgaria,0.75557374,0.763983548,0.765892126,0.712263057,0.710647453,0.74897518,0.759980515,0.756089352,0.75728634,0.795273928,0.814158457,0.810872801,0.740703046,0.719135964,0.577098198,0.577098198,0.577098198
BFA,Burkina Faso,0.984661864,0.984661864,0.984661864,0.984661864,0.984661864,0.984661864,0.984661864,0.984661864,0.958370871,0.955947834,0.947242776,0.954244838,0.961949165,0.963043647,0.962916024,0.962916024,0.962916024
BDI,Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KHM,Cambodia,0.97739527,0.97739527,0.97714527,0.975030405,0.972902027,0.970800676,0.970800676,0.970800676,0.97572027,0.97195,0.93489527,0.930862891,0.932197102,0.970550762,0.967518711,0.967518711,0.967518711
CMR,Cameroon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CAN,Canada,0.463389798,0.465333278,0.463923524,0.462334706,0.460204172,0.458088834,0.456777233,0.45537117,0.450699537,0.460011229,0.440589957,0.476212178,0.44229511,0.456035298,0.476770664,0.476770664,0.476770664
CPV,Cape Verde,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CAF,Central African Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TCD,Chad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CHL,Chile,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004,0.452751004
CHN,China,0.77838804,0.777701468,0.772391074,0.766870067,0.753786048,0.714302364,0.714302364,0.714302364,0.714302364,0.710268364,0.70623436,0.702200361,0.702200361,0.702200361,0.702200361,0.702200361,0.702200361
COL,Colombia,0.260316799,0.284217016,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679,0.293225679
COM,Comoros,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COG,Congo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COD,"Congo, the Democratic Republic of the",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CRI,Costa Rica,0.495992269,0.495992269,0.495992269,0.495992269,0.495992269,0.495992269,0.495992269,0.495992269,0.495992269,0.495992269,0.495992269,0.494940358,0.494331066,0.494897959,0.494897959,0.494897959,0.494897959
CIV,C™te d'Ivoire,0.878036012,0.872869345,0.863831989,0.856935437,0.848791964,0.847452679,0.842265179,0.842265179,0.843731944,0.851765179,0.875361607,0.86288125,0.857695536,0.872658036,0.880176786,0.880176786,0.880176786
HRV,Croatia,0.921329454,0.922616633,0.924084435,0.939164371,0.945575843,0.931710214,0.93007034,0.876398601,0.876398601,0.876190355,0.873120824,0.876398601,0.876398601,0.876398601,0.876398601,0.876398601,0.876398601
CUB,Cuba,0.40473802,0.40473802,0.40473802,0.40473802,0.40473802,0.40473802,0.40473802,0.406284887,0.458743337,0.453674447,0.444049564,0.419701431,0.411216065,0.39209,0.464538356,0.464538356,0.464538356
CYP,Cyprus,0.355977041,0.355977041,0.355977041,0.355977041,0.355977041,0.355977041,0.355977041,0.355977041,0.39096427,0.459289731,0.523907059,0.523158167,0.532293565,0.536883481,0.343332747,0.343332747,0.343332747
CZE,Czech Republic,0.795802106,0.795802106,0.795802106,0.795802106,0.795802106,0.795802106,0.795802106,0.795802106,0.771064226,0.782479789,0.776112496,0.764316052,0.7495759,0.781839711,0.691650943,0.691650943,0.691650943
DNK,Denmark,0.688519029,0.688519029,0.688519029,0.688519029,0.688519029,0.688519029,0.688519029,0.688197949,0.590887669,0.569571941,0.568650077,0.565099156,0.556846456,0.543868518,0.653777252,0.653777252,0.653777252
DJI,Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DMA,Dominica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DOM,Dominican Republic,0.861393209,0.862782098,0.861587008,0.86369206,0.86384419,0.865924699,0.865924699,0.875662193,0.878227478,0.864164294,0.864164296,0.864164294,0.864164276,0.864164304,0.878188779,0.878188779,0.878188779
ECU,Ecuador,0.69706425,0.700140056,0.697309061,0.69554435,0.695896201,0.695933483,0.695933483,0.695933483,0.688952003,0.686332193,0.681220351,0.679216979,0.673810513,0.679642169,0.654594004,0.654594004,0.654594004
EGY,Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLV,El Salvador,0.812681337,0.812681337,0.812681337,0.812681337,0.812681337,0.812681337,0.812681337,0.812681337,0.79631656,0.775714337,0.664140693,0.716118447,0.606977396,0.693055952,0.720059001,0.720059001,0.720059001
GNQ,Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ERI,Eritrea,0.967285075,0.961982889,0.956275371,0.953635271,0.956295913,0.96373872,0.96373872,0.96373872,0.975260005,0.979317815,0.973540035,0.979289312,0.970606477,0.970606477,0.970606477,0.970606477,0.970606477
EST,Estonia,0.389857259,0.389857259,0.389857259,0.389857259,0.389857259,0.389857259,0.389857259,0.389857259,0.320876147,0.288696911,0.347415398,0.310492832,0.309908027,0.249176421,0.326350671,0.326350671,0.326350671
ETH,Ethiopia,0.957824074,0.957824074,0.957824074,0.957824074,0.957824074,0.957824074,0.957824074,0.957824074,0.985744189,0.985876132,0.982618394,0.981794939,0.981386059,0.980523299,0.980283912,0.980283912,0.980283912
FJI,Fiji,0.321294118,0.321294118,0.321294118,0.321294118,0.321294118,0.321294118,0.321294118,0.321294118,0.451867647,0.386779412,0.402058824,0.437191176,0.4405,0.383411765,0.442890625,0.442890625,0.442890625
FIN,Finland,0.639667933,0.639667933,0.639667933,0.639667933,0.639667933,0.639667933,0.639667933,0.639851953,0.684653464,0.649099715,0.645717014,0.64502354,0.672495448,0.654729821,0.711370273,0.711370273,0.711370273
FRA,France,0.452363686,0.452363686,0.452363686,0.452363686,0.452363686,0.452363686,0.452363686,0.452363686,0.452363686,0.452363686,0.474829529,0.483185936,0.458555847,0.578859059,0.587882639,0.587882639,0.587882639
GAB,Gabon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GMB,Gambia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GEO,Georgia,0.887076278,0.887076278,0.887076283,0.887076278,0.887076278,0.887076278,0.887076278,0.887076278,0.933756838,0.894345845,0.835028994,0.850859185,0.866259509,0.878030613,0.8618554,0.8618554,0.8618554
DEU,Germany,0,0,0,0,0,0,0,0,0,0,0,0.013952469,0,0.098981606,0.046464002,0.046464002,0.046464002
GHA,Ghana,0.974936211,0.975979961,0.977663989,0.978399369,0.977960887,0.978332414,0.978715029,0.979107869,0.971433094,0.95504875,0.973709375,0.938556845,0.962777841,0.972624432,0.958998864,0.958998864,0.958998864
GRC,Greece,0.327175599,0.327175599,0.327175599,0.327175599,0.327175599,0.327175599,0.327175599,0.327175599,0.218117815,0.252235065,0.209882516,0.517789744,0.441733912,0.540300976,0.628467021,0.628467021,0.628467021
GRD,Grenada,0.8375,0.85,0.85,0.85,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
GTM,Guatemala,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
