ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,34.3,51,60.3,66.5,72.5,74.8,71.2,67.3,70.4,72.3,71,75.6,75.1,76,75.6,74.2
DZA,Algeria,69.5,60.7,65.5,69.3,72.8,63.3,63.3,71.2,74.9,62.4,61.8,74.4,74.2,74.6,74.1,73.4
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,31.28,32.08,32.88,33.68,34.49,35.29,36.09,36.89,37.69,38.50,39.30,40.10,61.60,72.80,62.20,62.80
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,86.6,89.4,90,83.3,83.9,79.7,79.7,76.5,76.8,78.8,73.7,81.5,81.5,80.9,75.6,75.6
ARM,Armenia,40.03,40.87,41.70,75.10,82.10,86.80,85.50,81.30,84.10,88.70,88.90,90.70,90.80,86.40,89.70,90.90
AUS,Australia,53.9,53.4,55.1,54.8,56,63.3,67.3,61.1,58.9,60.5,60.9,62.2,62.6,62.8,64.3,64.9
AUT,Austria,9.60,5.40,1.20,1.50,3.20,25.00,25.00,18.90,18.60,21.00,22.60,23.20,24.70,25.30,27.10,28.80
AZE,Azerbaijan,47.82,48.80,61.60,87.90,87.50,76.50,86.80,88.00,87.00,87.90,87.00,77.80,79.90,82.90,77.50,77.50
BHS,Bahamas,86.9,83.6,87.8,87.4,87.1,85.5,89.2,89.2,88.8,87.1,88,87.1,88.7,86.4,84.4,83.6
BHR,Bahrain,71.7,72.5,73.4,78.1,80.8,79.7,73,74.8,79.2,76.6,68.1,73.2,75.3,80.3,79.4,80.8
BGD,Bangladesh,91.5,92,94.2,93.5,94.5,90.3,93.3,93.3,94,94.1,93.4,94.4,94,93.2,94.2,93.9
BRB,Barbados,70.07,71.50,73.00,73.00,67.90,67.30,65.30,65.30,64.70,58.90,56.00,58.70,59.80,62.20,66.30,54.60
BLR,Belarus,31.50,32.20,32.90,44.50,45.30,39.30,41.90,36.50,41.10,36.80,35.40,33.20,60.00,55.50,30.90,32.00
BEL,Belgium,7.15,7.30,14.80,16.40,15.70,18.90,22.00,28.00,26.80,23.50,22.00,26.80,26.50,17.90,28.30,30.00
BLZ,Belize,64.7,68.7,88.2,64.7,74.9,74.8,74.8,74.8,60.9,64.7,68.9,71.5,74.9,74.8,77.6,74.9
BEN,Benin,88.69,90.50,88.20,85.30,88.60,97.60,97.00,90.30,87.90,87.60,88.50,86.60,87.00,86.40,88.50,85.20
BTN,Bhutan,41.98,43.14,44.31,45.47,46.64,47.81,48.97,50.14,51.30,52.47,53.64,54.80,55.97,57.13,58.30,58.30
BOL,"Bolivia, Plurinational State of",60.7,75.3,76.1,77.5,77.8,65.3,74.8,69.3,73,69.9,66.7,68.1,69.3,68.1,71.9,67.5
BIH,Bosnia and Herzegovina,15.70,16.03,16.37,16.70,16.70,52.00,35.73,19.47,3.20,18.30,23.80,47.80,47.80,48.30,37.60,28.80
BWA,Botswana,55.1,46.6,46.6,63,59.4,54.4,61.1,44.5,46.8,54.6,45,50.5,56.2,61.8,70.6,67.1
BRA,Brazil,74.4,74.4,80.8,74.4,79.2,71.2,71.2,71.2,82.7,68.1,69.9,71.7,55.5,55.5,50.3,50.3
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,50.5,30.6,37.3,48.8,46.3,54.4,67.3,49.6,56.7,64.5,53.4,49.8,57.8,56,58.7,48.3
BFA,Burkina Faso,82.61,84.30,85.30,86.90,86.40,85.50,76.50,78.10,78.10,84.90,86.40,87.30,86.50,85.90,83.70,80.00
BDI,Burundi,78.24,79.87,81.50,79.60,76.60,83.30,79.85,76.40,72.95,69.50,66.05,62.60,52.50,59.40,55.80,42.70
KHM,Cambodia,88.13,89.96,91.80,91.60,92.00,91.30,94.10,91.30,92.50,91.00,90.40,90.90,93.30,94.20,94.50,92.90
CMR,Cameroon,89.8,88,88.8,92.2,92.2,94.1,89.2,89.2,90.9,89.4,92.2,93,92.4,93.6,93.6,92.7
CAN,Canada,14.8,18.3,25.9,29.4,34.9,41.9,47.1,49.6,47.8,50.5,50.8,53.4,52.2,53.7,53.7,54.1
CPV,Cape Verde,30.28,30.90,17.00,19.80,44.80,52.00,61.10,49.60,36.50,69.70,64.50,71.00,56.50,60.50,62.20,65.30
CAF,Central African Republic,75.68,77.44,79.20,80.96,82.72,84.48,86.24,88.00,92.70,89.50,92.40,95.00,94.40,91.60,94.00,94.10
