ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.34,0.51,0.60,0.67,0.73,0.75,0.71,0.67,0.70,0.72,0.71,0.76,0.75,0.76,0.76,0.74
DZA,Algeria,0.70,0.61,0.66,0.69,0.73,0.63,0.63,0.71,0.75,0.62,0.62,0.74,0.74,0.75,0.74,0.73
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.31,0.32,0.33,0.34,0.34,0.35,0.36,0.37,0.38,0.38,0.39,0.40,0.62,0.73,0.62,0.63
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.87,0.89,0.90,0.83,0.84,0.80,0.80,0.77,0.77,0.79,0.74,0.82,0.82,0.81,0.76,0.76
ARM,Armenia,0.40,0.41,0.42,0.75,0.82,0.87,0.86,0.81,0.84,0.89,0.89,0.91,0.91,0.86,0.90,0.91
AUS,Australia,0.54,0.53,0.55,0.55,0.56,0.63,0.67,0.61,0.59,0.61,0.61,0.62,0.63,0.63,0.64,0.65
AUT,Austria,0.10,0.05,0.01,0.02,0.03,0.25,0.25,0.19,0.19,0.21,0.23,0.23,0.25,0.25,0.27,0.29
AZE,Azerbaijan,0.48,0.49,0.62,0.88,0.88,0.77,0.87,0.88,0.87,0.88,0.87,0.78,0.80,0.83,0.78,0.78
BHS,Bahamas,0.87,0.84,0.88,0.87,0.87,0.86,0.89,0.89,0.89,0.87,0.88,0.87,0.89,0.86,0.84,0.84
BHR,Bahrain,0.72,0.73,0.73,0.78,0.81,0.80,0.73,0.75,0.79,0.77,0.68,0.73,0.75,0.80,0.79,0.81
BGD,Bangladesh,0.92,0.92,0.94,0.94,0.95,0.90,0.93,0.93,0.94,0.94,0.93,0.94,0.94,0.93,0.94,0.94
BRB,Barbados,0.70,0.72,0.73,0.73,0.68,0.67,0.65,0.65,0.65,0.59,0.56,0.59,0.60,0.62,0.66,0.55
BLR,Belarus,0.32,0.32,0.33,0.45,0.45,0.39,0.42,0.37,0.41,0.37,0.35,0.33,0.60,0.56,0.31,0.32
BEL,Belgium,0.07,0.07,0.15,0.16,0.16,0.19,0.22,0.28,0.27,0.24,0.22,0.27,0.27,0.18,0.28,0.30
BLZ,Belize,0.65,0.69,0.88,0.65,0.75,0.75,0.75,0.75,0.61,0.65,0.69,0.72,0.75,0.75,0.78,0.75
BEN,Benin,0.89,0.91,0.88,0.85,0.89,0.98,0.97,0.90,0.88,0.88,0.89,0.87,0.87,0.86,0.89,0.85
BTN,Bhutan,0.42,0.43,0.44,0.45,0.47,0.48,0.49,0.50,0.51,0.52,0.54,0.55,0.56,0.57,0.58,0.58
BOL,"Bolivia, Plurinational State of",0.61,0.75,0.76,0.78,0.78,0.65,0.75,0.69,0.73,0.70,0.67,0.68,0.69,0.68,0.72,0.68
BIH,Bosnia and Herzegovina,0.16,0.16,0.16,0.17,0.17,0.52,0.36,0.19,0.03,0.18,0.24,0.48,0.48,0.48,0.38,0.29
BWA,Botswana,0.55,0.47,0.47,0.63,0.59,0.54,0.61,0.45,0.47,0.55,0.45,0.51,0.56,0.62,0.71,0.67
BRA,Brazil,0.74,0.74,0.81,0.74,0.79,0.71,0.71,0.71,0.83,0.68,0.70,0.72,0.56,0.56,0.50,0.50
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,0.51,0.31,0.37,0.49,0.46,0.54,0.67,0.50,0.57,0.65,0.53,0.50,0.58,0.56,0.59,0.48
BFA,Burkina Faso,0.83,0.84,0.85,0.87,0.86,0.86,0.77,0.78,0.78,0.85,0.86,0.87,0.87,0.86,0.84,0.80
BDI,Burundi,0.78,0.80,0.82,0.80,0.77,0.83,0.80,0.76,0.73,0.70,0.66,0.63,0.53,0.59,0.56,0.43
KHM,Cambodia,0.88,0.90,0.92,0.92,0.92,0.91,0.94,0.91,0.93,0.91,0.90,0.91,0.93,0.94,0.95,0.93
CMR,Cameroon,0.90,0.88,0.89,0.92,0.92,0.94,0.89,0.89,0.91,0.89,0.92,0.93,0.92,0.94,0.94,0.93
CAN,Canada,0.15,0.18,0.26,0.29,0.35,0.42,0.47,0.50,0.48,0.51,0.51,0.53,0.52,0.54,0.54,0.54
CPV,Cape Verde,0.30,0.31,0.17,0.20,0.45,0.52,0.61,0.50,0.37,0.70,0.65,0.71,0.57,0.61,0.62,0.65
CAF,Central African Republic,0.76,0.77,0.79,0.81,0.83,0.84,0.86,0.88,0.93,0.90,0.92,0.95,0.94,0.92,0.94,0.94
TCD,Chad,0.86,0.87,0.89,0.90,0.90,0.84,0.86,0.89,0.88,0.90,0.88,0.85,0.94,0.95,0.91,0.89
CHL,Chile,0.87,0.86,0.87,0.88,0.87,0.86,0.84,0.83,0.82,0.82,0.85,0.88,0.88,0.88,0.90,0.90
CHN,China,0.94,0.95,0.95,0.96,0.95,0.90,0.94,0.92,0.90,0.88,0.86,0.86,0.87,0.90,0.89,0.88
COL,Colombia,0.86,0.99,0.99,0.99,0.99,0.84,0.88,0.89,0.88,0.67,0.66,0.68,0.70,0.71,0.66,0.75
COM,Comoros,0.63,0.65,0.67,0.69,0.70,0.72,0.74,0.76,0.78,0.79,0.81,0.83,0.85,0.86,0.88,0.85
COG,Congo,0.97,0.97,0.97,0.97,0.97,0.96,0.95,0.94,0.93,0.91,0.90,0.89,0.88,0.87,0.85,0.91
COD,"Congo, the Democratic Republic of the",0.54,0.55,0.60,0.68,0.67,0.57,0.89,0.67,0.81,0.70,0.62,0.74,0.76,0.83,0.78,0.69
CRI,Costa Rica,0.91,0.91,0.88,0.87,0.86,0.88,0.88,0.86,0.84,0.78,0.85,0.85,0.86,0.87,0.88,0.87
CIV,C™te d'Ivoire,0.86,0.86,0.89,0.89,0.89,0.73,0.83,0.86,0.90,0.92,0.89,0.88,0.88,0.88,0.88,0.87
HRV,Croatia,0.49,0.51,0.51,0.40,0.38,0.42,0.34,0.25,0.29,0.23,0.26,0.23,0.24,0.28,0.32,0.47
CUB,Cuba,0.09,0.10,0.10,0.10,0.10,0.11,0.12,0.13,0.18,0.15,0.06,0.08,0.10,0.10,0.10,0.09
CYP,Cyprus,0.67,0.68,0.68,0.68,0.62,0.54,0.59,0.59,0.60,0.56,0.57,0.48,0.45,0.43,0.42,0.45
CZE,Czech Republic,0.38,0.38,0.35,0.39,0.45,0.50,0.50,0.34,0.46,0.41,0.15,0.37,0.47,0.46,0.43,0.46
DNK,Denmark,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.10,0.08,0.08,0.09,0.13,0.20,0.20,0.22
DJI,Djibouti,0.43,0.44,0.45,0.55,0.64,0.63,0.67,0.67,0.68,0.74,0.68,0.60,0.60,0.58,0.59,0.59
DMA,Dominica,0.38,0.39,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.50,0.51,0.52,0.50
