ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,70,70,70,70,70,70,70,70,70,70,70,70,60,70,70,70
DZA,Algeria,50,50,50,50,50,50,50,70,70,70,50,50,50,40,50,45
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,20.00,20.00,20.00,35.00
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,70,70,70,70,70,70,70,70,50,50,50,50,50,50,50,45
ARM,Armenia,29.40,30.00,30.00,30.00,30.00,50.00,70.00,70.00,70.00,70.00,70.00,70.00,60.00,70.00,70.00,75.00
AUS,Australia,70,70,70,70,70,70,70,70,70,70,70,70,70,80,80,80
AUT,Austria,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,75
AZE,Azerbaijan,9.80,10.00,10.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,55.00
BHS,Bahamas,30,50,50,50,50,50,50,50,50,50,50,50,40,40,40,30
BHR,Bahrain,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,65
BGD,Bangladesh,50,50,50,50,50,50,50,50,50,50,30,30,30,20,20,45
BRB,Barbados,68.60,70.00,70.00,70.00,70.00,70.00,70.00,70.00,50.00,50.00,50.00,50.00,50.00,60.00,50.00,45.00
BLR,Belarus,50,50,30,30,30,30,30,30,30,30,30,30,20,20,20,20
BEL,Belgium,68.60,70.00,70.00,70.00,70.00,70.00,70.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,80.00
BLZ,Belize,70,70,70,70,70,70,50,50,50,50,50,50,50,50,50,50
BEN,Benin,49.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,30.00,30.00,30.00,40.00,40.00,60.00
BTN,Bhutan,21.60,22.20,22.80,23.40,24.00,24.60,25.20,25.80,26.40,27.00,27.60,28.20,28.80,29.40,30.00,15.00
BOL,"Bolivia, Plurinational State of",70,70,70,70,70,70,90,90,90,90,50,30,30,20,20,15
BIH,Bosnia and Herzegovina,28.20,28.80,29.40,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,50.00,50.00,50.00,50.00,70.00
BWA,Botswana,50,50,50,50,50,50,50,70,70,70,70,70,70,70,70,80
BRA,Brazil,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,45
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,70,70,50,50,70,70,70,70,50,50,50,70,60,60,60,50
BFA,Burkina Faso,68.60,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,50.00,50.00,50.00,40.00,40.00,40.00,50.00
BDI,Burundi,28.80,29.40,30.00,30.00,30.00,30.00,33.33,36.67,40.00,43.33,46.67,50.00,30.00,30.00,40.00,50.00
KHM,Cambodia,48.00,49.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,60.00
CMR,Cameroon,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,35
CAN,Canada,50,50,50,50,50,50,50,50,50,50,50,50,60,70,70,75
CPV,Cape Verde,68.60,70.00,70.00,70.00,70.00,70.00,70.00,70.00,50.00,50.00,50.00,50.00,50.00,60.00,60.00,60.00
CAF,Central African Republic,60.20,61.60,63.00,64.40,65.80,67.20,68.60,70.00,70.00,70.00,70.00,50.00,40.00,30.00,40.00,40.00
TCD,Chad,28.80,29.40,30.00,30.00,30.00,30.00,30.00,30.00,50.00,50.00,50.00,50.00,40.00,40.00,40.00,45.00
CHL,Chile,70,70,70,70,70,70,70,70,70,70,70,70,70,80,80,80
CHN,China,50,50,50,50,50,50,30,30,30,30,30,30,30,30,30,20
COL,Colombia,70,70,70,70,70,70,70,70,70,70,50,50,50,60,60,55
COM,Comoros,14.40,14.80,15.20,15.60,16.00,16.40,16.80,17.20,17.60,18.00,18.40,18.80,19.20,19.60,20.00,10.00
