ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.60,0.70,0.70,0.70
DZA,Algeria,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.70,0.70,0.70,0.50,0.50,0.50,0.40,0.50,0.45
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.20,0.20,0.20,0.35
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.45
ARM,Armenia,0.29,0.30,0.30,0.30,0.30,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.60,0.70,0.70,0.75
AUS,Australia,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.80,0.80,0.80
AUT,Austria,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.75
AZE,Azerbaijan,0.10,0.10,0.10,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.55
BHS,Bahamas,0.30,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.40,0.40,0.40,0.30
BHR,Bahrain,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.60,0.60,0.65
BGD,Bangladesh,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.30,0.30,0.30,0.20,0.20,0.45
BRB,Barbados,0.69,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.50,0.50,0.50,0.50,0.60,0.50,0.45
BLR,Belarus,0.50,0.50,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.20,0.20,0.20,0.20
BEL,Belgium,0.69,0.70,0.70,0.70,0.70,0.70,0.70,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.80
BLZ,Belize,0.70,0.70,0.70,0.70,0.70,0.70,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
BEN,Benin,0.49,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.30,0.30,0.30,0.40,0.40,0.60
BTN,Bhutan,0.22,0.22,0.23,0.23,0.24,0.25,0.25,0.26,0.26,0.27,0.28,0.28,0.29,0.29,0.30,0.15
BOL,"Bolivia, Plurinational State of",0.70,0.70,0.70,0.70,0.70,0.70,0.90,0.90,0.90,0.90,0.50,0.30,0.30,0.20,0.20,0.15
BIH,Bosnia and Herzegovina,0.28,0.29,0.29,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.50,0.50,0.50,0.50,0.70
BWA,Botswana,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.80
BRA,Brazil,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.45
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,0.70,0.70,0.50,0.50,0.70,0.70,0.70,0.70,0.50,0.50,0.50,0.70,0.60,0.60,0.60,0.50
