ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,39.20000022,40.1800002,41.16000018,42.14000015,43.12000013,44.10000011,45.08000009,46.06000007,47.04000004,48.02000002,49,50.2,49.7,49.5,47.2,52.1
DZA,Algeria,44.72000025,45.83800022,46.9560002,48.07400017,49.19200015,50.31000012,51.4280001,52.54600007,53.66400005,54.78200002,55.9,57.4,57.6,57,55.5,56.4
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,35.02200022,35.9200002,36.81800018,37.71600016,38.61400014,39.51200012,40.4100001,41.30800008,42.20600006,43.10400004,44.00200002,44.9,44.9,41.5,43.5,45.2
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,35.1200002,35.99800018,36.87600016,37.75400014,38.63200012,39.5100001,40.38800008,41.26600006,42.14400004,43.02200002,43.9,44.4,42.9,42.9,45.6,50.1
ARM,Armenia,49.68000028,50.92200025,52.16400022,53.40600019,54.64800017,55.89000014,57.13200011,58.37400008,59.61600006,60.85800003,62.1,65.3,70.3,68.2,66.3,70.6
AUS,Australia,68.64000038,70.35600035,72.07200031,73.78800027,75.50400023,77.22000019,78.93600015,80.65200012,82.36800008,84.08400004,85.8,86.5,93.7,95.5,94.7,94.9
AUT,Austria,58.88000033,60.3520003,61.82400026,63.29600023,64.7680002,66.24000016,67.71200013,69.1840001,70.65600007,72.12800003,73.6,72.7,70.1,73.2,78.7,79.1
AZE,Azerbaijan,51.84000029,53.13600026,54.43200023,55.7280002,57.02400017,58.32000014,59.61600012,60.91200009,62.20800006,63.50400003,64.8,60.4,60.8,58.7,87,82.5
BHS,Bahamas,64.00000036,65.60000032,67.20000029,68.80000025,70.40000021,72.00000018,73.60000014,75.20000011,76.80000007,78.40000004,80,80,80,80,80.4,81
BHR,Bahrain,32.00000018,32.80000016,33.60000014,34.40000013,35.20000011,36.00000009,36.80000007,37.60000005,38.40000004,39.20000002,40,40,40,40,85.1,89.4
BGD,Bangladesh,51.28000029,52.56200026,53.84400023,55.1260002,56.40800017,57.69000014,58.97200011,60.25400009,61.53600006,62.81800003,64.1,64.2,63.8,54.5,52.3,53.8
BRB,Barbados,64.00000036,65.60000032,67.20000029,68.80000025,70.40000021,72.00000018,73.60000014,75.20000011,76.80000007,78.40000004,80,80,80,80,80,80
BLR,Belarus,57.60000032,59.04000029,60.48000026,61.92000023,63.36000019,64.80000016,66.24000013,67.6800001,69.12000006,70.56000003,72,68.2,68.2,68.6,70.8,84.8
BEL,Belgium,54.4000003,55.76000027,57.12000024,58.48000021,59.84000018,61.20000015,62.56000012,63.92000009,65.28000006,66.64000003,68,68.4,70.8,71.6,70.5,67.1
BLZ,Belize,66.64000037,68.30600034,69.9720003,71.63800026,73.30400022,74.97000019,76.63600015,78.30200011,79.96800007,81.63400004,83.3,83.8,83.2,82.5,80.6,81.7
BEN,Benin,42.08000024,43.13200021,44.18400019,45.23600016,46.28800014,47.34000012,48.39200009,49.44400007,50.49600005,51.54800002,52.6,53.4,51.9,52.7,50.3,47.8
BTN,Bhutan,61.77600054,63.4920005,65.20800046,66.92400042,68.64000038,70.35600035,72.07200031,73.78800027,75.50400023,77.22000019,78.93600015,80.65200012,82.36800008,84.08400004,85.8,85.1
BOL,"Bolivia, Plurinational State of",38.16000021,39.11400019,40.06800017,41.02200015,41.97600013,42.93000011,43.88400009,44.83800006,45.79200004,46.74600002,47.7,49.2,28.6,28.8,41.9,39.4
BIH,Bosnia and Herzegovina,43.84000024,44.93600022,46.0320002,47.12800017,48.22400015,49.32000012,50.4160001,51.51200007,52.60800005,53.70400002,54.8,54.9,53.8,54.2,52.1,61.2
BWA,Botswana,53.2800003,54.61200027,55.94400024,57.27600021,58.60800018,59.94000015,61.27200012,62.60400009,63.93600006,65.26800003,66.6,68.9,69.4,71.1,70,70.8
BRA,Brazil,51.68000029,52.97200026,54.26400023,55.5560002,56.84800017,58.14000014,59.43200012,60.72400009,62.01600006,63.30800003,64.6,66.1,64.1,63.9,62.7,57.5
BRN,Brunei Darussalam,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BGR,Bulgaria,64.24000036,65.84600032,67.45200029,69.05800025,70.66400022,72.27000018,73.87600014,75.48200011,77.08800007,78.69400004,80.3,79.8,79.8,80.6,78.4,78.1
BFA,Burkina Faso,35.0400002,35.91600018,36.79200016,37.66800014,38.54400012,39.4200001,40.29600008,41.17200006,42.04800004,42.92400002,43.8,45.7,45.1,45.8,69,64.4
