ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.392000002,0.401800002,0.411600002,0.421400002,0.431200001,0.441000001,0.450800001,0.460600001,0.4704,0.4802,0.49,0.502,0.497,0.495,0.472,0.521
DZA,Algeria,0.447200002,0.458380002,0.469560002,0.480740002,0.491920001,0.503100001,0.514280001,0.525460001,0.53664,0.54782,0.559,0.574,0.576,0.57,0.555,0.564
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.350220002,0.359200002,0.368180002,0.377160002,0.386140001,0.395120001,0.404100001,0.413080001,0.422060001,0.43104,0.44002,0.449,0.449,0.415,0.435,0.452
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.351200002,0.359980002,0.368760002,0.377540001,0.386320001,0.395100001,0.403880001,0.412660001,0.42144,0.43022,0.439,0.444,0.429,0.429,0.456,0.501
ARM,Armenia,0.496800003,0.509220002,0.521640002,0.534060002,0.546480002,0.558900001,0.571320001,0.583740001,0.596160001,0.60858,0.621,0.653,0.703,0.682,0.663,0.706
AUS,Australia,0.686400004,0.703560003,0.720720003,0.737880003,0.755040002,0.772200002,0.789360002,0.806520001,0.823680001,0.84084,0.858,0.865,0.937,0.955,0.947,0.949
AUT,Austria,0.588800003,0.603520003,0.618240003,0.632960002,0.647680002,0.662400002,0.677120001,0.691840001,0.706560001,0.72128,0.736,0.727,0.701,0.732,0.787,0.791
AZE,Azerbaijan,0.518400003,0.531360003,0.544320002,0.557280002,0.570240002,0.583200001,0.596160001,0.609120001,0.622080001,0.63504,0.648,0.604,0.608,0.587,0.87,0.825
BHS,Bahamas,0.640000004,0.656000003,0.672000003,0.688000003,0.704000002,0.720000002,0.736000001,0.752000001,0.768000001,0.784,0.8,0.8,0.8,0.8,0.804,0.81
