ISO3,name,"1,995.","1,996.","1,997.","1,998.","1,999.","2,000.","2,001.","2,002.","2,003.","2,004.","2,005.","2,006.","2,007.","2,008.","2,009.","2,010."
AFG,Afghanistan,41.76,41.76,41.76,41.76,41.77,41.83,41.93,42.09,42.30,42.57,42.88,43.23,43.59,43.95,43.07,42.19
ALB,Albania,72.22,72.52,72.92,73.38,73.88,74.40,74.90,75.35,75.73,76.02,76.24,76.39,76.52,76.63,75.10,73.57
DZA,Algeria,68.47,68.73,69.03,69.34,69.67,70.02,70.38,70.73,71.06,71.36,71.65,71.91,72.15,72.39,70.94,69.49
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,42.68,42.80,42.94,43.10,43.30,43.55,43.85,44.20,44.59,45.03,45.50,46.00,46.52,47.04,46.10,45.16
ATG,Antigua and Barbuda,74.54,74.63,74.73,74.84,74.95,75.06,75.17,75.28,73.77,72.27,70.76,69.26,67.75,66.25,64.74,63.24
ARG,Argentina,72.67,72.89,73.11,73.33,73.54,73.75,73.96,74.17,74.37,74.57,74.77,74.96,75.15,75.33,73.83,72.32
ARM,Armenia,68.62,69.03,69.49,69.99,70.49,70.99,71.45,71.88,72.26,72.59,72.88,73.12,73.33,73.54,72.07,70.60
AUS,Australia,77.83,78.08,78.48,78.63,78.93,79.23,79.63,79.94,80.24,80.49,80.84,81.04,81.29,81.40,79.77,78.14
AUT,Austria,76.72,76.98,77.39,77.75,77.74,78.04,78.53,78.69,78.69,79.22,79.37,79.90,80.18,80.45,78.84,77.23
AZE,Azerbaijan,65.25,65.46,65.76,66.13,66.56,67.03,67.51,67.99,68.45,68.87,69.25,69.59,69.89,70.18,68.77,67.37
BHS,Bahamas,69.48,69.47,69.54,69.69,69.93,70.25,70.63,71.05,71.48,71.90,72.31,72.71,73.10,73.49,72.02,70.55
BHR,Bahrain,73.58,73.81,74.02,74.21,74.39,74.56,74.73,74.89,75.06,75.23,75.40,75.57,75.74,75.91,74.39,72.88
BGD,Bangladesh,57.61,58.36,59.12,59.87,60.60,61.31,62.00,62.68,63.34,63.98,64.59,65.16,65.68,66.15,64.82,63.50
