ISO3,name,"1,995","1,996","1,997","1,998","1,999","2,000","2,001","2,002","2,003","2,004","2,005","2,006","2,007","2,008","2,009","2,010"
AFG,Afghanistan,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.78,2.30,4.48,9.16,16.52,27.22,40.26,39.86
ALB,Albania,0.07,0.07,0.11,0.18,0.36,0.97,12.79,27.66,35.64,40.65,49.19,61.18,74.14,99.93,131.89,130.58
DZA,Algeria,0.02,0.04,0.06,0.06,0.24,0.28,0.32,1.43,4.54,15.08,41.58,62.96,81.41,78.64,93.79,92.86
AND,Andorra,62.50,63.99,65.48,66.97,68.46,69.94,71.43,72.92,74.41,78.24,83.08,86.38,77.27,76.60,75.07,73.54
AGO,Angola,0.02,0.03,0.05,0.07,0.17,0.18,0.51,0.92,2.24,4.59,9.70,17.87,28.26,37.59,43.84,43.40
ATG,Antigua and Barbuda,1.82,1.86,1.95,2.04,11.26,28.52,31.78,47.74,56.73,65.52,102.95,130.21,131.22,157.67,154.02,152.48
ARG,Argentina,1.17,1.89,5.63,7.40,10.53,17.56,18.07,17.43,20.62,35.21,57.21,80.58,102.31,116.61,128.84,127.55
ARM,Armenia,0.01,0.01,0.16,0.25,0.26,0.57,0.83,2.33,3.74,6.64,10.38,41.05,61.07,75.92,84.98,84.13
AUS,Australia,12.41,21.79,24.72,26.28,33.37,44.70,57.34,64.47,72.11,81.88,90.32,95.47,100.89,103.21,110.72,109.61
AUT,Austria,4.82,7.52,14.55,28.72,53.12,76.35,81.33,83.33,89.61,97.77,105.24,112.06,119.41,129.74,140.76,139.35
AZE,Azerbaijan,0.08,0.22,0.51,0.82,4.63,5.22,9.00,9.72,12.84,17.53,26.72,39.17,52.66,75.44,88.34,87.46
BHS,Bahamas,1.46,1.73,2.13,2.73,5.30,10.34,19.59,38.86,38.51,57.86,69.98,76.77,112.11,106.04,105.00,103.95
BHR,Bahrain,4.78,6.76,9.64,14.81,21.00,31.65,45.05,57.18,63.67,91.30,105.43,122.05,146.92,185.77,199.38,197.38
BGD,Bangladesh,0.02,0.02,0.02,0.06,0.11,0.20,0.36,0.74,0.92,1.85,5.88,12.31,21.79,27.90,31.07,30.76
BRB,Barbados,1.79,2.45,3.14,4.73,8.04,11.31,21.13,38.65,55.57,79.23,81.42,93.39,101.20,113.11,131.73,130.41
BLR,Belarus,0.06,0.06,0.08,0.12,0.23,0.49,1.39,4.66,11.32,22.79,41.94,61.24,71.74,83.96,100.24,99.24
BEL,Belgium,2.32,4.71,9.57,17.21,31.16,54.91,74.82,78.41,82.94,87.63,91.66,93.36,101.06,110.40,115.11,113.96
BLZ,Belize,0.71,0.98,1.11,1.48,2.71,6.73,15.22,19.51,22.07,26.54,29.13,33.18,37.98,49.68,48.55,48.07
BEN,Benin,0.02,0.05,0.07,0.10,0.11,0.83,1.82,3.08,3.21,6.04,7.58,12.99,24.45,41.85,56.33,55.77
BTN,Bhutan,0.31,0.32,0.32,0.33,0.34,0.34,0.35,0.36,0.37,3.02,5.54,12.36,22.11,36.55,46.90,46.43
BOL,"Bolivia, Plurinational State of",0.10,0.44,1.52,3.00,5.16,7.00,9.19,11.81,14.47,19.99,26.37,30.75,34.17,49.82,72.48,71.75
BIH,Bosnia and Herzegovina,0.04,0.05,0.27,0.72,1.46,2.53,11.86,19.83,28.41,37.22,42.16,49.92,64.85,84.26,86.48,85.61
BWA,Botswana,0.86,0.88,0.90,0.92,5.43,12.90,19.00,18.75,24.81,28.80,30.66,44.14,60.86,77.34,96.12,95.16
BRA,Brazil,0.80,1.52,2.73,4.36,8.76,13.31,16.27,19.47,25.54,35.68,46.33,53.10,63.63,78.47,89.79,88.90
BRN,Brunei Darussalam,12.16,14.38,14.49,15.44,20.25,28.49,41.95,44.12,49.89,55.81,62.93,79.85,95.14,101.68,106.66,105.60
BGR,Bulgaria,0.25,0.32,0.84,1.54,4.26,9.16,19.60,33.01,44.75,60.79,80.68,107.20,129.21,137.74,139.97,138.57
BFA,Burkina Faso,0.00,0.01,0.01,0.02,0.04,0.22,0.63,0.89,1.85,2.98,4.61,7.15,10.94,16.76,20.94,20.73
BDI,Burundi,0.01,0.01,0.01,0.01,0.01,0.25,0.51,0.77,0.92,1.40,2.07,2.63,3.44,5.95,10.10,10.00
KHM,Cambodia,0.12,0.20,0.28,0.50,0.71,1.02,1.72,2.88,3.71,6.31,7.66,12.22,18.04,29.10,37.78,37.40
CMR,Cameroon,0.02,0.02,0.03,0.03,0.04,0.65,2.57,4.22,6.33,8.79,12.64,17.19,24.31,32.28,37.89,37.51
CAN,Canada,8.82,11.79,13.99,17.67,22.66,28.36,34.26,37.85,41.96,46.94,52.66,57.43,61.49,66.32,68.41,67.72
CPV,Cape Verde,0.23,0.23,0.24,0.24,1.87,4.49,7.05,9.45,11.53,13.99,17.12,22.46,30.96,55.68,77.53,76.76
CAF,Central African Republic,0.03,0.03,0.04,0.05,0.11,0.13,0.29,0.32,1.01,1.49,2.44,2.63,3.05,3.55,3.80,3.76
TCD,Chad,0.06,0.06,0.06,0.06,0.06,0.07,0.25,0.38,0.69,1.27,2.10,4.51,8.65,16.58,23.97,23.73
CHL,Chile,1.37,2.18,2.76,6.41,14.84,22.06,32.69,39.57,45.56,57.43,64.85,75.61,83.88,88.05,96.94,95.97
CHN,China,0.30,0.56,1.08,1.92,3.46,6.75,11.39,16.09,20.95,25.83,30.18,35.17,41.53,48.41,56.10,55.54
COL,Colombia,0.75,1.41,3.35,4.68,5.03,5.67,8.08,11.19,14.82,24.53,50.76,68.10,76.51,91.90,92.33,91.41
COM,Comoros,0.29,0.30,0.31,0.31,0.32,0.33,0.33,0.34,0.35,1.42,2.59,6.01,10.50,15.29,15.17,15.02
COG,Congo,0.03,0.04,0.08,0.12,0.17,2.31,4.83,6.98,10.12,11.48,16.34,26.32,36.26,49.98,58.94,58.35
COD,"Congo, the Democratic Republic of the",0.02,0.02,0.02,0.02,0.02,0.03,0.29,1.04,2.24,3.47,4.65,7.26,10.54,14.42,15.39,15.24
