ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.10,0.18,0.30,0.45,0.44
ALB,Albania,0.00,0.00,0.00,0.00,0.00,0.01,0.14,0.31,0.40,0.45,0.55,0.68,0.82,1.00,1.00,1.00
DZA,Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.17,0.46,0.70,0.90,0.87,1.00,1.00
AND,Andorra,0.69,0.71,0.73,0.74,0.76,0.78,0.79,0.81,0.83,0.87,0.92,0.96,0.86,0.85,0.83,0.82
AGO,Angola,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.11,0.20,0.31,0.42,0.49,0.48
ATG,Antigua and Barbuda,0.02,0.02,0.02,0.02,0.13,0.32,0.35,0.53,0.63,0.73,1.00,1.00,1.00,1.00,1.00,1.00
ARG,Argentina,0.01,0.02,0.06,0.08,0.12,0.20,0.20,0.19,0.23,0.39,0.64,0.90,1.00,1.00,1.00,1.00
ARM,Armenia,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.04,0.07,0.12,0.46,0.68,0.84,0.94,0.93
AUS,Australia,0.14,0.24,0.27,0.29,0.37,0.50,0.64,0.72,0.80,0.91,1.00,1.00,1.00,1.00,1.00,1.00
AUT,Austria,0.05,0.08,0.16,0.32,0.59,0.85,0.90,0.93,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
AZE,Azerbaijan,0.00,0.00,0.01,0.01,0.05,0.06,0.10,0.11,0.14,0.19,0.30,0.44,0.59,0.84,0.98,0.97
BHS,Bahamas,0.02,0.02,0.02,0.03,0.06,0.11,0.22,0.43,0.43,0.64,0.78,0.85,1.00,1.00,1.00,1.00
BHR,Bahrain,0.05,0.08,0.11,0.16,0.23,0.35,0.50,0.64,0.71,1.00,1.00,1.00,1.00,1.00,1.00,1.00
BGD,Bangladesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.07,0.14,0.24,0.31,0.35,0.34
BRB,Barbados,0.02,0.03,0.03,0.05,0.09,0.13,0.23,0.43,0.62,0.88,0.90,1.00,1.00,1.00,1.00,1.00
BLR,Belarus,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.13,0.25,0.47,0.68,0.80,0.93,1.00,1.00
BEL,Belgium,0.03,0.05,0.11,0.19,0.35,0.61,0.83,0.87,0.92,0.97,1.00,1.00,1.00,1.00,1.00,1.00
BLZ,Belize,0.01,0.01,0.01,0.02,0.03,0.07,0.17,0.22,0.25,0.29,0.32,0.37,0.42,0.55,0.54,0.53
BEN,Benin,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.04,0.07,0.08,0.14,0.27,0.47,0.63,0.62
