ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,22.1,42.6,62.9,67.7,57.8,59.7,71.8,86,85.8,79.6,85,84.5,80.3,80.4,79.6,78.7
DZA,Algeria,59.2,57,56,60.1,69,74,78.2,82.8,78.9,81.1,80.1,78.8,80.7,80.2,78.6,77.2
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,31.4340002,32.24000018,33.04600016,33.85200014,34.65800013,35.46400011,36.27000009,37.07600007,37.88200005,38.68800004,39.49400002,40.3,47.7,57.8,61.8,62.6
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,61.1,77.5,82,87.7,89.8,89.6,95.4,94.3,88.5,64,65.4,71.5,71.4,65,60.6,61.2
ARM,Armenia,51.0600001,52.17000007,53.28000005,54.39000002,55.5,69.1,77.8,91.1,81.7,84.5,82,80.6,80.3,84.6,77.8,72.9
AUS,Australia,86.7,86.5,82.8,84,87.9,89,87.9,83.3,82.1,83.2,84,85,84.8,83.7,84.7,82.7
AUT,Austria,82.9,83.6,84.8,86,87.2,88.4,89.6,86.4,85.1,85.9,87,86.4,86,81.4,80.9,79.3
AZE,Azerbaijan,34.77600007,35.53200005,36.28800003,37.04400002,37.8,70.7,65.1,78.8,84.8,80.2,80.4,75.5,76.8,76.5,66.3,62.7
BHS,Bahamas,82.6,85.8,86.1,86.9,88.4,87,87.3,88.1,80.4,82.5,79.5,82.2,76.1,76.3,75.5,72.7
BHR,Bahrain,86.7,89.1,85.2,89.6,83.5,89.2,90.3,84.3,83.4,84.7,89,86.3,80.1,74.3,74,73.4
