ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,-2.542083664,-2.542083664,-2.556913376,-2.571742807,-2.570306778,-2.568870827,-2.379246712,-2.189622429,-2.235495322,-2.293377211,-2.084611154,-2.233086336,-2.402617083,-2.691073115,-2.696178261,-2.549380139,-2.512738228,-2.512738228
ALB,Albania,-0.431110125,-0.431110125,-0.550534606,-0.669959055,-0.659032464,-0.64810591,-0.512724698,-0.377343517,-0.322104718,-0.454353151,-0.490399326,-0.478874279,-0.20017971,-0.033290477,-0.052519623,-0.192306956,-0.268383076,-0.268383076
DZA,Algeria,-1.857207578,-1.857207578,-1.910448074,-1.963688512,-1.73093605,-1.49818376,-1.595330954,-1.692478149,-1.777850253,-1.365787925,-0.926654521,-1.099115015,-1.108025684,-1.075692257,-1.228086688,-1.282641714,-1.352369936,-1.352369936
AND,Andorra,,,,,,,,,,,,,,,,,,
AGO,Angola,-2.105297768,-2.105297768,-2.222895145,-2.340492789,-2.212426186,-2.08435958,-1.853156328,-1.62195294,-1.046225086,-1.041758078,-0.900983846,-0.542180601,-0.688272015,-0.345828961,-0.321307497,-0.177979129,-0.332175144,-0.332175144
ATG,Antigua and Barbuda,0.644331573,0.644331573,0.648746371,0.653161226,0.647543371,0.641925512,0.678043842,0.714162146,0.849826593,1.153361677,0.85087321,0.839456739,0.831732416,0.844290148,0.745080854,0.928316484,0.978425656,0.978425656
ARG,Argentina,0.021612472,0.021612472,-0.080969371,-0.183551215,-0.066107213,0.051336797,-0.407037169,-0.865411119,-0.379468367,-0.566201482,-0.014338732,0.053173341,0.149984438,-0.051641502,-0.155824602,-0.007917265,0.197919455,0.197919455
ARM,Armenia,-0.507021475,-0.507021475,-0.640886545,-0.774751517,-0.789169192,-0.803586796,-0.582568407,-0.361549977,0.221410352,-0.124450781,-0.062776996,-0.284899219,0.112510042,-0.020224011,0.211632003,0.015946936,-0.095295899,-0.095295899
AUS,Australia,1.328592064,1.328592064,1.174724579,1.020857264,1.140896559,1.260935983,1.188073874,1.115211726,0.851273618,0.92600671,0.883055261,0.915644314,0.925804418,0.95025773,0.75466302,0.790912757,0.869098655,0.869098655
AUT,Austria,1.329640742,1.329640742,1.203999519,1.07835836,0.938791037,0.799223723,1.040874839,1.282526053,0.943663514,1.07705974,1.105310902,1.080549172,1.279889205,1.340161529,1.17117371,1.122728612,1.188714297,1.188714297
