ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,0,0,0,0,0,0,0.024150658,0.062075514,0.052900936,0.041324558,0.083077769,0.053382733,0.019476583,0,0,0,0,0
ALB,Albania,0.413777975,0.413777975,0.389893079,0.366008189,0.368193507,0.370378818,0.39745506,0.424531297,0.435579056,0.40912937,0.401920135,0.404225144,0.459964058,0.493341905,0.489496075,0.461538609,0.446323385,0.446323385
DZA,Algeria,0.128558484,0.128558484,0.117910385,0.107262298,0.15381279,0.200363248,0.180933809,0.16150437,0.144429949,0.226842415,0.314669096,0.280176997,0.278394863,0.284861549,0.254382662,0.243471657,0.229526013,0.229526013
AND,Andorra,,,,,,,,,,,,,,,,,,
AGO,Angola,0.078940446,0.078940446,0.055420971,0.031901442,0.057514763,0.083128084,0.129368734,0.175609412,0.290754983,0.291648384,0.319803231,0.39156388,0.362345597,0.430834208,0.435738501,0.464404174,0.433564971,0.433564971
ATG,Antigua and Barbuda,0.628866315,0.628866315,0.629749274,0.630632245,0.629508674,0.628385102,0.635608768,0.642832429,0.669965319,0.730672335,0.670174642,0.667891348,0.666346483,0.66885803,0.649016171,0.685663297,0.695685131,0.695685131
ARG,Argentina,0.504322494,0.504322494,0.483806126,0.463289757,0.486778557,0.510267359,0.418592566,0.326917776,0.424106327,0.386759704,0.497132254,0.510634668,0.529996888,0.4896717,0.46883508,0.498416547,0.539583891,0.539583891
ARM,Armenia,0.398595705,0.398595705,0.371822691,0.345049697,0.342166162,0.339282641,0.383486319,0.427690005,0.54428207,0.475109844,0.487444601,0.443020156,0.522502008,0.495955198,0.542326401,0.503189387,0.48094082,0.48094082
AUS,Australia,0.765718413,0.765718413,0.734944916,0.704171453,0.728179312,0.752187197,0.737614775,0.723042345,0.670254724,0.685201342,0.676611052,0.683128863,0.685160884,0.690051546,0.650932604,0.658182551,0.673819731,0.673819731
AUT,Austria,0.765928148,0.765928148,0.740799904,0.715671672,0.687758207,0.659844745,0.708174968,0.756505211,0.688732703,0.715411948,0.72106218,0.716109834,0.755977841,0.768032306,0.734234742,0.724545722,0.737742859,0.737742859
