ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
AFG,Afghanistan,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.414600015,0.3292,0.243799999,0.158399999,0.073,0.073,0.073
ALB,Albania,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.03,3.963000059,3.896,3.896,3.896,3.896
DZA,Algeria,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.173399925,2.11680007,2.060199976,2.003600121,1.947,1.947000027,1.947000027,1.947,1.947,1.947
AND,Andorra,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,4.18,4.376999855,4.574,4.574,4.574,4.574
AGO,Angola,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.41200006,1.473999977,1.536000013,1.59799993,1.66,1.66,1.66,1.66
ATG,Antigua and Barbuda,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282,3.282
ARG,Argentina,0.8,0.8,0.8,0.8,0.746833324,0.693666697,0.640500009,0.587333322,0.534166694,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481,0.481
ARM,Armenia,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.92,4.87,4.852666378,4.835333347,4.818,4.916,4.916
AUS,Australia,9.71,9.71,9.71,9.71,9.71,9.71,9.71,9.949399948,10.18879986,10.42819977,10.66759968,10.907,10.46766663,10.02833271,9.589,9.589,9.589,9.589
AUT,Austria,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.642,7.84,7.902500153,7.965,7.965,7.965
AZE,Azerbaijan,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.41,8.42,8.394666672,8.369333267,8.344,6.84,6.84
BHS,Bahamas,4.47,4.47,4.47,4.47,4.436999798,4.403999805,4.370999813,4.337999821,4.304999828,4.271999836,4.238999844,4.205999851,4.172999859,4.14,4.14,4.14,4.14,4.14
BHR,Bahrain,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,6.07,5.934000015,5.798,3.733,3.79550004,3.858,3.858,3.858
BGD,Bangladesh ,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.276000023,0.272,0.272000015,0.272000015,0.272,0.218,0.218
BRB,Barbados,3.7,3.7,3.7,3.7,3.7,3.892666817,4.085333347,4.277999878,4.470666885,4.663333416,4.856,4.855999947,4.855999947,4.855999947,4.855999947,4.856,4.856,4.856
BLR,Belarus,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.56,12.74333382,12.92666626,13.11,10.529,10.529
BEL,Belgium,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,15.53516674,16.87033272,18.20549965,19.54066658,20.87583351,22.211,22.211,22.211
BLZ,Belize,1.26,1.26,1.26,1.26,1.26,1.26,1.337666631,1.415333271,1.493000031,1.570666671,1.648333311,1.726000071,1.803666711,1.881333351,1.959,1.959,1.959,1.959
BEN,Benin,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.822749972,0.805500031,0.788250029,0.771,0.771000028,0.771,0.771,0.771
BTN,Bhutan,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.2411,0.288,0.26455,0.2411,0.2411,0.2411
BOL,"Bolivia, Plurinational State of",2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133,2.133
BIH,Bosnia and Herzegovina,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.785399914,4.88079977,4.976200104,5.07159996,5.167,5.167,5.167
BWA,Botswana,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.747000217,2.844,2.844000101,2.844000101,2.844000101,2.844,2.844,2.844
BRA,Brazil,3.84,3.84,3.84,3.84,3.84,3.84,3.684833288,3.529666662,3.374499798,3.219333172,3.064166546,2.909,6.5,6.419,6.419000149,6.419,6.419,6.419
BRN,Brunei Darussalam,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,5.862833023,5.66566658,5.468500137,5.271333218,5.074166298,4.877,5.949500084,7.022,7.022,7.022
