ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,19.40119997,19.87439996,20.34759995,20.82079993,21.29399992,21.7671999,22.24039989,22.71359988,23.18679986,23.65999985,27.45942879,29.3,28.71400001,28.12800003,27.54200004,26.95600005
ALB,Albania,39,39,39,39,39,39,39,39,38.22000002,37.44000003,36.66000005,35.88000007,35.10000009,34.3200001,33.54000012,32.76000014
DZA,Algeria,68.90000153,68.90000153,68.90000153,68.90000153,68.90000153,68.90000153,69.22500039,69.54999924,69.8749981,70.19999695,71.01499771,71.82999848,72.64499924,73.46,71.99080003,70.52160007
AND,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,Angola,9.567999669,9.775999657,9.983999644,10.19199963,10.39999962,10.39999962,10.39999962,10.19199963,9.983999644,9.775999657,9.567999669,9.359999681,9.151999693,8.943999706,8.735999718,8.52799973
ATG,Antigua and Barbuda,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908,32.95999908
ARG,Argentina,29.10000038,29.10000038,29.5,29.5,29.39999962,29.39999962,29.59999975,29.79999987,30,29.40000001,28.80000003,28.20000004,27.60000005,27.00000007,26.40000008,25.80000009
ARM,Armenia,96.69999695,96.69999695,96.80000305,96.80000305,95.69400177,94.58800049,93.4819992,92.37599792,91.26999664,90.12000275,89.97000122,88.97899628,89.04,90.52,88.70960004,86.89920008
AUS,Australia,38.59999847,38.70000076,38.70000076,38.70000076,37.92600076,37.15200076,36.37800077,35.60400077,34.83000077,34.05600077,33.28200077,32.50800078,31.73400078,30.96000078,30.18600078,29.41200079
AUT,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.00000004,96.00000009
AZE,Azerbaijan,40.4997997,41.48759966,42.47539963,43.4631996,44.45099956,45.43879953,46.42659949,47.41439946,48.40219942,49.38999939,49.99627279,50.60254618,49.59049528,48.57844438,47.56639348,46.55434258
BHS,Bahamas,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,57.40000153,56.25200153,55.10400152,53.95600152,52.80800151,51.66000151,50.5120015,49.3640015,48.21600149,47.06800149
BHR,Bahrain,74.28400302,75.80000305,76.5,76.90000153,77.40000153,77.59999847,75.30000305,78.90000153,79.12999725,79.7391063,80.31283711,80.80462793,81.04388471,81.48148148,79.85185189,78.22222229
BGD,Bangladesh ,7.900000095,8.399999619,9.5,9.529999733,9.529999733,9.529999733,9.519999822,9.509999911,9.5,9.310000004,9.120000008,8.930000013,8.740000017,8.550000021,8.360000025,8.17000003
BRB,Barbados,95.80000305,95.90000153,97.25,98.59999847,98.59999847,98.59999847,98.59999847,98.59999847,100,100,98.00000004,96.00000009,94.00000013,92.00000018,90.00000022,88.00000027
BLR,Belarus,98.59999847,98.80000305,98.19999695,95.59999847,93.75999908,91.91999969,90.08000031,88.24000092,86.40000153,87,88.63999939,86.86719944,85.09439949,83.32159955,81.5487996,79.77599965
BEL,Belgium,80.69999695,80.69999695,80.69999695,78.19999695,78.19999695,78.19999695,78.30000305,78.19999695,78,78,78.21199799,78.20800018,78.2,78.2,76.63600003,75.07200007
BLZ,Belize,18.62000001,19,16,17,17,17,17,16.66000001,16.32000002,15.98000002,15.64000003,15.30000004,14.96000005,14.62000005,14.28000006,13.94000007
BEN,Benin,20,20,20,20,18.25,16.5,14.75,13,11.25,9.5,9.310000004,9.120000008,8.930000013,8.740000017,8.550000021,8.360000025
BTN,Bhutan,63.70000076,60.70000076,60.70000076,60.9166673,61.13333384,61.35000038,61.56666692,61.78333346,62,60.76000003,59.52000006,58.28000008,57.04000011,55.80000014,54.56000017,53.32000019
BOL,"Bolivia, Plurinational State of",5.5,5.5,5.699999809,6,6.400000095,6.599999905,6.699999809,6.699999809,7,7,6.860000003,6.720000006,6.580000009,6.440000013,6.300000016,6.160000019
BIH,Bosnia and Herzegovina,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,52.29999924,51.25399928,50.20799932,49.16199936,48.11599939,47.06999943
BWA,Botswana,30.35799946,31.06399943,31.76999939,32.47599936,33.18199933,33.8879993,34.59399927,35.29999924,35.13999939,33.20000076,32.59999847,31.94799852,31.29599856,30.64399861,29.99199865,29.3399987
BRA,Brazil,8.899999619,9.300000191,9.100000381,9.600000381,5.599999905,5.5,5.390000002,5.280000005,5.170000007,5.06000001,4.950000012,4.840000015,4.730000017,4.62000002,4.510000022,4.400000025
BRN,Brunei Darussalam,34.59999847,34.64999962,34.70000076,34.70000076,34.70000076,34.70000076,43.20600128,51.7120018,60.21800232,68.72400284,77.23000336,75.68540333,74.14080329,72.59620326,71.05160323,69.5070032
BGR,Bulgaria,92,92,92,92.09999847,92.99999891,93.89999934,94.79999978,95.70000022,96.60000066,97.50000109,98.40000153,96.43200154,94.46400156,92.49600157,90.52800158,88.5600016
BFA,Burkina Faso,16,16,16,16,16,13.63400002,11.26800003,8.902000046,6.536000061,4.170000076,4.086600076,4.003200077,3.919800077,3.836400077,3.753000078,3.669600078
BDI,Burundi,6.531999925,6.67399992,6.815999915,6.95799991,7.099999905,7.099999905,7.934999824,8.769999743,9.604999661,10.43999958,10.23119959,10.02239961,9.813599619,9.604799632,9.395999645,9.187199658
KHM,Cambodia,7.5,7.5,7.5,7.327142852,7.154285703,6.981428555,6.808571407,6.635714259,6.46285711,6.289999962,6.164199966,6.038399969,5.912599973,5.786799976,5.66099998,5.535199983
CMR,Cameroon,12.5,12.5,12.5,12.5,12.5,8.100000381,8.167500257,8.235000134,8.30250001,8.369999886,8.202599892,8.035199898,7.867799904,7.70039991,7.532999916,7.365599922
CAN,Canada,35.29999924,35.80777698,36.31555473,36.82333247,37.33111021,37.83888796,38.3466657,38.85444344,39.36222119,39.86999893,39.07259897,38.27519901,37.47779905,36.68039909,35.88299913,35.08559917
CPV,Cape Verde,78,78,78,78,78,69.04000092,69.04000092,67.65920093,66.27840094,64.89760096,63.51680097,62.13600098,60.75520099,59.37440101,57.99360102,56.61280103
CAF,Central African Republic,2.099999905,2.099999905,2.400000095,2.700000048,2.646000048,2.592000048,2.538000049,2.484000049,2.430000049,2.376000049,2.32200005,2.26800005,2.21400005,2.16000005,2.106000051,2.052000051
TCD,Chad,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.784000012,0.768000012,0.752000012,0.736000012,0.720000013,0.704000013,0.688000013,0.672000013,0.656000013,0.640000013
CHL,Chile,15.89999962,16.70000076,17.20000076,18.29999924,18.89999962,18.39999962,20.20000076,19.79600075,19.39200075,18.98800074,18.58400074,18.18000073,17.77600072,17.37200072,16.96800071,16.5640007
CHN,China,32.63999957,33.45599954,34.27199951,35.08799947,35.90399944,36.71999941,37.53599937,38.35199934,39.16799931,39.98399927,40.79999924,44.09999847,49.6,53.5,52.43000002,51.36000005
COL,Colombia,9.199999809,11.89999962,12,14.30000019,14.39999962,14.11199963,13.82399965,13.53599966,13.24799968,12.95999969,12.6719997,12.38399972,12.09599973,11.80799975,11.51999976,11.23199977
COM,Comoros,76.5,76.5,76.5,76.5,76.5,76.5,76.5,74.97000003,73.44000007,71.9100001,70.38000014,68.85000017,67.32000021,65.79000024,64.26000027,62.73000031
COG,Congo,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,8.524999857,7.349999905,6.174999952,5,6.064705883,7.129411765,6.986823533,6.844235301,6.701647069,6.559058837
COD,"Congo, the Democratic Republic of the",1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052,1.820000052
CRI,Costa Rica,16.70000076,17,17,21,22,22,22,22,24.60000038,24.39999962,24.80000019,25.20000076,25.53336607,25.28,24.77440001,24.26880002
CIV,C™te d'Ivoire,9.600000381,9.699999809,9.699999809,9.699999809,9.699999809,9.699999809,9.304999828,8.909999848,8.514999867,8.119999886,8.056551626,7.993103365,7.929655105,7.771062006,7.612468908,7.453875809
HRV,Croatia,79.87000004,81.5,81.5,84.40000153,84.59999847,85.4,84.92774536,85.62836828,86.3289912,87.02961412,87.73023704,88.43085996,89.13148288,86.88,85.14240004,83.40480008
CUB,Cuba,55.79999924,55.90000153,49,49,49,49,49,48.02000002,47.04000004,46.06000007,45.08000009,44.10000011,43.12000013,42.14000015,41.16000018,40.1800002
CYP,Cyprus,57,57.20000076,57.29999924,59.20000076,59.59999847,60.59999847,61.20000076,62.20000076,62.95000076,63,64.58999634,65.05000305,64.03723665,64.61,63.31780003,62.02560006
CZE,Czech Republic,100,100,100,100,100,100,100,100,100,100,98.00000004,96.00000009,94.00000013,92.00000018,90.00000022,88.00000027
DNK,Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.00000004,96.00000009
DJI,Djibouti,40.5000001,41.40000008,42.30000006,43.20000004,44.10000002,45,45,44.10000002,43.20000004,42.30000006,41.40000008,40.5000001,39.60000012,38.70000014,37.80000016,36.90000018
DMA,Dominica,50.29999924,50.40000153,50.40000153,50.40000153,50.40000153,50.40000153,50.40000153,49.39200152,48.38400151,47.37600151,46.3680015,45.36000149,44.35200148,43.34400147,42.33600147,41.32800146
DOM,Dominican Republic,49.29999924,49.40000153,49.40000153,49.40000153,49.40000153,49.40000153,49.40000153,48.41200152,47.42400151,46.4360015,45.4480015,44.46000149,43.47200148,42.48400147,41.49600146,40.50800145
ECU,Ecuador,12.69999981,13.30000019,18.89999962,18.89999962,18.89999962,18.89999962,16.87000084,16.87000084,14.93999958,14.97000027,14.89283181,14.81566334,14.81566293,14.51934968,14.22303643,13.92672317
EGY,Egypt,78,78.09999847,78.09999847,78.09999847,78.09999847,78.09999847,78.82499885,79.54999924,80.27499962,81,82.4725,83.945,85.4175,86.89,85.15220004,83.41440008
SLV,El Salvador,20,19.89999962,19.79999924,19.79999924,19.79999924,19.79999924,19.79999924,19.40399926,19.00799929,18.61199931,18.21599934,17.81999936,17.42399938,17.02799941,16.63199943,16.23599946
GNQ,Equatorial Guinea,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ERI,Eritrea,21.39999962,21.79999924,21.79999924,21.79999924,21.79999924,21.79999924,21.79999924,21.36399926,20.92799929,20.49199931,20.05599934,19.61999936,19.18399939,18.74799941,18.31199944,17.87599946
EST,Estonia,54,53.20000076,50.79999924,22.10000038,21.29999924,20.10000038,19.70000076,24.79999924,23.39999962,22.13999939,22.67000008,25.63622475,28.60244941,28.77451149,28.19902127,27.62353106
ETH,Ethiopia,15.5,15.30000019,15.30000019,14,13.30000019,12,12,12,12.89999962,19.13999939,11.04791126,11.63154756,13.67478978,13.40129399,13.1277982,12.85430241
FJI,Fiji,49.09999847,49.20000076,49.20000076,49.20000076,49.20000076,49.20000076,49.20000076,48.21600077,47.23200077,46.24800078,45.26400079,44.28000079,43.2960008,42.31200081,41.32800081,40.34400082
FIN,Finland,63,64,64,64,64.5,62,64,64,64.59999847,64.69999695,65.04000092,65.27533221,65.36272484,65.47,64.16060003,62.85120006
FRA,France,98.00000004,100,100,100,100,100,100,100,100,100,100,100,100,100,98.00000004,96.00000009
GAB,Gabon,8.199999809,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,9.977499724,10.05499983,10.13249993,10.21000004,10.00580004,9.801600048,9.597400051,9.393200055,9.189000059,8.984800063
GMB,Gambia,16.22879981,16.61519979,17.00159978,17.38799976,17.77439975,18.16079973,18.54719972,18.9335997,19.31999969,19.31999969,18.9335997,18.54719972,18.16079973,17.77439975,17.38799976,17.00159978
GEO,Georgia,93.5,93.5,93.69999695,93.40000153,93.48344986,93.56689819,93.65034652,93.73379485,93.81724318,93.90069151,93.98413984,94.06758817,94.06758817,92.18623645,90.30488473,88.42353301
DEU,Germany,99,99.09999847,99.22857012,99.35714176,99.48571341,99.61428506,99.74285671,99.87142835,100,98.00000004,96.00000009,94.00000013,92.00000018,90.00000022,88.00000027,86.00000031
GHA,Ghana,24.89999962,24.10000038,25.93333371,27.76666705,29.60000038,29.60000038,18.39999962,18.15999985,17.92000008,16.42514658,14.93029308,14.63168723,14.33308137,14.03447552,13.73586966,13.43726381
GRC,Greece,91.69999695,91.80000305,91.80000305,91.80000305,91.80000305,91.80000305,89.96400303,88.12800301,86.29200299,84.45600297,82.62000295,80.78400293,78.94800291,77.11200289,75.27600287,73.44000285
GRD,Grenada,61.20000076,61.29999924,61.29999924,61.29999924,60.95999908,60.95999908,60.95999908,59.74079913,58.52159917,57.30239922,56.08319926,54.86399931,53.64479935,52.4255994,51.20639945,49.98719949
GTM,Guatemala,26,25.79999924,26.39999962,31,34.5,34.5,34.5,33.81000002,33.12000003,32.43000005,31.74000006,31.05000008,30.36000009,29.67000011,28.98000012,28.29000014
GIN,Guinea,16.39999962,16.5,16.5,16.5,16.5,16.5,14.26333332,12.02666664,9.789999962,9.594199967,9.398399972,9.202599977,9.006799983,8.810999988,8.615199993,8.419399998
GNB,Guinea-Bissau,10.19999981,10.30000019,10.30000019,10.30000019,14.71000028,19.12000036,23.53000045,27.94000053,27.38120053,26.82240053,26.26360054,25.70480054,25.14600054,24.58720054,24.02840054,23.46960055
GUY,Guyana,7.300000191,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.400000095,7.252000096,7.104000098,6.956000099,6.808000101,6.660000102,6.512000103,6.364000105,6.216000106,6.068000108
HTI,Haiti,24.20000076,24.29999924,24.29999924,24.29999924,24.29999924,24.29999924,24.29999924,23.81399927,23.32799929,22.84199932,22.35599934,21.86999937,21.3839994,20.89799942,20.41199945,19.92599947
HND,Honduras,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,20.39999962,19.99199964,19.58399965,19.17599967,18.76799969,18.3599997,17.95199972,17.54399974,17.13599975,16.72799977
HUN,Hungary,44.09999847,43.09999847,43.40000153,43.40000153,43.50000127,43.60000102,43.70000076,43.90000153,43.90000153,41.94694111,39.99388068,38.04082026,37.71631778,37.65,36.89700002,36.14400003
