ISO3,name,"1,995","1,996","1,997","1,998","1,999","2,000","2,001","2,002","2,003","2,004","2,005","2,006","2,007","2,008","2,009","2,010"
AFG,Afghanistan,19.40,19.87,20.35,20.82,21.29,21.77,22.24,22.71,23.19,23.66,27.46,29.30,28.71,28.13,27.54,26.96
ALB,Albania,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,38.22,37.44,36.66,35.88,35.10,34.32,33.54,32.76
DZA,Algeria,68.90,68.90,68.90,68.90,68.90,68.90,69.23,69.55,69.87,70.20,71.01,71.83,72.64,73.46,71.99,70.52
AND,Andorra,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
AGO,Angola,9.57,9.78,9.98,10.19,10.40,10.40,10.40,10.19,9.98,9.78,9.57,9.36,9.15,8.94,8.74,8.53
ATG,Antigua and Barbuda,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96,32.96
ARG,Argentina,29.10,29.10,29.50,29.50,29.40,29.40,29.60,29.80,30.00,29.40,28.80,28.20,27.60,27.00,26.40,25.80
ARM,Armenia,96.70,96.70,96.80,96.80,95.69,94.59,93.48,92.38,91.27,90.12,89.97,88.98,89.04,90.52,88.71,86.90
AUS,Australia,38.60,38.70,38.70,38.70,37.93,37.15,36.38,35.60,34.83,34.06,33.28,32.51,31.73,30.96,30.19,29.41
AUT,Austria,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,98.00,96.00
AZE,Azerbaijan,40.50,41.49,42.48,43.46,44.45,45.44,46.43,47.41,48.40,49.39,50.00,50.60,49.59,48.58,47.57,46.55
BHS,Bahamas,57.40,57.40,57.40,57.40,57.40,57.40,57.40,56.25,55.10,53.96,52.81,51.66,50.51,49.36,48.22,47.07
BHR,Bahrain,74.28,75.80,76.50,76.90,77.40,77.60,75.30,78.90,79.13,79.74,80.31,80.80,81.04,81.48,79.85,78.22
BGD,Bangladesh ,7.90,8.40,9.50,9.53,9.53,9.53,9.52,9.51,9.50,9.31,9.12,8.93,8.74,8.55,8.36,8.17
BRB,Barbados,95.80,95.90,97.25,98.60,98.60,98.60,98.60,98.60,100.00,100.00,98.00,96.00,94.00,92.00,90.00,88.00
BLR,Belarus,98.60,98.80,98.20,95.60,93.76,91.92,90.08,88.24,86.40,87.00,88.64,86.87,85.09,83.32,81.55,79.78
BEL,Belgium,80.70,80.70,80.70,78.20,78.20,78.20,78.30,78.20,78.00,78.00,78.21,78.21,78.20,78.20,76.64,75.07
BLZ,Belize,18.62,19.00,16.00,17.00,17.00,17.00,17.00,16.66,16.32,15.98,15.64,15.30,14.96,14.62,14.28,13.94
BEN,Benin,20.00,20.00,20.00,20.00,18.25,16.50,14.75,13.00,11.25,9.50,9.31,9.12,8.93,8.74,8.55,8.36
BTN,Bhutan,63.70,60.70,60.70,60.92,61.13,61.35,61.57,61.78,62.00,60.76,59.52,58.28,57.04,55.80,54.56,53.32
BOL,"Bolivia, Plurinational State of",5.50,5.50,5.70,6.00,6.40,6.60,6.70,6.70,7.00,7.00,6.86,6.72,6.58,6.44,6.30,6.16
BIH,Bosnia and Herzegovina,52.30,52.30,52.30,52.30,52.30,52.30,52.30,52.30,52.30,52.30,52.30,51.25,50.21,49.16,48.12,47.07
BWA,Botswana,30.36,31.06,31.77,32.48,33.18,33.89,34.59,35.30,35.14,33.20,32.60,31.95,31.30,30.64,29.99,29.34
BRA,Brazil,8.90,9.30,9.10,9.60,5.60,5.50,5.39,5.28,5.17,5.06,4.95,4.84,4.73,4.62,4.51,4.40
BRN,Brunei Darussalam,34.60,34.65,34.70,34.70,34.70,34.70,43.21,51.71,60.22,68.72,77.23,75.69,74.14,72.60,71.05,69.51
BGR,Bulgaria,92.00,92.00,92.00,92.10,93.00,93.90,94.80,95.70,96.60,97.50,98.40,96.43,94.46,92.50,90.53,88.56
BFA,Burkina Faso,16.00,16.00,16.00,16.00,16.00,13.63,11.27,8.90,6.54,4.17,4.09,4.00,3.92,3.84,3.75,3.67
BDI,Burundi,6.53,6.67,6.82,6.96,7.10,7.10,7.93,8.77,9.60,10.44,10.23,10.02,9.81,9.60,9.40,9.19
