ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,,,,,,,,,,23.66,27.46,29.30,,,,
ALB,Albania,39.00,39.00,39.00,39.00,39.00,39.00,39.00,39.00,,,,,,,,
DZA,Algeria,68.90,68.90,68.90,68.90,68.90,68.90,,,,70.20,,,,73.46,,
AND,Andorra,,,,,,100.00,,,,,,,,,,
AGO,Angola,,,,,10.40,10.40,10.40,,,,,,,,,
ATG,Antigua and Barbuda,,,,,,,,32.96,,,,,,,,
ARG,Argentina,29.10,29.10,29.50,29.50,29.40,29.40,,,30.00,,,,,,,
ARM,Armenia,96.70,96.70,96.80,96.80,,,,,91.27,90.12,89.97,88.98,89.04,90.52,,
AUS,Australia,38.60,38.70,,38.70,,,,,,,,,,,,
AUT,Austria,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,,
AZE,Azerbaijan,,,,,,,,,,49.39,,50.60,,,,
BHS,Bahamas,57.40,57.40,57.40,57.40,57.40,57.40,57.40,,,,,,,,,
BHR,Bahrain,,75.80,76.50,76.90,77.40,77.60,75.30,78.90,79.13,79.74,80.31,80.80,81.04,81.48,,
BGD,Bangladesh ,7.90,8.40,9.50,9.53,9.53,9.53,,,9.50,,,,,,,
BRB,Barbados,95.80,95.90,,98.60,98.60,98.60,98.60,98.60,100.00,100.00,,,,,,
BLR,Belarus,98.60,98.80,98.20,95.60,,,,,86.40,87.00,88.64,,,,,
BEL,Belgium,80.70,80.70,80.70,78.20,78.20,78.20,78.30,78.20,78.00,78.00,78.21,78.21,78.20,78.20,,
BLZ,Belize,,19.00,16.00,17.00,17.00,17.00,17.00,,,,,,,,,
BEN,Benin,20.00,20.00,20.00,20.00,,,,,,9.50,,,,,,
BTN,Bhutan,63.70,60.70,60.70,,,,,,62.00,,,,,,,
BOL,"Bolivia, Plurinational State of",5.50,5.50,5.70,6.00,6.40,6.60,6.70,6.70,7.00,7.00,,,,,,
