ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,Afghanistan,,-1.757426097,,-1.739848082,,-1.770754125,,-1.770737566,-1.670382609,-1.709965138,-1.724041995,-1.955609385,-1.930692878,-1.945661937,-1.90569371,-1.898808533,-1.937450469
ALB,Albania,,-0.932301534,,-1.201786974,,-1.243810827,,-0.922537311,-0.8772374,-0.757133359,-0.804945612,-0.734549163,-0.703953741,-0.637289499,-0.532705114,-0.435926869,-0.492720037
DZA,Algeria,,-1.193169404,,-1.178167868,,-1.168389781,,-0.588105786,-0.543456852,-0.553887736,-0.703739863,-0.656088763,-0.724728625,-0.718508937,-0.767647476,-0.759559096,-0.821935555
AND,Andorra,,,,,,,,,,,,,,,,,
AGO,Angola,,-1.633401454,,-1.699519188,,-1.633356236,,-1.606220797,-1.530045011,-1.458924622,-1.443273472,-1.29550188,-1.396214128,-1.3923422,-1.22265294,-1.240081688,-1.230347465
ATG,Antigua and Barbuda,,1.005523073,,1.047480924,,1.008701856,,1.01825362,1.000847462,0.913037657,0.675778899,0.997599672,0.98378691,0.966975969,1.000476961,0.984472582,0.955403484
ARG,Argentina,,0.03780743,,-0.035630094,,-0.199699556,,-0.816907502,-0.820225094,-0.82549429,-0.581821535,-0.558291837,-0.594864363,-0.667318612,-0.671214158,-0.581984749,-0.560297377
ARM,Armenia,,-0.492857005,,-0.356011519,,-0.460861877,,-0.378563125,-0.324484883,-0.44512572,-0.369661962,-0.493580029,-0.456576072,-0.294264574,-0.451987975,-0.467343058,-0.406490279
AUS,Australia,,1.669392542,,1.754330697,,1.697133437,,1.754373469,1.837642444,1.813798414,1.712165752,1.749785722,1.737637592,1.757718576,1.73969009,1.768431953,1.779098053
AUT,Austria,,1.801734512,,1.834391211,,1.813903721,,1.860874369,1.861485036,1.846200707,1.863880261,1.911460294,1.961917241,1.928739723,1.777987568,1.793620637,1.810609388
AZE,Azerbaijan,,-1.156051774,,-1.087877408,,-1.110654899,,-0.852627657,-0.814912773,-0.843993829,-0.743700796,-0.80318756,-0.791214581,-0.760430642,-0.850694465,-0.8730391,-0.870853039
BHS,Bahamas,,1.087698978,,1.230996601,,1.253545389,,1.360744857,1.364276455,1.353991242,1.332219372,1.086532995,1.251271507,1.18862901,0.772835989,0.682291247,0.638626481
BHR,Bahrain,,0.040216671,,0.389029452,,0.365031848,,0.611489121,0.637105973,0.754808335,0.647699462,0.423631326,0.577866731,0.570615882,0.498040102,0.425044341,0.346183894
BGD,Bangladesh ,,-0.960767379,,-0.92916211,,-0.94520554,,-0.90076666,-1.024963742,-0.996699752,-0.967092215,-0.876940873,-0.830870736,-0.752474569,-0.759857739,-0.771900296,-0.718972766
BRB,Barbados,,0.955329686,,1.197426646,,1.344204665,,1.450193921,1.451109434,1.387043991,1.282085669,1.172642357,1.257349887,1.274722955,0.970300312,1.035871804,1.035934137
BLR,Belarus,,-0.730736166,,-0.804102617,,-1.019956183,,-1.272168549,-1.20145607,-1.255588802,-1.194713997,-1.28797546,-1.1460794,-1.00930826,-1.002216785,-1.043991873,-1.076344258
BEL,Belgium,,1.31140328,,1.183914492,,1.282439108,,1.315876787,1.31638724,1.310440275,1.240481024,1.199681703,1.303891753,1.323729121,1.386143049,1.400656578,1.448954042
BLZ,Belize,,0.008160366,,-0.10275916,,0.051627445,,-0.1322168,0.049200159,-0.206389086,-0.157607671,-0.089877568,-0.132943231,-0.227929967,-0.377543844,-0.360733188,-0.50281463
BEN,Benin,,-0.189740075,,-0.135425987,,-0.265994356,,-0.343825172,-0.518125681,-0.589402273,-0.591325627,-0.572783929,-0.554976919,-0.566434542,-0.700832069,-0.729391947,-0.735739
BTN,Bhutan,,0.048933368,,0.203115161,,0.178461176,,0.090638615,0.233500906,0.356806939,0.362699296,0.25736543,0.371918915,0.37309634,0.170668737,0.10890455,0.12901892
BOL,"Bolivia, Plurinational State of",,-0.290981272,,-0.256715491,,-0.421929905,,-0.43220259,-0.481137562,-0.686912222,-0.802743913,-0.870899454,-0.856653821,-1.018393099,-1.141194113,-1.062119947,-1.005404482
BIH,Bosnia and Herzegovina,,-0.255424651,,-0.637870784,,-0.636457835,,-0.664244867,-0.686519982,-0.489656469,-0.558533018,-0.510864815,-0.48856083,-0.417500611,-0.352973761,-0.359680332,-0.336145857
BWA,Botswana,,0.502195978,,0.584453502,,0.530315642,,0.502603052,0.668490465,0.635161249,0.603648473,0.572885981,0.605586355,0.650418767,0.656928418,0.666591962,0.655283641
BRA,Brazil,,-0.329605819,,-0.30895351,,-0.300628012,,-0.302567746,-0.402612786,-0.390858876,-0.493261043,-0.418726418,-0.440388873,-0.373243865,-0.202726925,0.003311183,0.013264243
BRN,Brunei Darussalam,,0.75049109,,0.545650606,,0.500360795,,0.484346324,0.53952095,0.389059006,0.296742495,0.206725737,0.445773135,0.512950485,0.797428721,0.795191598,0.881377738
