ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
AFG,Afghanistan,0.148514781,0.148514781,0.15027256,0.152030384,0.148939776,0.145849175,0.145850849,0.145852487,0.165923478,0.158006972,0.155191601,0.108878123,0.113861424,0.110867613,0.118861258,0.120238293,0.112509906,0.112509906
ALB,Albania,0.313539693,0.313539693,0.286591148,0.259642605,0.255440235,0.251237835,0.283365202,0.315492538,0.32455252,0.348573328,0.339010878,0.353090167,0.359209252,0.3725421,0.393458977,0.412814626,0.401455993,0.401455993
DZA,Algeria,0.261366119,0.261366119,0.262866282,0.264366426,0.265344238,0.266322044,0.324350441,0.382378843,0.39130863,0.389222453,0.359252027,0.368782247,0.355054275,0.356298213,0.346470505,0.348088181,0.335612889,0.335612889
AND,Andorra,,,,,,,,,,,,,,,,,,
AGO,Angola,0.173319709,0.173319709,0.166707945,0.160096162,0.166712475,0.173328753,0.176042295,0.178755841,0.193990998,0.208215076,0.211345306,0.240899624,0.220757174,0.22153156,0.255469412,0.251983662,0.253930507,0.253930507
ATG,Antigua and Barbuda,0.701104615,0.701104615,0.705300403,0.709496185,0.705618286,0.701740371,0.702695537,0.703650724,0.700169492,0.682607531,0.63515578,0.699519934,0.696757382,0.693395194,0.700095392,0.696894516,0.691080697,0.691080697
ARG,Argentina,0.507561486,0.507561486,0.500217734,0.492873981,0.476467036,0.460060089,0.398339295,0.3366185,0.335954981,0.334901142,0.383635693,0.388341633,0.381027127,0.366536278,0.365757168,0.38360305,0.387940525,0.387940525
ARM,Armenia,0.401428599,0.401428599,0.415113151,0.428797696,0.418312657,0.407827625,0.416057497,0.424287375,0.435103023,0.410974856,0.426067608,0.401283994,0.408684786,0.441147085,0.409602405,0.406531388,0.418701944,0.418701944
AUS,Australia,0.833878508,0.833878508,0.842372322,0.850866139,0.845146418,0.839426687,0.845150685,0.850874694,0.867528489,0.862759683,0.84243315,0.849957144,0.847527518,0.851543715,0.847938018,0.853686391,0.855819611,0.855819611
AUT,Austria,0.860346902,0.860346902,0.86361258,0.866878242,0.864829493,0.862780744,0.867477798,0.872174874,0.872297007,0.869240141,0.872776052,0.882292059,0.892383448,0.885747945,0.855597514,0.858724127,0.862121878,0.862121878
AZE,Azerbaijan,0.268789645,0.268789645,0.275607085,0.282424518,0.280146766,0.27786902,0.303671741,0.329474469,0.337017445,0.331201234,0.351259841,0.339362488,0.341757084,0.347913872,0.329861107,0.32539218,0.325829392,0.325829392
BHS,Bahamas,0.717539796,0.717539796,0.731869555,0.74619932,0.748454189,0.750709078,0.761429024,0.772148971,0.772855291,0.770798248,0.766443874,0.717306599,0.750254301,0.737725802,0.654567198,0.636458249,0.627725296,0.627725296
BHR,Bahrain,0.508043334,0.508043334,0.54292461,0.57780589,0.575406128,0.57300637,0.597652096,0.622297824,0.627421195,0.650961667,0.629539892,0.584726265,0.615573346,0.614123176,0.59960802,0.585008868,0.569236779,0.569236779
BGD,Bangladesh ,0.307846524,0.307846524,0.311007047,0.314167578,0.312563229,0.310958892,0.31540277,0.319846668,0.295007252,0.30066005,0.306581557,0.324611825,0.333825853,0.349505086,0.348028452,0.345619941,0.356205447,0.356205447
BRB,Barbados,0.691065937,0.691065937,0.715275621,0.739485329,0.754163122,0.768840933,0.779439855,0.790038784,0.790221887,0.777408798,0.756417134,0.734528471,0.751469977,0.754944591,0.694060062,0.707174361,0.707186827,0.707186827
BLR,Belarus,0.353852767,0.353852767,0.346516132,0.339179477,0.317594123,0.296008763,0.270787525,0.24556629,0.259708786,0.24888224,0.261057201,0.242404908,0.27078412,0.298138348,0.299556643,0.291201625,0.284731148,0.284731148
BEL,Belgium,0.762280656,0.762280656,0.749531794,0.736782898,0.746635365,0.756487822,0.759831595,0.763175357,0.763277448,0.762088055,0.748096205,0.739936341,0.760778351,0.764745824,0.77722861,0.780131316,0.789790808,0.789790808
BLZ,Belize,0.501632073,0.501632073,0.490540121,0.479448168,0.494886829,0.510325489,0.491941065,0.47355664,0.509840032,0.458722183,0.468478466,0.482024486,0.473411354,0.454414007,0.424491231,0.427853362,0.399437074,0.399437074
BEN,Benin,0.462051985,0.462051985,0.467483395,0.472914803,0.459857965,0.446801129,0.439018047,0.431234966,0.396374864,0.382119545,0.381734875,0.385443214,0.389004616,0.386713092,0.359833586,0.354121611,0.3528522,0.3528522
BTN,Bhutan,0.509786674,0.509786674,0.525204852,0.540623032,0.538157636,0.535692235,0.52690998,0.518127723,0.546700181,0.571361388,0.572539859,0.551473086,0.574383783,0.574619268,0.534133747,0.52178091,0.525803784,0.525803784
BOL,"Bolivia, Plurinational State of",0.441803746,0.441803746,0.445230329,0.448656902,0.432135463,0.415614019,0.414586753,0.413559482,0.403772488,0.362617556,0.339451217,0.325820109,0.328669236,0.29632138,0.271761177,0.287576011,0.298919104,0.298919104
BIH,Bosnia and Herzegovina,0.44891507,0.44891507,0.410670459,0.372425843,0.372567129,0.372708433,0.369929719,0.367151027,0.362696004,0.402068706,0.388293396,0.397827037,0.402287834,0.416499878,0.429405248,0.428063934,0.432770829,0.432770829
BWA,Botswana,0.600439196,0.600439196,0.608664942,0.6168907,0.611476922,0.606063128,0.603291869,0.60052061,0.633698093,0.62703225,0.620729695,0.614577196,0.621117271,0.630083753,0.631385684,0.633318392,0.631056728,0.631056728
BRA,Brazil,0.434078836,0.434078836,0.436144066,0.438209298,0.439041847,0.439874398,0.439680421,0.439486451,0.419477443,0.421828225,0.401347791,0.416254716,0.411922225,0.425351227,0.459454615,0.500662237,0.502652849,0.502652849
BRN,Brunei Darussalam,0.650098218,0.650098218,0.629614162,0.609130121,0.604601145,0.600072159,0.598470712,0.596869265,0.60790419,0.577811801,0.559348499,0.541345147,0.589154627,0.602590097,0.659485744,0.65903832,0.676275548,0.676275548
BGR,Bulgaria,0.408726192,0.408726192,0.418107146,0.427488101,0.441025114,0.454562127,0.467883381,0.481204637,0.461202514,0.47469022,0.467894661,0.464392976,0.471916999,0.46132383,0.489924713,0.484401748,0.481732548,0.481732548
