ISO3,name,"1,995","1,996","1,997","1,998","1,999","2,000","2,001","2,002","2,003","2,004","2,005","2,006","2,007","2,008","2,009","2,010"
AFG,Afghanistan,80.20,79.90,79.60,79.30,79.00,78.70,78.38,78.06,77.74,77.42,77.10,76.72,76.34,75.96,75.58,
ALB,Albania,61.10,60.54,59.98,59.42,58.86,58.30,57.68,57.06,56.44,55.82,55.20,54.56,53.92,53.28,52.64,
DZA,Algeria,44.00,43.24,42.48,41.72,40.96,40.20,39.50,38.80,38.10,37.40,36.70,36.06,35.42,34.78,34.14,
AND,Andorra,6.30,6.56,6.82,7.08,7.34,7.60,8.02,8.44,8.86,9.28,9.70,10.16,10.62,11.08,11.54,
AGO,Angola,56.00,55.00,54.00,53.00,52.00,51.00,50.00,49.00,48.00,47.00,46.00,45.10,44.20,43.30,42.40,
ATG,Antigua and Barbuda,66.00,66.38,66.76,67.14,67.52,67.90,68.18,68.46,68.74,69.02,69.30,69.38,69.46,69.54,69.62,
ARG,Argentina,11.30,11.02,10.74,10.46,10.18,9.90,9.64,9.38,9.12,8.86,8.60,8.40,8.20,8.00,7.80,
ARM,Armenia,33.70,33.94,34.18,34.42,34.66,34.90,35.10,35.30,35.50,35.70,35.90,35.98,36.06,36.14,36.22,
AUS,Australia,13.90,13.68,13.46,13.24,13.02,12.80,12.60,12.40,12.20,12.00,11.80,11.62,11.44,11.26,11.08,
AUT,Austria,34.20,34.20,34.20,34.20,34.20,34.20,34.06,33.92,33.78,33.64,33.50,33.28,33.06,32.84,32.62,
AZE,Azerbaijan,47.80,48.00,48.20,48.40,48.60,48.80,48.74,48.68,48.62,48.56,48.50,48.36,48.22,48.08,47.94,
BHS,Bahamas,19.00,18.80,18.60,18.40,18.20,18.00,17.78,17.56,17.34,17.12,16.90,16.70,16.50,16.30,16.10,
BHR,Bahrain,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.56,11.52,11.48,11.44,
BGD,Bangladesh ,78.30,77.92,77.54,77.16,76.78,76.40,75.98,75.56,75.14,74.72,74.30,73.82,73.34,72.86,72.38,
BRB,Barbados,65.50,65.14,64.78,64.42,64.06,63.70,63.28,62.86,62.44,62.02,61.60,61.12,60.64,60.16,59.68,
BLR,Belarus,32.10,31.70,31.30,30.90,30.50,30.10,29.64,29.18,28.72,28.26,27.80,27.38,26.96,26.54,26.12,
BEL,Belgium,3.20,3.14,3.08,3.02,2.96,2.90,2.86,2.82,2.78,2.74,2.70,2.68,2.66,2.64,2.62,
BLZ,Belize,52.50,52.44,52.38,52.32,52.26,52.20,51.72,51.24,50.76,50.28,49.80,49.30,48.80,48.30,47.80,
BEN,Benin,63.20,62.90,62.60,62.30,62.00,61.70,61.36,61.02,60.68,60.34,60.00,59.60,59.20,58.80,58.40,
BTN,Bhutan,79.50,78.52,77.54,76.56,75.58,74.60,73.48,72.36,71.24,70.12,69.00,67.84,66.68,65.52,64.36,
BOL,"Bolivia, Plurinational State of",40.60,40.12,39.64,39.16,38.68,38.20,37.72,37.24,36.76,36.28,35.80,35.34,34.88,34.42,33.96,
BIH,Bosnia and Herzegovina,58.90,58.48,58.06,57.64,57.22,56.80,56.30,55.80,55.30,54.80,54.30,53.72,53.14,52.56,51.98,
BWA,Botswana,51.00,50.16,49.32,48.48,47.64,46.80,45.98,45.16,44.34,43.52,42.70,41.94,41.18,40.42,39.66,
BRA,Brazil,22.20,21.52,20.84,20.16,19.48,18.80,18.20,17.60,17.00,16.40,15.80,15.34,14.88,14.42,13.96,
BRN,Brunei Darussalam,31.40,30.90,30.40,29.90,29.40,28.90,28.42,27.94,27.46,26.98,26.50,26.06,25.62,25.18,24.74,
BGR,Bulgaria,32.20,31.98,31.76,31.54,31.32,31.10,30.84,30.58,30.32,30.06,29.80,29.50,29.20,28.90,28.60,
BFA,Burkina Faso,84.90,84.60,84.30,84.00,83.70,83.40,83.06,82.72,82.38,82.04,81.70,81.28,80.86,80.44,80.02,
BDI,Burundi,92.80,92.58,92.36,92.14,91.92,91.70,91.46,91.22,90.98,90.74,90.50,90.20,89.90,89.60,89.30,
KHM,Cambodia,85.80,85.26,84.72,84.18,83.64,83.10,82.54,81.98,81.42,80.86,80.30,79.68,79.06,78.44,77.82,
CMR,Cameroon,54.70,53.78,52.86,51.94,51.02,50.10,49.22,48.34,47.46,46.58,45.70,44.88,44.06,43.24,42.42,
CAN,Canada,22.30,21.94,21.58,21.22,20.86,20.50,20.38,20.26,20.14,20.02,19.90,19.80,19.70,19.60,19.50,
CPV,Cape Verde,51.20,50.28,49.36,48.44,47.52,46.60,45.80,45.00,44.20,43.40,42.60,41.86,41.12,40.38,39.64,
CAF,Central African Republic,62.80,62.72,62.64,62.56,62.48,62.40,62.30,62.20,62.10,62.00,61.90,61.74,61.58,61.42,61.26,
TCD,Chad,78.10,77.80,77.50,77.20,76.90,76.60,76.22,75.84,75.46,75.08,74.70,74.24,73.78,73.32,72.86,
CHL,Chile,15.60,15.30,15.00,14.70,14.40,14.10,13.76,13.42,13.08,12.74,12.40,12.12,11.84,11.56,11.28,
CHN,China,68.60,67.72,66.84,65.96,65.08,64.20,63.28,62.36,61.44,60.52,59.60,58.70,57.80,56.90,56.00,
COL,Colombia,29.50,29.18,28.86,28.54,28.22,27.90,27.60,27.30,27.00,26.70,26.40,26.10,25.80,25.50,25.20,
COM,Comoros,71.70,71.74,71.78,71.82,71.86,71.90,71.94,71.98,72.02,72.06,72.10,72.04,71.98,71.92,71.86,
COG,Congo,43.60,43.22,42.84,42.46,42.08,41.70,41.32,40.94,40.56,40.18,39.80,39.42,39.04,38.66,38.28,
COD,"Congo, the Democratic Republic of the",71.60,71.32,71.04,70.76,70.48,70.20,69.74,69.28,68.82,68.36,67.90,67.28,66.66,66.04,65.42,
CRI,Costa Rica,44.20,43.56,42.92,42.28,41.64,41.00,40.46,39.92,39.38,38.84,38.30,37.78,37.26,36.74,36.22,
CIV,C™te d'Ivoire,58.60,58.18,57.76,57.34,56.92,56.50,55.84,55.18,54.52,53.86,53.20,52.54,51.88,51.22,50.56,
HRV,Croatia,45.10,44.96,44.82,44.68,44.54,44.40,44.22,44.04,43.86,43.68,43.50,43.24,42.98,42.72,42.46,
CUB,Cuba,25.70,25.44,25.18,24.92,24.66,24.40,24.40,24.40,24.40,24.40,24.40,24.38,24.36,24.34,24.32,
CYP,Cyprus,32.00,31.88,31.76,31.64,31.52,31.40,31.26,31.12,30.98,30.84,30.70,30.50,30.30,30.10,29.90,
CZE,Czech Republic,25.40,25.52,25.64,25.76,25.88,26.00,26.10,26.20,26.30,26.40,26.50,26.50,26.50,26.50,26.50,
DNK,Denmark,15.00,14.98,14.96,14.94,14.92,14.90,14.74,14.58,14.42,14.26,14.10,13.84,13.58,13.32,13.06,
DJI,Djibouti,20.30,19.58,18.86,18.14,17.42,16.70,16.14,15.58,15.02,14.46,13.90,13.50,13.10,12.70,12.30,
DMA,Dominica,30.60,30.26,29.92,29.58,29.24,28.90,28.54,28.18,27.82,27.46,27.10,26.76,26.42,26.08,25.74,
DOM,Dominican Republic,42.20,41.28,40.36,39.44,38.52,37.60,36.72,35.84,34.96,34.08,33.20,32.46,31.72,30.98,30.24,
ECU,Ecuador,42.20,41.70,41.20,40.70,40.20,39.70,39.04,38.38,37.72,37.06,36.40,35.74,35.08,34.42,33.76,
EGY,Egypt,57.20,57.24,57.28,57.32,57.36,57.40,57.40,57.40,57.40,57.40,57.40,57.36,57.32,57.28,57.24,
SLV,El Salvador,46.00,45.12,44.24,43.36,42.48,41.60,41.32,41.04,40.76,40.48,40.20,39.90,39.60,39.30,39.00,
GNQ,Equatorial Guinea,61.20,61.20,61.20,61.20,61.20,61.20,61.18,61.16,61.14,61.12,61.10,60.94,60.78,60.62,60.46,
ERI,Eritrea,83.40,83.16,82.92,82.68,82.44,82.20,81.88,81.56,81.24,80.92,80.60,80.16,79.72,79.28,78.84,
EST,Estonia,30.00,30.12,30.24,30.36,30.48,30.60,30.60,30.60,30.60,30.60,30.60,30.58,30.56,30.54,30.52,
ETH,Ethiopia,86.10,85.90,85.70,85.50,85.30,85.10,84.86,84.62,84.38,84.14,83.90,83.60,83.30,83.00,82.70,
FJI,Fiji,54.50,53.94,53.38,52.82,52.26,51.70,51.20,50.70,50.20,49.70,49.20,48.68,48.16,47.64,47.12,
FIN,Finland,38.60,38.66,38.72,38.78,38.84,38.90,38.64,38.38,38.12,37.86,37.60,37.30,37.00,36.70,36.40,
FRA,France,25.10,24.92,24.74,24.56,24.38,24.20,24.02,23.84,23.66,23.48,23.30,23.08,22.86,22.64,22.42,
GAB,Gabon,24.60,23.66,22.72,21.78,20.84,19.90,19.20,18.50,17.80,17.10,16.40,15.92,15.44,14.96,14.48,
GMB,Gambia,56.20,55.14,54.08,53.02,51.96,50.90,49.94,48.98,48.02,47.06,46.10,45.26,44.42,43.58,42.74,
GEO,Georgia,46.10,46.34,46.58,46.82,47.06,47.30,47.34,47.38,47.42,47.46,47.50,47.42,47.34,47.26,47.18,
DEU,Germany,26.70,26.74,26.78,26.82,26.86,26.90,26.84,26.78,26.72,26.66,26.60,26.52,26.44,26.36,26.28,
GHA,Ghana,59.90,59.12,58.34,57.56,56.78,56.00,55.24,54.48,53.72,52.96,52.20,51.46,50.72,49.98,49.24,
GRC,Greece,40.70,40.62,40.54,40.46,40.38,40.30,40.16,40.02,39.88,39.74,39.60,39.40,39.20,39.00,38.80,
GRD,Grenada,68.40,68.52,68.64,68.76,68.88,69.00,69.08,69.16,69.24,69.32,69.40,69.32,69.24,69.16,69.08,
GTM,Guatemala,56.90,56.50,56.10,55.70,55.30,54.90,54.48,54.06,53.64,53.22,52.80,52.34,51.88,51.42,50.96,
GIN,Guinea,70.50,70.20,69.90,69.60,69.30,69.00,68.60,68.20,67.80,67.40,67.00,66.52,66.04,65.56,65.08,
GNB,Guinea-Bissau,70.20,70.22,70.24,70.26,70.28,70.30,70.32,70.34,70.36,70.38,70.40,70.32,70.24,70.16,70.08,
GUY,Guyana,70.90,71.00,71.10,71.20,71.30,71.40,71.48,71.56,71.64,71.72,71.80,71.74,71.68,71.62,71.56,
HTI,Haiti,67.40,66.80,66.20,65.60,65.00,64.40,62.98,61.56,60.14,58.72,57.30,55.92,54.54,53.16,51.78,
HND,Honduras,57.70,57.28,56.86,56.44,56.02,55.60,55.18,54.76,54.34,53.92,53.50,53.04,52.58,52.12,51.66,
HUN,Hungary,34.80,34.92,35.04,35.16,35.28,35.40,35.06,34.72,34.38,34.04,33.70,33.30,32.90,32.50,32.10,
ISL,Iceland,8.40,8.28,8.16,8.04,7.92,7.80,7.80,7.80,7.80,7.80,7.80,7.78,7.76,7.74,7.72,
IND,India,73.40,73.18,72.96,72.74,72.52,72.30,72.10,71.90,71.70,71.50,71.30,71.02,70.74,70.46,70.18,
IDN,Indonesia,64.40,63.12,61.84,60.56,59.28,58.00,56.78,55.56,54.34,53.12,51.90,50.78,49.66,48.54,47.42,
IRN,"Iran, Islamic Republic of",39.80,39.00,38.20,37.40,36.60,35.80,35.26,34.72,34.18,33.64,33.10,32.58,32.06,31.54,31.02,
IRQ,Iraq,31.20,31.40,31.60,31.80,32.00,32.20,32.38,32.56,32.74,32.92,33.10,33.20,33.30,33.40,33.50,
IRL,Ireland,42.10,41.86,41.62,41.38,41.14,40.90,40.62,40.34,40.06,39.78,39.50,39.22,38.94,38.66,38.38,
ISR,Israel,9.10,9.00,8.90,8.80,8.70,8.60,8.56,8.52,8.48,8.44,8.40,8.38,8.36,8.34,8.32,
ITA,Italy,33.10,33.04,32.98,32.92,32.86,32.80,32.72,32.64,32.56,32.48,32.40,32.24,32.08,31.92,31.76,
JAM,Jamaica,49.40,49.16,48.92,48.68,48.44,48.20,48.02,47.84,47.66,47.48,47.30,47.10,46.90,46.70,46.50,
JPN,Japan,35.40,35.28,35.16,35.04,34.92,34.80,34.64,34.48,34.32,34.16,34.00,33.84,33.68,33.52,33.36,
JOR,Jordan,21.80,21.78,21.76,21.74,21.72,21.70,21.70,21.70,21.70,21.70,21.70,21.66,21.62,21.58,21.54,
KAZ,Kazakhstan,44.10,44.02,43.94,43.86,43.78,43.70,43.54,43.38,43.22,43.06,42.90,42.62,42.34,42.06,41.78,
KEN,Kenya,81.00,80.86,80.72,80.58,80.44,80.30,80.10,79.90,79.70,79.50,79.30,79.00,78.70,78.40,78.10,
KIR,Kiribati,63.60,62.28,60.96,59.64,58.32,57.00,56.88,56.76,56.64,56.52,56.40,56.32,56.24,56.16,56.08,
PRK,"Korea, Democratic People's Republic of",40.90,40.68,40.46,40.24,40.02,39.80,39.52,39.24,38.96,38.68,38.40,38.04,37.68,37.32,36.96,
KOR,"Korea, Republic of",21.80,21.52,21.24,20.96,20.68,20.40,20.16,19.92,19.68,19.44,19.20,18.98,18.76,18.54,18.32,
KWT,Kuwait,1.90,1.88,1.86,1.84,1.82,1.80,1.78,1.76,1.74,1.72,1.70,1.68,1.66,1.64,1.62,
KGZ,Kyrgyzstan,63.70,63.88,64.06,64.24,64.42,64.60,64.52,64.44,64.36,64.28,64.20,64.04,63.88,63.72,63.56,
LAO,Lao People's Democratic Republic,82.60,81.68,80.76,79.84,78.92,78.00,76.92,75.84,74.76,73.68,72.60,71.44,70.28,69.12,67.96,
LVA,Latvia,31.20,31.34,31.48,31.62,31.76,31.90,31.92,31.94,31.96,31.98,32.00,31.96,31.92,31.88,31.84,
LBN,Lebanon,15.20,14.96,14.72,14.48,14.24,14.00,13.88,13.76,13.64,13.52,13.40,13.28,13.16,13.04,12.92,
LSO,Lesotho,83.00,82.40,81.80,81.20,80.60,80.00,79.34,78.68,78.02,77.36,76.70,75.98,75.26,74.54,73.82,
LBR,Liberia,50.00,49.14,48.28,47.42,46.56,45.70,44.94,44.18,43.42,42.66,41.90,41.22,40.54,39.86,39.18,
LBY,Libyan Arab Jamahiriya,24.00,23.92,23.84,23.76,23.68,23.60,23.48,23.36,23.24,23.12,23.00,22.82,22.64,22.46,22.28,
LIE,Liechtenstein,83.50,83.78,84.06,84.34,84.62,84.90,85.02,85.14,85.26,85.38,85.50,85.56,85.62,85.68,85.74,
LTU,Lithuania,32.70,32.76,32.82,32.88,32.94,33.00,33.08,33.16,33.24,33.32,33.40,33.28,33.16,33.04,32.92,
LUX,Luxembourg,17.10,16.92,16.74,16.56,16.38,16.20,16.40,16.60,16.80,17.00,17.20,17.32,17.44,17.56,17.68,
MDG,Madagascar,74.20,73.94,73.68,73.42,73.16,72.90,72.62,72.34,72.06,71.78,71.50,71.16,70.82,70.48,70.14,
MWI,Malawi,86.70,86.32,85.94,85.56,85.18,84.80,84.38,83.96,83.54,83.12,82.70,82.20,81.70,81.20,80.70,
MYS,Malaysia,44.30,43.04,41.78,40.52,39.26,38.00,36.88,35.76,34.64,33.52,32.40,31.48,30.56,29.64,28.72,
MDV,Maldives,74.40,73.98,73.56,73.14,72.72,72.30,71.06,69.82,68.58,67.34,66.10,64.78,63.46,62.14,60.82,
MLI,Mali,74.50,74.02,73.54,73.06,72.58,72.10,71.58,71.06,70.54,70.02,69.50,68.94,68.38,67.82,67.26,
MLT,Malta,9.10,8.80,8.50,8.20,7.90,7.60,7.36,7.12,6.88,6.64,6.40,6.18,5.96,5.74,5.52,
MHL,Marshall Islands,33.30,32.96,32.62,32.28,31.94,31.60,31.28,30.96,30.64,30.32,30.00,29.64,29.28,28.92,28.56,
MRT,Mauritania,60.20,60.16,60.12,60.08,60.04,60.00,59.92,59.84,59.76,59.68,59.60,59.40,59.20,59.00,58.80,
MUS,Mauritius,56.70,56.82,56.94,57.06,57.18,57.30,57.38,57.46,57.54,57.62,57.70,57.64,57.58,57.52,57.46,
MEX,Mexico,26.60,26.34,26.08,25.82,25.56,25.30,24.98,24.66,24.34,24.02,23.70,23.40,23.10,22.80,22.50,
FSM,"Micronesia, Federated States of",74.90,75.46,76.02,76.58,77.14,77.70,77.70,77.70,77.70,77.70,77.70,77.62,77.54,77.46,77.38,
MDA,"Moldova, Republic of",53.70,54.04,54.38,54.72,55.06,55.40,55.80,56.20,56.60,57.00,57.40,57.68,57.96,58.24,58.52,
MCO,Monaco,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
MKD,Macedonia,39.70,39.18,38.66,38.14,37.62,37.10,36.60,36.10,35.60,35.10,34.60,34.10,33.60,33.10,32.60,
MNG,Mongolia,43.20,43.24,43.28,43.32,43.36,43.40,43.38,43.36,43.34,43.32,43.30,43.14,42.98,42.82,42.66,
MNE,Montenegro,46.60,45.58,44.56,43.54,42.52,41.50,40.96,40.42,39.88,39.34,38.80,39.14,39.48,39.82,40.16,
MAR,Morocco,48.30,47.98,47.66,47.34,47.02,46.70,46.36,46.02,45.68,45.34,45.00,44.66,44.32,43.98,43.64,
MOZ,Mozambique,73.80,72.90,72.00,71.10,70.20,69.30,68.54,67.78,67.02,66.26,65.50,64.72,63.94,63.16,62.38,
MMR,Myanmar,73.90,73.52,73.14,72.76,72.38,72.00,71.48,70.96,70.44,69.92,69.40,68.74,68.08,67.42,66.76,
NAM,Namibia,70.20,69.68,69.16,68.64,68.12,67.60,67.06,66.52,65.98,65.44,64.90,64.32,63.74,63.16,62.58,
NRU,Nauru,,,,,,,,,,,,,,,,
NPL,Nepal,89.10,88.60,88.10,87.60,87.10,86.60,86.12,85.64,85.16,84.68,84.20,83.72,83.24,82.76,82.28,
