ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,0.80659,0.804106,0.801622,0.799138,0.796654,0.79417,0.791572,0.788974,0.786376,0.783778,0.78118,0.778466,0.775752,0.773038,0.770324,0.76761,0.764528,0.764528
ALB,Albania,0.61089,0.60523,0.59957,0.59391,0.58825,0.58259,0.572464,0.562338,0.552212,0.542086,0.53196,0.520924,0.509888,0.498852,0.487816,0.47678,0.466154,0.466154
DZA,Algeria,0.44003,0.43045,0.42087,0.41129,0.40171,0.39213,0.380326,0.368522,0.356718,0.344914,0.33311,0.32244,0.31177,0.3011,0.29043,0.27976,0.27135,0.27135
AND,Andorra,0.06339,0.065922,0.068454,0.070986,0.073518,0.07605,0.08025,0.08445,0.08865,0.09285,0.09705,0.102006,0.106962,0.111918,0.116874,0.12183,0.12717,0.12717
AGO,Angola,0.56012,0.550122,0.540124,0.530126,0.520128,0.51013,0.500218,0.490306,0.480394,0.470482,0.46057,0.451698,0.442826,0.433954,0.425082,0.41621,0.408574,0.408574
ATG,Antigua and Barbuda,0.66039,0.664058,0.667726,0.671394,0.675062,0.67873,0.681718,0.684706,0.687694,0.690682,0.69367,0.695172,0.696674,0.698176,0.699678,0.70118,0.701254,0.701254
ARG,Argentina,0.11346,0.110518,0.107576,0.104634,0.101692,0.09875,0.096236,0.093722,0.091208,0.088694,0.08618,0.084246,0.082312,0.080378,0.078444,0.07651,0.075052,0.075052
ARM,Armenia,0.33943,0.342212,0.344994,0.347776,0.350558,0.35334,0.354304,0.355268,0.356232,0.357196,0.35816,0.358396,0.358632,0.358868,0.359104,0.35934,0.358852,0.358852
AUS,Australia,0.13894,0.136822,0.134704,0.132586,0.130468,0.12835,0.126316,0.124282,0.122248,0.120214,0.11818,0.116452,0.114724,0.112996,0.111268,0.10954,0.108084,0.108084
AUT,Austria,0.342,0.342,0.342,0.342,0.342,0.342,0.340532,0.339064,0.337596,0.336128,0.33466,0.33282,0.33098,0.32914,0.3273,0.32546,0.323326,0.323326
AZE,Azerbaijan,0.47794,0.47958,0.48122,0.48286,0.4845,0.48614,0.484134,0.482128,0.480122,0.478116,0.47611,0.474086,0.472062,0.470038,0.468014,0.46599,0.463552,0.463552
BHS,Bahamas,0.19039,0.188242,0.186094,0.183946,0.181798,0.17965,0.177584,0.175518,0.173452,0.171386,0.16932,0.167328,0.165336,0.163344,0.161352,0.15936,0.157442,0.157442
BHR,Bahrain,0.11612,0.116152,0.116184,0.116216,0.116248,0.11628,0.116186,0.116092,0.115998,0.115904,0.11581,0.115412,0.115014,0.114616,0.114218,0.11382,0.113128,0.113128
BGD,Bangladesh ,0.78307,0.779276,0.775482,0.771688,0.767894,0.7641,0.760008,0.755916,0.751824,0.747732,0.74364,0.739124,0.734608,0.730092,0.725576,0.72106,0.716098,0.716098
BRB,Barbados,0.64518,0.63945,0.63372,0.62799,0.62226,0.61653,0.61086,0.60519,0.59952,0.59385,0.58818,0.582766,0.577352,0.571938,0.566524,0.56111,0.556004,0.556004
BLR,Belarus,0.32074,0.316646,0.312552,0.308458,0.304364,0.30027,0.295508,0.290746,0.285984,0.281222,0.27646,0.271938,0.267416,0.262894,0.258372,0.25385,0.249784,0.249784
BEL,Belgium,0.03223,0.031548,0.030866,0.030184,0.029502,0.02882,0.028472,0.028124,0.027776,0.027428,0.02708,0.026752,0.026424,0.026096,0.025768,0.02544,0.025146,0.025146
BLZ,Belize,0.52516,0.524802,0.524444,0.524086,0.523728,0.52337,0.526074,0.528778,0.531482,0.534186,0.53689,0.539586,0.542282,0.544978,0.547674,0.55037,0.552236,0.552236
BEN,Benin,0.63242,0.62927,0.62612,0.62297,0.61982,0.61667,0.61133,0.60599,0.60065,0.59531,0.58997,0.58346,0.57695,0.57044,0.56393,0.55742,0.550914,0.550914
