ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,29.0,29.6,30.2,30.8,31.4,32.0,32.6,33.2,33.8,34.4,35.0,35.7,36.3,37.0,36.3,35.5
ALB,Albania,87.0,87.6,88.2,88.8,89.4,90.0,91.2,92.4,93.6,94.8,96.0,96.7,97.3,98.0,96.0,94.1
DZA,Algeria,90.0,90.4,90.8,91.2,91.6,92.0,92.4,92.8,93.2,93.6,94.0,94.3,94.7,95.0,93.1,91.2
AND,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AGO,Angola,30.0,32.0,34.0,36.0,38.0,40.0,42.0,44.0,46.0,48.0,50.0,52.3,54.7,57.0,55.9,54.7
ATG,Antigua and Barbuda,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,93.1,91.2,89.3,87.4,85.5,83.6
ARG,Argentina,91.0,91.0,91.0,91.0,91.0,91.0,90.8,90.6,90.4,90.2,90.0,90.0,90.0,90.0,88.2,86.4
ARM,Armenia,88.0,88.2,88.4,88.6,88.8,89.0,89.0,89.0,89.0,89.0,89.0,89.3,89.7,90.0,88.2,86.4
AUS,Australia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0
AUT,Austria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0
AZE,Azerbaijan,44.0,44.0,44.0,44.0,44.0,44.0,44.2,44.4,44.6,44.8,45.0,45.0,45.0,45.0,44.1,43.2
BHS,Bahamas,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0
BHR,Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BGD,Bangladesh ,42.0,42.8,43.6,44.4,45.2,46.0,46.8,47.6,48.4,49.2,50.0,51.0,52.0,53.0,51.9,50.9
BRB,Barbados,100.0,100.0,100.0,100.0,100.0,100.0,99.5,99.0,99.5,100.0,100.0,100.0,100.0,100.0,98.0,96.0
BLR,Belarus,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,91.1,89.3
BEL,Belgium,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0
BLZ,Belize,78.0,78.8,79.6,80.4,81.2,82.0,64.5,47.0,47.0,47.0,87.0,88.0,89.0,90.0,88.2,86.4
BEN,Benin,8.0,8.2,8.4,8.6,8.8,9.0,9.4,9.8,10.2,10.6,11.0,11.3,11.7,12.0,11.8,11.5
BTN,Bhutan,55.8,57.0,58.3,59.5,60.8,62.0,62.4,62.8,63.2,63.6,64.0,64.3,64.7,65.0,63.7,62.4
BOL,"Bolivia, Plurinational State of",21.0,21.4,21.8,22.2,22.6,23.0,23.2,23.4,23.6,23.8,24.0,24.3,24.7,25.0,24.5,24.0
BIH,Bosnia and Herzegovina,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,93.1,91.2
BWA,Botswana,44.0,45.2,46.4,47.6,48.8,50.0,51.4,52.8,54.2,55.6,57.0,58.0,59.0,60.0,58.8,57.6
BRA,Brazil,72.0,72.6,73.2,73.8,74.4,75.0,75.6,76.2,76.8,77.4,78.0,78.7,79.3,80.0,78.4,76.8
BRN,Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BGR,Bulgaria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0
BFA,Burkina Faso,7.0,7.2,7.4,7.6,7.8,8.0,8.6,9.2,9.8,10.4,11.0,11.0,11.0,11.0,10.8,10.6
BDI,Burundi,45.0,45.0,45.0,45.0,45.0,45.0,45.2,45.4,45.6,45.8,46.0,46.0,46.0,46.0,45.1,44.2
KHM,Cambodia,11.0,12.2,13.4,14.6,15.8,17.0,18.4,19.8,21.2,22.6,24.0,25.7,27.3,29.0,28.4,27.8
CMR,Cameroon,48.0,47.8,47.6,47.4,47.2,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.1,45.1
CAN,Canada,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0
CPV,Cape Verde,40.0,41.0,42.0,43.0,44.0,45.0,46.4,47.8,49.2,50.6,52.0,52.7,53.3,54.0,52.9,51.8
CAF,Central African Republic,15.0,16.4,17.8,19.2,20.6,22.0,23.4,24.8,26.2,27.6,29.0,30.7,32.3,34.0,33.3,32.6
