ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88495,0.8899,0.89485,0.8998,0.772,0.792,0.79,0.92,0.92
ALB,Albania,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.5181,6.3662,6.3603,6.3544,6.322,6.322,6.322,6.322
DZA,Algeria,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.369333333,4.248666667,4.128,4.246,4.364,4.364,4.364,4.364
AND,Andorra,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.0042,11.4818,11.1534,11.612,11.612,11.612,11.612
AGO,Angola,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51
ATG,Antigua and Barbuda,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62
ARG,Argentina,6.82,6.82,6.82,6.82,6.815,6.81,6.805,6.8,6.795,6.79,6.79,6.79,6.79,6.79,6.79,6.79
ARM,Armenia,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,12.1,11.8112,12.2998,12.3246,12.264,12.264,12.264,12.264
AUS,Australia,14.742,14.742,14.7236,14.7052,14.6868,14.6684,14.65,14.9826,15.3152,15.6478,15.9804,16.313,16.066,15.819,15.572,15.572
AUT,Austria,13.31,13.31,13.31,13.31,13.31,13.31,13.31,13.31,13.31,13.5014,13.6726,13.879,14.23,17.152,17.338,17.338
AZE,Azerbaijan,15.51,15.51,15.51,15.51,15.51,15.51,15.51,15.51,15.51,15.525,15.6822,15.6738,16.008,16.008,16.008,16.008
BHS,Bahamas,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57,6.57
BHR,Bahrain,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,11.517,11.6225,11.728,6.614,6.614,6.614
BGD,Bangladesh,0.7412,0.7412,0.7412,0.7412,0.7412,0.7412,0.7412,0.7596,0.778,0.8,0.8846,0.893,0.86,0.86,0.86,0.86
BRB,Barbados,6.422,6.3465,6.271,6.1955,6.12,6.327333333,7.220666667,7.536,7.851333333,8.166666667,8.482,8.482,8.482,8.482,8.482,8.482
BLR,Belarus,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.61,21.7022,21.869,22.0684,22.298,22.298,22.298,22.298
BEL,Belgium,23.18,23.18,23.18,23.18,23.18,23.18,23.18,23.18,22.9005,22.621,18.01533333,13.53986667,8.723,6.274,6.274,6.274
BLZ,Belize,3.36,3.36,3.36,3.36,3.36,3.36,3.388444444,3.416888889,3.445333333,3.473777778,3.502222222,3.530666667,3.559111111,3.587555556,3.616,3.616
BEN,Benin,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.912,0.904,0.896,0.888,0.888,0.888
BTN,Bhutan,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.402,0.384,0.366,0.366,0.366,0.366
BOL,"Bolivia, Plurinational State of",4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
BIH,Bosnia and Herzegovina,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.2976,7.5258,7.5258,7.5258,7.5258,7.5258,7.5258
BWA,Botswana,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.273,3.512,3.512,3.512,3.512,3.512
BRA,Brazil,6.14,6.14,6.14,6.14,6.14,6.14,6.217833333,6.295666667,6.3735,6.451333333,6.392166667,6.297,9.94,9.94,9.94,9.94
BRN,Brunei Darussalam,8.08,8.08,8.08,8.08,8.08,8.08,8.2128,8.3456,8.095013333,7.844426667,7.59384,7.343253333,7.092666667,7.714,7.714,7.714
BGR,Bulgaria,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.69,11.5754,11.8692,11.89,12.01,11.99,11.99,11.99
