ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,,,,,,,0.19,,,,0.1999,0.136,0.146,0.145,0.21,
ALB,Albania,,,,,,,,1.31,,1.1581,,1.1522,1.146,,,
DZA,Algeria,,,,,,,,1.13,,,1.033,,1.207,,,
AND,Andorra,,,,,,,,,3.7,3.5671,3.8059,3.6417,3.716,,,
AGO,Angola,,,,,,,,,,0.08,,,,,,
ATG,Antigua and Barbuda,,,,,0.17,,,,,,,,,,,
ARG,Argentina,,,,3.01,,,,,,3.155,,,,,,
ARM,Armenia,,,,,,,,,3.59,3.4456,3.6899,3.7023,3.697,,,
AUS,Australia,,2.516,,,,,2.47,,,,,2.703,,,2.991,
AUT,Austria,,,,,,,,,3.38,3.4757,3.5613,3.6645,3.794,4.656,4.749,
AZE,Azerbaijan,,,,,,,,,3.55,3.5575,3.6361,3.6319,3.794,,,
BHS,Bahamas,,,,1.05,,,,,,,,,,,,
BHR,Bahrain,,,,,,,,,,1.09,2.7235,,2.965,1.442,,
BGD,Bangladesh,,,,,,,0.2306,,0.249,0.26,0.3023,0.309,0.295,,,
BRB,Barbados,1.361,,,,1.21,1.217,1.567,,,,1.811,,,,,
BLR,Belarus,,,,,,,,,4.55,4.5961,4.6795,4.7792,4.869,,,
BEL,Belgium,,,,,,,,4.49,,4.2105,4.1865,4.2276,4.098,2.987,,
BLZ,Belize,,,,,,1.05,,,,,,,,,0.828,
BEN,Benin,,,,,,,,,,0.04,,,,0.059,,
BTN,Bhutan,,,,,,,,,,0.05,,,0.023,,,
BOL,"Bolivia, Plurinational State of",,,,,,,1.22,,,,,,,,,
BIH,Bosnia and Herzegovina,,,,,,,,,1.34,1.3038,1.4179,,,,,
BWA,Botswana,,,,,,,,,,0.4,0.264,0.336,,,,
BRA,Brazil,,,,,,1.15,,,,1.616,1.664,1.694,1.72,,,
BRN,Brunei Darussalam,,,,,,1.01,,1.1428,,,,,1.008,1.417,,
