"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"AFG","Afghanistan",,,,,,,0.19,,,,0.2,0.14,0.15,0.15,0.21,
"ALB","Albania",,,,,,,,1.31,,1.16,,1.15,1.15,,,
"DZA","Algeria",,,,,,,,1.13,,,1.03,,1.21,,,
"AND","Andorra",,,,,,,,,3.7,3.57,3.81,3.64,3.72,,,
"AGO","Angola",,,,,,,,,,0.08,,,,,,
"ATG","Antigua and Barbuda",,,,,0.17,,,,,,,,,,,
"ARG","Argentina",,,,3.01,,,,,,3.16,,,,,,
"ARM","Armenia",,,,,,,,,3.59,3.45,3.69,3.7,3.7,,,
"AUS","Australia",,2.52,,,,,2.47,,,,,2.7,,,2.99,
"AUT","Austria",,,,,,,,,3.38,3.48,3.56,3.66,3.79,4.66,4.75,
"AZE","Azerbaijan",,,,,,,,,3.55,3.56,3.64,3.63,3.79,,,
"BHS","Bahamas",,,,1.05,,,,,,,,,,,,
"BHR","Bahrain",,,,,,,,,,1.09,2.72,,2.97,1.44,,
"BGD","Bangladesh",,,,,,,0.23,,0.25,0.26,0.3,0.31,0.3,,,
"BRB","Barbados",1.36,,,,1.21,1.22,1.57,,,,1.81,,,,,
"BLR","Belarus",,,,,,,,,4.55,4.6,4.68,4.78,4.87,,,
"BEL","Belgium",,,,,,,,4.49,,4.21,4.19,4.23,4.1,2.99,,
"BLZ","Belize",,,,,,1.05,,,,,,,,,0.83,
"BEN","Benin",,,,,,,,,,0.04,,,,0.06,,
"BTN","Bhutan",,,,,,,,,,0.05,,,0.02,,,
"BOL","Bolivia, Plurinational State of",,,,,,,1.22,,,,,,,,,
"BIH","Bosnia and Herzegovina",,,,,,,,,1.34,1.3,1.42,,,,,
"BWA","Botswana",,,,,,,,,,0.4,0.26,0.34,,,,
"BRA","Brazil",,,,,,1.15,,,,1.62,1.66,1.69,1.72,,,
"BRN","Brunei Darussalam",,,,,,1.01,,1.14,,,,,1.01,1.42,,
"BGR","Bulgaria",,,,,,,,,3.56,3.5,3.65,3.66,3.67,3.64,,
"BFA","Burkina Faso",,,,,,,,,,0.05,,0.03,,0.06,,
"BDI","Burundi",,,,,,,,,,0.03,,,,,,
"KHM","Cambodia",,0.11,,0.14,,0.16,,,,,,,,0.23,,
"CMR","Cameroon",,,,,,,,,,0.19,,,,,,
"CAN","Canada",,,,1.86,,,,1.92,2.14,,,1.91,,,,
"CPV","Cape Verde",,,,,,,,,,0.49,,,,0.57,,
"CAF","Central African Republic",,,,,,,,,,0.08,,,,,,
"TCD","Chad",,,,,,,,,,0.04,,,,,,
"CHL","Chile",,,,,,,,,1.09,,,,,,,
"CHN","China",,,,,,,1.06,,1.42,,,,,,1.42,
"COL","Colombia",,,,,,,,1.35,,,,,,,,
"COM","Comoros",,,,,,,,,,0.15,,,,,,
"COG","Congo",,,,,,,,,,0.2,,0.19,0.1,,,
"COD","Congo, the Democratic Republic of the",,,,,,,,,,0.11,,,,,,
"CRI","Costa Rica",,,,,,1.32,,,,,,,,,,
"CIV","Côte d'Ivoire",,,,,,,,,,0.12,0.09,,,0.14,,
"HRV","Croatia",,,,,,,,,2.44,2.51,2.44,2.47,2.59,,,
"CUB","Cuba",,,,,,,,5.91,,,,,6.4,,,
"CYP","Cyprus",,,,,,,,2.34,,2.43,2.37,2.3,,,,
"CZE","Czech Republic",,,,,,,,,3.51,3.47,3.56,3.58,3.61,3.63,,
"DNK","Denmark",,,,,,,,2.93,,3.59,,3.16,3.42,,,
"DJI","Djibouti",,,,,,,,,,0.18,0.18,0.23,,,,
"DMA","Dominica",,,0.5,,,,,,,,,,,,,
"DOM","Dominican Republic",,,,,,1.88,,,,,,,,,,
"ECU","Ecuador",,,,,,1.48,,,,,,,,,,
"EGY","Egypt",,,,,,,,,0.54,,2.43,,2.63,,2.83,
"SLV","El Salvador",,,,,1.19,,,1.24,,,1.51,,,1.6,,
"GNQ","Equatorial Guinea",,,,,,,,,,0.3,,,,,,
"ERI","Eritrea",,,,,,,,,,0.05,,,,,,
"EST","Estonia",,,,,,4.48,,,,3.31,3.24,3.33,3.32,3.41,,
"ETH","Ethiopia",,,,,,,,,0.03,,,0.05,0.02,,,
"FJI","Fiji",,,,,0.34,,,,0.45,,,,,,,
