ISO3;name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
AFG;Afghanistan;0.9648;0.9648;0.9648;0.9648;0.9648;0.9648;0.9648;0.9646;0.9644;0.9642;0.9640;0.9691;0.9683;0.9684;0.9632;0.9632
ALB;Albania;0.7332;0.7332;0.7332;0.7332;0.7332;0.7332;0.7332;0.7332;0.7393;0.7454;0.7456;0.7458;0.7471;0.7471;0.7471;0.7471
DZA;Algeria;0.8204;0.8204;0.8204;0.8204;0.8204;0.8204;0.8204;0.8204;0.8252;0.8301;0.8349;0.8302;0.8254;0.8254;0.8254;0.8254
AND;Andorra;0.5492;0.5492;0.5492;0.5492;0.5492;0.5492;0.5492;0.5492;0.5492;0.5598;0.5407;0.5539;0.5355;0.5355;0.5355;0.5355
AGO;Angola;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396;0.9396
ATG;Antigua and Barbuda;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552;0.8552
ARG;Argentina;0.7272;0.7272;0.7272;0.7272;0.7274;0.7276;0.7278;0.7280;0.7282;0.7284;0.7284;0.7284;0.7284;0.7284;0.7284;0.7284
ARM;Armenia;0.5160;0.5160;0.5160;0.5160;0.5160;0.5160;0.5160;0.5160;0.5160;0.5276;0.5080;0.5070;0.5094;0.5094;0.5094;0.5094
AUS;Australia;0.4103;0.4103;0.4111;0.4118;0.4125;0.4133;0.4140;0.4007;0.3874;0.3741;0.3608;0.3475;0.3574;0.3672;0.3771;0.3771
AUT;Austria;0.4676;0.4676;0.4676;0.4676;0.4676;0.4676;0.4676;0.4676;0.4676;0.4599;0.4531;0.4448;0.4308;0.3139;0.3065;0.3065
AZE;Azerbaijan;0.3796;0.3796;0.3796;0.3796;0.3796;0.3796;0.3796;0.3796;0.3796;0.3790;0.3727;0.3730;0.3597;0.3597;0.3597;0.3597
BHS;Bahamas;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372;0.7372
BHR;Bahrain;0.6700;0.6700;0.6700;0.6700;0.6700;0.6700;0.6700;0.6700;0.6700;0.6700;0.5393;0.5351;0.5309;0.7354;0.7354;0.7354
BGD;Bangladesh;0.9704;0.9704;0.9704;0.9704;0.9704;0.9704;0.9704;0.9696;0.9689;0.9680;0.9646;0.9643;0.9656;0.9656;0.9656;0.9656
BRB;Barbados;0.7431;0.7461;0.7492;0.7522;0.7552;0.7469;0.7112;0.6986;0.6859;0.6733;0.6607;0.6607;0.6607;0.6607;0.6607;0.6607
BLR;Belarus;0.1356;0.1356;0.1356;0.1356;0.1356;0.1356;0.1356;0.1356;0.1356;0.1319;0.1252;0.1173;0.1081;0.1081;0.1081;0.1081
BEL;Belgium;0.0728;0.0728;0.0728;0.0728;0.0728;0.0728;0.0728;0.0728;0.0840;0.0952;0.2794;0.4584;0.6511;0.7490;0.7490;0.7490
BLZ;Belize;0.8656;0.8656;0.8656;0.8656;0.8656;0.8656;0.8645;0.8633;0.8622;0.8610;0.8599;0.8588;0.8576;0.8565;0.8554;0.8554
BEN;Benin;0.9632;0.9632;0.9632;0.9632;0.9632;0.9632;0.9632;0.9632;0.9632;0.9632;0.9635;0.9638;0.9642;0.9645;0.9645;0.9645
BTN;Bhutan;0.9832;0.9832;0.9832;0.9832;0.9832;0.9832;0.9832;0.9832;0.9832;0.9832;0.9839;0.9846;0.9854;0.9854;0.9854;0.9854
BOL;Bolivia;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172;0.8172
BIH;Bosnia and Herzegovina;0.7052;0.7052;0.7052;0.7052;0.7052;0.7052;0.7052;0.7052;0.7052;0.7081;0.6990;0.6990;0.6990;0.6990;0.6990;0.6990
BWA;Botswana;0.8620;0.8620;0.8620;0.8620;0.8620;0.8620;0.8620;0.8620;0.8620;0.8620;0.8691;0.8595;0.8595;0.8595;0.8595;0.8595
BRA;Brazil;0.7544;0.7544;0.7544;0.7544;0.7544;0.7544;0.7513;0.7482;0.7451;0.7419;0.7443;0.7481;0.6024;0.6024;0.6024;0.6024
BRN;Brunei Darussalam;0.6768;0.6768;0.6768;0.6768;0.6768;0.6768;0.6715;0.6662;0.6762;0.6862;0.6962;0.7063;0.7163;0.6914;0.6914;0.6914
BGR;Bulgaria;0.5324;0.5324;0.5324;0.5324;0.5324;0.5324;0.5324;0.5324;0.5324;0.5370;0.5252;0.5244;0.5196;0.5204;0.5204;0.5204
BFA;Burkina Faso;0.9764;0.9764;0.9764;0.9764;0.9764;0.9764;0.9764;0.9764;0.9764;0.9764;0.9749;0.9734;0.9695;0.9657;0.9657;0.9657
BDI;Burundi;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900;0.9900
KHM;Cambodia;0.9576;0.9576;0.9563;0.9550;0.9541;0.9532;0.9528;0.9525;0.9521;0.9517;0.9514;0.9510;0.9506;0.9502;0.9502;0.9502
CMR;Cameroon;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208;0.9208
CAN;Canada;0.4494;0.4494;0.4494;0.4494;0.4482;0.4470;0.4459;0.4447;0.4268;0.4328;0.4389;0.4449;0.4449;0.4449;0.4449;0.4449
CPV;Cape Verde;0.9260;0.9260;0.9260;0.9260;0.9260;0.9260;0.9260;0.9260;0.9260;0.9260;0.9199;0.9137;0.9076;0.9014;0.9014;0.9014
CAF;Central African Republic;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772;0.9772
TCD;Chad;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856;0.9856
CHL;Chile;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876;0.8876
CHN;China;0.8768;0.8768;0.8768;0.8768;0.8768;0.8768;0.8768;0.8624;0.8480;0.8453;0.8425;0.8398;0.8371;0.8343;0.8316;0.8316
COL;Colombia;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700;0.8700
COM;Comoros;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584;0.9584
COG;Congo;0.9456;0.9456;0.9456;0.9456;0.9456;0.9456;0.9456;0.9456;0.9456;0.9456;0.9479;0.9501;0.9596;0.9596;0.9596;0.9596
COD;Congo,DRC;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700;0.9700
CRI;Costa Rica;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572;0.8572
CIV;C»te d'Ivoire;0.9664;0.9664;0.9664;0.9664;0.9664;0.9664;0.9664;0.9664;0.9664;0.9664;0.9697;0.9695;0.9694;0.9693;0.9693;0.9693
HRV;Croatia;0.5864;0.5864;0.5864;0.5864;0.5864;0.5864;0.5864;0.5864;0.5864;0.5806;0.5865;0.5841;0.5696;0.5696;0.5696;0.5696
CUB;Cuba;0.2296;0.2296;0.2296;0.2296;0.2296;0.2296;0.2296;0.2296;0.2122;0.1948;0.1773;0.1599;0.1425;0.1425;0.1425;0.1425
CYP;Cyprus;0.6536;0.6536;0.6536;0.6536;0.6536;0.6536;0.6536;0.6536;0.6499;0.6462;0.6515;0.6568;0.6568;0.6568;0.6568;0.6568
CZE;Czech Republic;0.3620;0.3620;0.3620;0.3620;0.3620;0.3620;0.3620;0.3620;0.3620;0.3653;0.3580;0.3560;0.3530;0.3680;0.3680;0.3680
DNK;Denmark;0.3632;0.3632;0.3632;0.3632;0.3632;0.3632;0.3632;0.3632;0.3369;0.3105;0.3336;0.3567;0.1449;0.1449;0.1449;0.1449
DJI;Djibouti;0.9688;0.9688;0.9688;0.9688;0.9688;0.9688;0.9688;0.9688;0.9688;0.9688;0.9632;0.9559;0.9528;0.9497;0.9497;0.9497
DMA;Dominica;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932;0.7932
