ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.59,0.59,0.59,0.59,0.578,0.578,0.638,0.634,0.562,0.614,0.602,0.624,0.732,0.758,0.758,0.858
DZA,Algeria,0.542,0.542,0.542,0.542,0.542,0.396,0.596,0.6,0.504,0.55,0.544,0.61,0.66,0.688,0.686,0.707
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.25,0.25,0.25,0.25,0.25,0.25,0.321666667,0.393333333,0.465,0.536666667,0.608333333,0.68,0.73,0.73,0.72,0.704
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.584,0.6,0.6,0.6,0.612,0.62,0.65,0.53,0.54,0.616,0.562,0.674,0.614,0.696,0.7,0.695
ARM,Armenia,0.6762,0.69,0.83,0.75,0.75,0.77,0.77,0.814,0.812,0.8,0.8,0.806,0.856,0.85,0.864,0.805
AUS,Australia,0.77,0.77,0.77,0.794,0.794,0.79,0.79,0.774,0.77,0.772,0.772,0.774,0.838,0.838,0.848,0.851
AUT,Austria,0.81,0.81,0.636,0.784,0.636,0.83,0.78,0.796,0.814,0.798,0.802,0.824,0.866,0.86,0.858,0.875
AZE,Azerbaijan,0.539,0.55,0.55,0.55,0.55,0.55,0.668,0.744,0.716,0.692,0.692,0.726,0.776,0.784,0.784,0.771
BHS,Bahamas,0.19,0.19,0.19,0.194,0.194,0.15,0.194,0.15,0.15,0.17,0.17,0.17,0.388,0.32,0.56,0.422
BHR,Bahrain,0.784,0.77,0.77,0.784,0.784,0.776,0.754,0.766,0.696,0.696,0.696,0.696,0.796,0.808,0.8,0.829
