ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,0.673340345,0.711577645,0.708821488,0.706133904,0.703512145,0.700954353,0.710928571,0.708228002,0.705593538,0.703023256,0.700513854,0.710737131,0.708086354,0.705499546,0.702973985,0.700508164,0.700508164,0.700508164
ALB,Albania,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DZA,Algeria,0.864721708,0.988738422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AND,Andorra,0.454895587,0.333470045,1,1,1,0.364413143,0.415017378,0.44159572,0.448628543,0.44486814,0.431550024,0.390704469,0.352828235,0.307820355,0.288550847,0.300235751,0.300235751,0.300235751
AGO,Angola,1,0.896904241,0.908573368,0.902909578,0.875740735,0.84097631,0.806983325,0.786191059,0.775619503,0.775739956,0.782984599,0.762032913,0.769079093,0.773988311,0.775093936,0.773507773,0.773507773,0.773507773
ATG,Antigua and Barbuda,0.333389901,0.291155001,0.290685588,0.282352355,0.26523056,0.239057261,0.257238691,0.219442991,0.180589616,0.147519557,0.124618397,0.299705296,0.285326731,0.273292303,0.263448329,0.256333605,0.256333605,0.256333605
ARG,Argentina,0.650343285,0.634493898,0.637005133,0.640852117,0.646660873,0.654118699,0.639186548,0.646543912,0.652353125,0.655284211,0.655836773,0.619850335,0.620114903,0.620213671,0.620340191,0.620538411,0.620538411,0.620538411
ARM,Armenia,1,1,1,1,1,1,1,1,1,0,0,0.354980474,0.369704831,0.384600791,0.403708287,0.41981457,0.41981457,0.41981457
AUS,Australia,0.564444995,0.589706537,0.603628367,0.615019193,0.604447731,0.597057782,0.586430549,0.595257909,0.594002373,0.599823098,0.587485821,0.566351309,0.565661587,0.556092145,0.55324761,0.574314133,0.574314133,0.574314133
AUT,Austria,0.534743399,0.5,0.5,0.5,0.5,0.5,0.79108171,0.725980802,0.727722763,0.678406775,0.66211174,0.779072231,0.854881354,0.816119331,0.903428502,0.96708215,0.96708215,0.96708215
AZE,Azerbaijan,0.244125058,0.344216884,0.337523031,0.332086931,0.317898638,0.307539543,0.75132931,0.760070336,0.755172254,0.720346289,0.687641924,0.675496531,0.669384521,0.591112364,0.591801424,0.659582762,0.659582762,0.659582762
BHS,Bahamas,0.588680481,0.595625473,0.60654189,0.613508443,0.612424993,0.605866518,0.595276362,0.590818593,0.587592645,0.585946113,0.585462828,0.581832992,0.581340086,0.582252935,0.585058915,0.58940928,0.58940928,0.58940928
BHR,Bahrain,0.5112789,0.499352275,0.499415095,0.499402796,0.499278336,0.498998014,0.507888507,1,0.506728345,0.501425268,0.500699419,0.501993603,0.501706311,0.501753551,0.502127767,0.50295835,0.50295835,0.50295835
BGD,Bangladesh ,0.919103146,0.921447683,0.922788097,0.92559626,0.930584149,0.937836135,0.978007544,0.984601093,1,1,1,1,1,1,1,1,1,1
BRB,Barbados,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BLR,Belarus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BEL,Belgium,0.697430538,0.680268502,0.645452973,0.664726572,0.653362228,0.644831585,0.552080476,0.539946391,0.542758096,0.541345642,0.532519445,0.525552911,0.522943274,0.521319965,0.520925449,0.518421863,0.518421863,0.518421863
BLZ,Belize,0.501555077,0.515020941,0.510636269,0.510368175,0.519681012,0.513818537,0.403838588,0.405397162,0.408793999,0.409560391,0.409136974,0.409685268,0.411038245,0.411730056,0.412301345,0.411908915,0.411908915,0.411908915
BEN,Benin,0.694500372,0.643249915,0.650379231,0.652852568,0.648571872,0.640708341,0.724959659,0.715066021,0.709079609,0.707529537,0.708925077,0.75659329,0.757262889,0.758285343,0.759417186,0.760547588,0.760547588,0.760547588
BTN,Bhutan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BOL,"Bolivia, Plurinational State of",0.78707088,0.684930221,0.687465543,0.689758214,0.691479495,0.692914166,0.687886072,0.68969478,0.692798598,0.697676696,0.703856622,0.697852089,0.703915321,0.708381583,0.710334382,0.710339539,0.710339539,0.710339539
BIH,Bosnia and Herzegovina,1,1,0.767803341,0.642281138,0.637989131,0.684925646,0.852382182,1,1,1,1,1,1,1,1,1,1,1
BWA,Botswana,1,0.861592412,0.875969402,0.897069676,0.928504166,0.970378076,1,1,1,1,1,0.974430867,0.94990762,0.939915675,0.949286004,0.974295838,0.974295838,0.974295838
BRA,Brazil,0.813075878,0.800389496,0.79837472,0.798563696,0.802015496,0.808306464,0.644594402,0.648407534,0.654148532,0.662670325,0.673783984,0.671561229,0.685017047,0.696200108,0.702106096,0.703586425,0.703586425,0.703586425
BRN,Brunei Darussalam,0.65433951,0.641683945,0.644966812,0.648460726,0.652020408,0.655652421,0.649101935,0.652952875,0.656301697,0.658830474,0.660844777,0.643742698,0.645700625,0.647961774,0.650746155,0.653932819,0.653932819,0.653932819
BGR,Bulgaria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BFA,Burkina Faso,0.817845219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BDI,Burundi,1,1,1,1,1,1,1,1,0.973267085,0.931820241,0.911050372,0.940382781,0.922380496,0.920467136,0.937322202,0.97042424,0.97042424,0.97042424
KHM,Cambodia,0.869402939,0.785605755,0.806804476,0.830421611,0.855815083,0.88288974,0.691448464,0.708602156,0.725111033,0.738964586,0.749595173,0.782359134,0.791745114,0.795375148,0.792011724,0.784093491,0.784093491,0.784093491
CMR,Cameroon,0.770731858,0.781570946,0.786763581,0.789755091,0.789591883,0.787157096,0.787016771,0.784415314,0.781917702,0.779783293,0.777901034,0.773508123,0.771590221,0.7695708,0.767426375,0.765326187,0.765326187,0.765326187
CAN,Canada,0.670152229,0.714993938,0.718082158,0.765081675,0.776067895,0.757499198,0.580199494,0.590100791,0.581006946,0.580408142,0.581592242,0.566207129,0.550165615,0.545651598,0.543997941,0.545551888,0.545551888,0.545551888
CPV,Cape Verde,0.88120239,0.910777811,0.935476382,0.958339067,0.972317199,0.979572544,0.943421201,0.956631476,0.979251636,1,1,1,1,1,1,1,1,1
CAF,Central African Republic,0.54471815,0.546807209,0.548506933,0.550785857,0.553802485,0.557401921,0.564793602,0.5692323,0.571732427,0.57111117,0.568377614,0.619276784,0.614707293,0.610864319,0.608067477,0.606037646,0.606037646,0.606037646
TCD,Chad,0.595676143,0.513946305,0.513841351,0.513578187,0.513146822,0.512684932,0.512221617,0.511942597,0.512007888,0.512496494,0.51331569,0.517244324,0.51837764,0.51926019,0.519659711,0.519689074,0.519689074,0.519689074
CHL,Chile,0.579625694,0.622144243,0.630626984,0.638670347,0.644865616,0.649356866,0.663836444,0.669331098,0.6744584,0.679143602,0.683442472,0.647513834,0.650702614,0.653828079,0.656971809,0.660174019,0.660174019,0.660174019
CHN,China,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COL,Colombia,0.675654579,0.623073,0.624141002,0.625482112,0.62720619,0.629216601,0.626965901,0.629077546,0.630960683,0.632476682,0.633771455,0.629039254,0.630520292,0.632418952,0.634901737,0.637881844,0.637881844,0.637881844
COM,Comoros,0.561786168,0.468882388,0.469287885,0.469632976,0.469907151,0.470108326,0.472422112,0.472548821,0.472641013,0.472709873,0.472733558,0.512626532,0.512633762,0.512695342,0.512815395,0.512985066,0.512985066,0.512985066
COG,Congo,0.635840176,0.644228176,0.641121018,0.64092873,0.644410285,0.65039018,0.659276457,0.666064778,0.667191879,0.660672643,0.650648034,0.637067237,0.630689407,0.628773379,0.632181279,0.639604033,0.639604033,0.639604033
COD,"Congo, the Democratic Republic of the",0.547516695,0.644454037,0.667998895,0.682356154,0.675809847,0.657656642,0.732258267,0.714118057,0.703605528,0.701072195,0.703565717,0.785488065,0.786253815,0.786455596,0.785373441,0.783478113,0.783478113,0.783478113
CRI,Costa Rica,0.87492766,0.730666721,0.726174543,0.726460143,0.732985493,0.744585054,0.712728999,0.724623629,0.735820334,0.744645491,0.75136902,0.740240069,0.747799841,0.754321937,0.75939066,0.763424132,0.763424132,0.763424132
CIV,C™te d'Ivoire,0.65536706,0.702827295,0.711441135,0.723272496,0.739842753,0.760756624,0.90393164,0.93805028,0.959437869,0.957564772,0.938089004,0.969605094,0.947197217,0.922575394,0.89740143,0.873691442,0.873691442,0.873691442
HRV,Croatia,0.881681264,1,0.573300999,1,0.607206588,1,0.965844433,0.977229625,0.988614798,1,1,1,1,1,1,1,1,1
CUB,Cuba,0.752732689,0.901245139,0.951139785,0.996713288,1,1,0.5,0.5,0.5,0.5,0.5,0,0,1,1,1,1,1
CYP,Cyprus,0.586318739,0.543366309,0.545113714,0.546398966,0.54682126,0.54671232,0.560645398,0.560983239,0.562439537,0.565538155,0.570141423,0.582578259,0.588988617,0.595004573,0.599561592,0.602810957,0.602810957,0.602810957
CZE,Czech Republic,1,1,1,1,1,1,1,1,0,0.036221511,0.296976889,0.402230319,0.44965084,0.46339652,0.447054302,0.397450867,0.397450867,0.397450867
DNK,Denmark,0.530724909,0.525156604,0.534249115,0.539179929,0.542989499,0.542546852,0.747708492,0.777321212,0.825148667,0.841627843,0.819919737,0.832424596,0.745817112,0.685132903,0.70284529,0.743817785,0.743817785,0.743817785
DJI,Djibouti,0.539683463,0.510792651,0.509333092,0.508868818,0.509386794,0.510750328,0.512536857,0.514441727,0.516074734,0.516661637,0.516340251,0.51651487,0.516332694,0.516212645,0.516242581,0.516372198,0.516372198,0.516372198
