ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,0.121194145,0.121194145,0.106418562,0.091642954,0.0977705,0.103898086,0.144697857,0.185497589,0.243801661,0.250402769,0.264151374,0.259946273,0.272307251,0.252699479,0.21113502,0.206916321,0.202137941,0.202137941
ALB,Albania,0.349186813,0.349186813,0.379829168,0.410471523,0.423046821,0.435622119,0.463911694,0.492201269,0.511234071,0.506926785,0.506366603,0.51214922,0.518871425,0.532254515,0.525007745,0.522257333,0.516606176,0.516606176
DZA,Algeria,0.246944936,0.246944936,0.235913301,0.224881671,0.241475868,0.258070059,0.267102456,0.276134856,0.272542632,0.336991917,0.34744598,0.312244167,0.297926051,0.300473459,0.289921187,0.295061879,0.294659948,0.294659948
AND,Andorra,,,,,,,,,,,,,,,,,,
AGO,Angola,0.17145733,0.17145733,0.191899157,0.212340987,0.20872333,0.205105659,0.229227495,0.253349341,0.246934395,0.244870088,0.252361146,0.253669069,0.267042137,0.274613326,0.270460164,0.27284323,0.266532783,0.266532783
ATG,Antigua and Barbuda,0.559171715,0.559171715,0.560045004,0.560918298,0.56636284,0.571807387,0.567376864,0.562946346,0.554626083,0.612421357,0.609276131,0.631495093,0.613433768,0.620132793,0.618686358,0.601444478,0.601892663,0.601892663
ARG,Argentina,0.558885703,0.558885703,0.546080759,0.533275812,0.547306669,0.561337524,0.547421378,0.533505227,0.56571503,0.567902759,0.54796794,0.573773966,0.58323627,0.562478113,0.55215101,0.568678135,0.570662786,0.570662786
ARM,Armenia,0.352741083,0.352741083,0.388309705,0.42387833,0.420498133,0.417117939,0.410415184,0.403712426,0.399395282,0.385706798,0.381102371,0.35265587,0.347846225,0.327550087,0.322844012,0.330069805,0.350505285,0.350505285
AUS,Australia,0.792154475,0.792154475,0.789455533,0.786756583,0.794738054,0.80271949,0.793501139,0.784282791,0.786883958,0.80447833,0.804938492,0.781469945,0.776759971,0.77824639,0.779257483,0.786539763,0.786412733,0.786412733
AUT,Austria,0.796987472,0.796987472,0.786242437,0.775497396,0.771327496,0.767157625,0.763149595,0.759141569,0.756954694,0.791023731,0.770786357,0.779269948,0.777857834,0.777295803,0.780824616,0.789371805,0.782486676,0.782486676
AZE,Azerbaijan,0.274907985,0.274907985,0.286869121,0.298830257,0.3138767,0.328923159,0.319362497,0.309801837,0.287642603,0.291099846,0.283697482,0.254056562,0.263232038,0.243000761,0.248718137,0.240435004,0.238549077,0.238549077
BHS,Bahamas,0.711863471,0.711863471,0.717292261,0.722721019,0.727238846,0.731756685,0.732145834,0.732534951,0.710604723,0.704938069,0.69573953,0.709343253,0.72570086,0.730130078,0.702638705,0.69749587,0.695740352,0.695740352
BHR,Bahrain,0.351051081,0.351051081,0.313861394,0.276671702,0.277810717,0.27894972,0.327630591,0.376311486,0.362693597,0.376708658,0.338860589,0.317029805,0.326043168,0.323705162,0.343725035,0.310272506,0.26565274,0.26565274
BGD,Bangladesh ,0.475175409,0.475175409,0.470374942,0.465574477,0.450981206,0.436387938,0.415382838,0.394377747,0.373552627,0.363925699,0.379548335,0.406081924,0.393828176,0.409006685,0.442635725,0.446366104,0.437593547,0.437593547
BRB,Barbados,0.794272406,0.794272406,0.788278198,0.782284017,0.782197213,0.782110406,0.775423789,0.768737172,0.744645297,0.732052788,0.71206804,0.729220371,0.726000266,0.711830673,0.740086883,0.741456744,0.741924147,0.741924147
BLR,Belarus,0.284454835,0.284454835,0.306143761,0.327832667,0.279087591,0.2303425,0.21640048,0.202458436,0.200271327,0.182456462,0.14583611,0.150968533,0.160403212,0.183989898,0.192210343,0.191525753,0.173959063,0.173959063
BEL,Belgium,0.792197806,0.792197806,0.781871772,0.77154575,0.774599147,0.777652558,0.77764554,0.777638549,0.791117833,0.789883458,0.78235255,0.771225522,0.775580445,0.768510388,0.779474335,0.782252724,0.779937378,0.779937378
BLZ,Belize,0.656355882,0.656355882,0.663050961,0.669746037,0.679258275,0.688770491,0.671642852,0.654515224,0.675352398,0.653180103,0.649342454,0.604955366,0.603858825,0.626588816,0.651235605,0.637543544,0.635248959,0.635248959
BEN,Benin,0.523979616,0.523979616,0.546726456,0.569473294,0.571168959,0.572864615,0.53596915,0.499073686,0.547308169,0.520086839,0.502700113,0.568250108,0.569098974,0.561943863,0.564219873,0.5573145,0.540668736,0.540668736
BTN,Bhutan,0.336646423,0.336646423,0.319184995,0.301723576,0.302275395,0.302827206,0.278193593,0.253559969,0.262108851,0.315600669,0.293193354,0.297677423,0.331584165,0.387674132,0.396920676,0.407011831,0.403465286,0.403465286
BOL,"Bolivia, Plurinational State of",0.505102354,0.505102354,0.52891894,0.552735527,0.53288509,0.513034654,0.513213673,0.513392693,0.482445622,0.461170632,0.465611303,0.512519274,0.504680818,0.494418113,0.493054637,0.484684061,0.484337727,0.484337727
BIH,Bosnia and Herzegovina,0.463501129,0.463501129,0.468277919,0.473054706,0.461119926,0.449185147,0.455050337,0.460915534,0.528165536,0.523208318,0.536207929,0.530900226,0.519619048,0.493780639,0.491963282,0.473992913,0.458218333,0.458218333
BWA,Botswana,0.673737276,0.673737276,0.659516096,0.645294911,0.637209618,0.629124325,0.629773712,0.63042312,0.638263296,0.64529201,0.614952028,0.597056854,0.595962886,0.596545412,0.582474152,0.585887379,0.584883611,0.584883611
BRA,Brazil,0.519081313,0.519081313,0.52708309,0.535084868,0.532647979,0.530211091,0.554815161,0.579419235,0.582131975,0.574379902,0.588668229,0.596117112,0.602933922,0.607275267,0.597417219,0.606856789,0.600240187,0.600240187
BRN,Brunei Darussalam,0.360232711,0.360232711,0.351018047,0.341803386,0.34416548,0.346527577,0.331724501,0.316921409,0.315754617,0.328583513,0.326927979,0.281639565,0.295761829,0.301515695,0.347651192,0.365345793,0.374371827,0.374371827
BGR,Bulgaria,0.574493549,0.574493549,0.573584473,0.572675404,0.577226269,0.581777143,0.589535439,0.597293733,0.602283763,0.608834432,0.614950166,0.614010461,0.638083259,0.613901221,0.60396113,0.598004628,0.593347346,0.593347346
BFA,Burkina Faso,0.354690137,0.354690137,0.370436072,0.386182019,0.407342196,0.428502363,0.416867858,0.405233355,0.433966061,0.409207886,0.408365047,0.430070658,0.435640423,0.438736674,0.43771262,0.445725466,0.435555811,0.435555811
BDI,Burundi,0.150031137,0.150031137,0.164047098,0.178063047,0.175831604,0.173600189,0.214255977,0.254911765,0.252040939,0.237116239,0.37234337,0.35068657,0.35277833,0.358980689,0.35800954,0.311588922,0.304105035,0.304105035
KHM,Cambodia,0.328892471,0.328892471,0.322790205,0.316687942,0.325496364,0.334304781,0.340345681,0.346386576,0.307909137,0.322530609,0.297398952,0.3162782,0.316513079,0.307901119,0.320027577,0.316908057,0.318917205,0.318917205
CMR,Cameroon,0.304882755,0.304882755,0.288350415,0.271818056,0.27163825,0.271458457,0.268758488,0.266058493,0.276919426,0.302755565,0.296691345,0.301748241,0.293627377,0.289134307,0.293348963,0.289293895,0.287171756,0.287171756
CAN,Canada,0.823411132,0.823411132,0.823529053,0.823646994,0.820873332,0.818099654,0.81132741,0.804555182,0.805215866,0.835056448,0.799097659,0.783794969,0.777051552,0.783628701,0.787134952,0.776787194,0.782650147,0.782650147
CPV,Cape Verde,0.683027497,0.683027497,0.683067954,0.683108412,0.665442896,0.647777365,0.639895129,0.632012893,0.633143703,0.639367611,0.597212773,0.651582528,0.670204936,0.686410554,0.676676303,0.677411602,0.692104713,0.692104713
CAF,Central African Republic,0.302822219,0.302822219,0.325911403,0.34900058,0.3534639,0.357927212,0.321751094,0.28557496,0.239698448,0.239167439,0.310749264,0.301319087,0.286608505,0.298563659,0.294794264,0.273219644,0.275447394,0.275447394
TCD,Chad,0.285007633,0.285007633,0.287494755,0.289981883,0.291842389,0.293702891,0.30087142,0.308039957,0.280160038,0.261024947,0.248091832,0.213830763,0.206107253,0.206559806,0.217962228,0.227875876,0.229987711,0.229987711
CHL,Chile,0.630736634,0.630736634,0.614464974,0.59819331,0.632941771,0.667690213,0.689477205,0.711264202,0.69570867,0.733282286,0.748813457,0.708705338,0.713895989,0.697944281,0.696646901,0.712315894,0.711550702,0.711550702
CHN,China,0.240498684,0.240498684,0.233263588,0.226028486,0.234139156,0.24224981,0.213777876,0.185305985,0.191707001,0.208994896,0.200813966,0.161243513,0.165208022,0.169274331,0.169380693,0.173536477,0.171277967,0.171277967
COL,Colombia,0.369275092,0.369275092,0.387655509,0.40603592,0.39750253,0.388969134,0.395143962,0.4013188,0.408152423,0.438195487,0.440068678,0.457964545,0.458937622,0.459098242,0.463508687,0.463509795,0.470484339,0.470484339
COM,Comoros,0.384170906,0.384170906,0.390626144,0.397081385,0.332687902,0.268294395,0.343128061,0.417961731,0.386169351,0.390048103,0.374077676,0.44363678,0.406124645,0.429966354,0.426612571,0.40931828,0.408297082,0.408297082
COG,Congo,0.295796674,0.295796674,0.239579749,0.183362821,0.190956831,0.198550867,0.25824368,0.317936502,0.343972416,0.310052376,0.284229663,0.255634364,0.250221804,0.268243874,0.285266218,0.293812132,0.289359516,0.289359516
COD,"Congo, the Democratic Republic of the",,,,,,,,,,,,,,,,,,
CRI,Costa Rica,0.712245102,0.712245102,0.722841358,0.733437605,0.723596525,0.713755409,0.716801858,0.719848291,0.694284431,0.698389304,0.662457628,0.676051809,0.682028608,0.688964637,0.700449602,0.705460177,0.702091889,0.702091889
CIV,C™te d'Ivoire,0.370788911,0.370788911,0.361570644,0.35235238,0.31571002,0.279067671,0.269910765,0.260753905,0.248991537,0.239442043,0.224023748,0.221670417,0.23917525,0.247276408,0.275064909,0.276659414,0.274105837,0.274105837
HRV,Croatia,0.467938738,0.467938738,0.449286091,0.430633435,0.512507117,0.594380801,0.597755599,0.601130389,0.616690929,0.627534703,0.586093082,0.589468436,0.596578851,0.593591889,0.5996389,0.584793043,0.584647884,0.584647884
CUB,Cuba,0.2213831,0.2213831,0.200964451,0.180545822,0.176587677,0.172629536,0.169715023,0.166800482,0.126230917,0.134339339,0.127179168,0.122659972,0.128575835,0.149339122,0.163492809,0.183153015,0.19120858,0.19120858
CYP,Cyprus,0.706117594,0.706117594,0.700349402,0.694581184,0.704437494,0.714293779,0.720819807,0.727345845,0.693713403,0.690017965,0.697409553,0.710181472,0.713977226,0.718104767,0.722562266,0.711962178,0.71551453,0.71551453
