ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
AFG,Afghanistan,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57,35.57
ALB,Albania,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408,4.408
DZA,Algeria,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65,52.65
AND,Andorra,,,,,,,,,,,,,,,,,,
AGO,Angola,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327,0.4327
ATG,Antigua and Barbuda,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
ARG,Argentina,3.511,3.608999968,3.707000017,3.804999828,3.902999878,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001,4.001
ARM,Armenia,37.65,34.58200073,31.51399994,28.44600105,25.37800026,22.31,25.12599945,27.94199944,30.75799942,33.5739975,36.39,36.39,36.39,36.39,36.39,36.39,36.39,36.39
AUS,Australia,4.5,4.515999794,4.532000065,4.547999859,4.56400013,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58
AUT,Austria,4.69,4.691999912,4.693999767,4.696000099,4.697999954,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
AZE,Azerbaijan,36.07,34.66400146,33.25799942,31.85200119,30.44600105,29.04,30.27400017,31.50799942,32.74200058,33.97599792,35.21,35.21,35.21,35.21,35.21,35.21,35.21,35.21
BHS,Bahamas,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
BHR,Bahrain,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8,219.8
BGD,Bangladesh ,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92
BRB,Barbados,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12,76.12
BLR,Belarus,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48
BEL,Belgium,41.62,41.5340004,41.44799805,41.36199951,41.27599716,41.19,39.74599838,38.30199814,36.85800171,35.41400146,33.97,33.97,33.97,33.97,33.97,33.97,33.97,33.97
BLZ,Belize,0.62,0.657999992,0.69599998,0.734000027,0.772000015,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
BEN,Benin,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
BTN,Bhutan,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
BOL,"Bolivia, Plurinational State of",0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
BIH,Bosnia and Herzegovina,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89199996,0.893999994,0.895999968,0.898000002,0.9,0.9,0.9
BWA,Botswana,1.17,1.253999949,1.33799994,1.422000051,1.506000042,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59
BRA,Brazil,0.67,0.680000007,0.689999998,0.700000048,0.710000038,0.72,0.717999995,0.716000021,0.713999987,0.712000012,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
BRN,Brunei Darussalam,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
BGR,Bulgaria,28.79,28.79,28.79,28.79,28.79,28.79,28.94000053,29.09000015,29.24000168,29.3900013,29.54,29.37800026,29.2159996,29.05400085,28.8920002,28.73,28.73,28.73
BFA,Burkina Faso,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88
BDI,Burundi,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
KHM,Cambodia,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
CMR,Cameroon,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
CAN,Canada,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58
CPV,Cape Verde,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77
CAF,Central African Republic,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
TCD,Chad,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
CHL,Chile,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23
CHN,China,18.5,18.60099983,18.70199966,18.8029995,18.90399933,19.00500107,19.1060009,19.20700073,19.30800056,19.4090004,19.51,19.51,19.51,19.51,19.51,19.51,19.51,19.51
COL,Colombia,0.42,0.453999996,0.487999976,0.521999955,0.555999994,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
COM,Comoros,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83
COG,Congo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
