ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.553,0.606,0.620,0.636,0.630,0.632,0.652,0.673,0.673,0.674,0.678,0.711,0.729,0.740,0.758,0.770
DZA,Algeria,0.574,0.558,0.564,0.575,0.592,0.588,0.622,0.670,0.628,0.632,0.600,0.633,0.626,0.635,0.644,0.644
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.356,0.348,0.348,0.359,0.346,0.356,0.378,0.399,0.421,0.443,0.464,0.486,0.518,0.551,0.550,0.570
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.703,0.760,0.767,0.762,0.768,0.758,0.768,0.723,0.631,0.610,0.597,0.621,0.627,0.628,0.612,0.590
ARM,Armenia,0.522,0.533,0.562,0.601,0.611,0.696,0.739,0.767,0.758,0.797,0.794,0.799,0.796,0.809,0.811,0.803
AUS,Australia,0.725,0.723,0.716,0.720,0.727,0.739,0.742,0.747,0.745,0.751,0.752,0.763,0.771,0.785,0.794,0.792
AUT,Austria,0.643,0.637,0.608,0.603,0.585,0.644,0.638,0.628,0.629,0.629,0.635,0.663,0.670,0.664,0.660,0.665
AZE,Azerbaijan,0.372,0.379,0.432,0.522,0.524,0.555,0.579,0.621,0.624,0.615,0.615,0.604,0.619,0.630,0.638,0.666
BHS,Bahamas,0.695,0.723,0.729,0.730,0.732,0.721,0.733,0.728,0.716,0.698,0.695,0.690,0.700,0.687,0.710,0.667
BHR,Bahrain,0.795,0.797,0.793,0.786,0.782,0.787,0.790,0.786,0.781,0.779,0.773,0.784,0.792,0.807,0.790,0.800
BGD,Bangladesh,0.522,0.600,0.584,0.594,0.567,0.554,0.583,0.591,0.586,0.583,0.525,0.600,0.573,0.551,0.539,0.594
BRB,Barbados,0.672,0.686,0.686,0.702,0.685,0.694,0.690,0.718,0.689,0.664,0.659,0.680,0.658,0.680,0.680,0.648
