ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,0.083942144,0.083942144,0.07936945,0.074796756,0.074255649,0.073714558,0.111610476,0.154097779,0.162444101,0.171982713,0.18526642,0.174978185,0.157917754,0.141803474,0.135505454,0.127116266,0.1306987,0.1306987
ALB,Albania,0.348256261,0.348256261,0.353255057,0.358253849,0.369311009,0.380368166,0.397747014,0.41512586,0.431021041,0.427210869,0.419217578,0.418708981,0.448961371,0.472061878,0.472085773,0.462182707,0.44715707,0.44715707
DZA,Algeria,0.25983507,0.25983507,0.236284753,0.21273444,0.23448201,0.256229566,0.253169008,0.250108455,0.261117429,0.312894269,0.359239953,0.331976234,0.324604927,0.324556885,0.31169908,0.313572008,0.30352071,0.30352071
AND,Andorra,,,,,,,,,,,,,,,,,,
AGO,Angola,0.172926061,0.172926061,0.166541592,0.160157103,0.160894275,0.161631447,0.197744417,0.233857395,0.258977187,0.260071461,0.268633057,0.29994081,0.288441282,0.316306231,0.306147386,0.323349617,0.309078174,0.309078174
ATG,Antigua and Barbuda,0.622778244,0.622778244,0.624002854,0.625227469,0.626433967,0.627640462,0.62628481,0.624929153,0.630427607,0.670129873,0.644203355,0.684782077,0.679776554,0.684321304,0.678986982,0.684394827,0.686362508,0.686362508
ARG,Argentina,0.506887958,0.506887958,0.496732932,0.486577904,0.493939618,0.501301335,0.460249285,0.419197233,0.461744385,0.454541363,0.486357837,0.50153437,0.511078164,0.485723675,0.472380475,0.492755511,0.510506481,0.510506481
ARM,Armenia,0.385600428,0.385600428,0.379719333,0.373838244,0.374600196,0.375362157,0.387919935,0.400477713,0.444293064,0.413144072,0.413912215,0.392839676,0.408404286,0.399031857,0.417355847,0.400192636,0.402295171,0.402295171
AUS,Australia,0.81167343,0.81167343,0.796538544,0.781403662,0.798402198,0.81540073,0.80070111,0.786001483,0.782045229,0.803044363,0.79212038,0.78764572,0.790055239,0.794230337,0.779801639,0.785822688,0.797265231,0.797265231
AUT,Austria,0.816494308,0.816494308,0.809006818,0.801519326,0.786917067,0.772314809,0.791910275,0.811505745,0.78875981,0.812057679,0.79493987,0.798402066,0.818227673,0.809668426,0.790791213,0.780906934,0.769139835,0.769139835
AZE,Azerbaijan,0.280389713,0.280389713,0.29106191,0.301734103,0.304874158,0.308014218,0.293838493,0.279662781,0.298766159,0.283336305,0.287125728,0.279761899,0.310555299,0.323025756,0.315529457,0.311230282,0.299850674,0.299850674
BHS,Bahamas,0.716048311,0.716048311,0.723127635,0.730206951,0.739463488,0.748720028,0.741203356,0.733686674,0.717317931,0.722828992,0.71763611,0.718416177,0.716622245,0.721970042,0.716431408,0.722498307,0.730404373,0.730404373
BHR,Bahrain,0.433474421,0.433474421,0.424038421,0.414602419,0.43224994,0.449897456,0.485956487,0.522015522,0.512196004,0.513065968,0.47535663,0.428911332,0.44233511,0.441974461,0.45748951,0.425825256,0.394493454,0.394493454
BGD,Bangladesh,0.401677064,0.401677064,0.415071746,0.428466431,0.396644082,0.364821738,0.339379263,0.313936787,0.290785855,0.263019323,0.243157896,0.27699992,0.29603107,0.303533529,0.30959987,0.32033424,0.312981261,0.312981261
BRB,Barbados,0.752798152,0.752798152,0.752353561,0.75190898,0.753985858,0.756062737,0.749389927,0.742717107,0.72984948,0.736939845,0.734624888,0.722973715,0.736665463,0.731134714,0.740452989,0.749227445,0.784447798,0.784447798
BLR,Belarus,0.366301374,0.366301374,0.383946179,0.401590976,0.390928911,0.380266843,0.371920325,0.363573796,0.39704663,0.342957575,0.346300059,0.350346668,0.362004169,0.38506689,0.383670973,0.338231583,0.323003167,0.323003167
BEL,Belgium,0.765716768,0.765716768,0.75474325,0.74376973,0.751814596,0.759859465,0.763727347,0.767595242,0.74651503,0.734210923,0.736483432,0.730334203,0.729225937,0.718758992,0.743232541,0.747153051,0.757380197,0.757380197
BLZ,Belize,0.581982269,0.581982269,0.581412976,0.580843681,0.568731767,0.556619847,0.557045444,0.557471046,0.580460359,0.562049802,0.538470225,0.512446414,0.520251104,0.531723133,0.549483298,0.5441231,0.532100595,0.532100595
BEN,Benin,0.510015995,0.510015995,0.518603815,0.527191638,0.533187004,0.539182366,0.51752162,0.495860876,0.52092284,0.490771285,0.465719254,0.518460845,0.516530574,0.509737505,0.503267527,0.486772359,0.486834784,0.486834784
BTN,Bhutan,0.516467037,0.516467037,0.513716292,0.510965547,0.499057023,0.487148504,0.491758406,0.496368305,0.531499418,0.557797173,0.567642428,0.563613827,0.534124597,0.563582982,0.574702356,0.57619817,0.575331132,0.575331132
BOL,Bolivia,0.425557583,0.425557583,0.455829171,0.486100758,0.472585977,0.459071198,0.437079276,0.415087349,0.383426866,0.390063521,0.372986878,0.420269611,0.418980923,0.415987051,0.418927423,0.432913936,0.430271118,0.430271118
BIH,Bosnia and Herzegovina,0.42215461,0.42215461,0.426573481,0.430992346,0.421383699,0.41177505,0.429511464,0.447247879,0.46185137,0.484212153,0.468101694,0.463250402,0.441470258,0.44072656,0.429224363,0.423223478,0.404310773,0.404310773
BWA,Botswana,0.658195466,0.658195466,0.65605826,0.653921055,0.652220845,0.650520641,0.643492973,0.636465308,0.70071084,0.665669701,0.684338848,0.651083718,0.655955487,0.660503644,0.650356197,0.657837355,0.662393657,0.662393657
BRA,Brazil,0.484617677,0.484617677,0.486160345,0.487703014,0.505809237,0.52391546,0.534899038,0.545882616,0.533329975,0.509467612,0.502851623,0.508574707,0.505142715,0.518346121,0.540425603,0.54467258,0.542582612,0.542582612
BRN,Brunei Darussalam,0.566255916,0.566255916,0.55383298,0.54141004,0.54922721,0.557044373,0.54381175,0.530579124,0.534386703,0.563402832,0.544073381,0.521904181,0.526072083,0.544294898,0.605370419,0.594766901,0.58908,0.58908
BGR,Bulgaria,0.458917677,0.458917677,0.501391668,0.543865655,0.540164417,0.536463182,0.541031387,0.545599592,0.538632061,0.541251455,0.55109898,0.55952775,0.555530953,0.541966217,0.545018405,0.545152686,0.540092724,0.540092724
BFA,Burkina Faso,0.438775697,0.438775697,0.435644773,0.432513853,0.449104228,0.465694602,0.453640208,0.441585814,0.476902503,0.451899494,0.457946804,0.466622389,0.475638361,0.465181298,0.454930847,0.447167552,0.418009574,0.418009574
BDI,Burundi,0.141408187,0.141408187,0.147499879,0.153591563,0.166860199,0.180128823,0.187869573,0.195610327,0.193672696,0.181021734,0.296971936,0.286461129,0.288709705,0.276763946,0.297077661,0.260528036,0.239025638,0.239025638
KHM,Cambodia,0.301751896,0.301751896,0.291075766,0.280399632,0.305211639,0.330023633,0.329351461,0.328679289,0.325214336,0.343584424,0.324625677,0.33032723,0.338251617,0.332372091,0.320065643,0.316553742,0.336732317,0.336732317
CMR,Cameroon,0.286502734,0.286502734,0.293469874,0.300437005,0.308083908,0.315730827,0.308311303,0.300891765,0.335387855,0.335318589,0.343777438,0.345457852,0.342983956,0.328494346,0.344986121,0.323914072,0.323806749,0.323806749
CAN,Canada,0.831477238,0.831477238,0.824616019,0.817754821,0.823094106,0.828433382,0.823419126,0.818404889,0.806826407,0.791802851,0.777381427,0.792412441,0.790194642,0.795105177,0.807452564,0.791504642,0.795576366,0.795576366
CPV,Cape Verde,0.602936805,0.602936805,0.60524604,0.607555271,0.619840991,0.632126704,0.62242746,0.612728219,0.624192658,0.635446072,0.607186665,0.657235194,0.669200031,0.669075545,0.665096315,0.668192472,0.664919896,0.664919896
CAF,Central African Republic,0.25102574,0.25102574,0.273377204,0.295728669,0.291427664,0.287126654,0.258528622,0.229930574,0.226194962,0.230896242,0.261639696,0.244598297,0.241573711,0.245512981,0.233868911,0.223423161,0.232955914,0.232955914
TCD,Chad,0.293007912,0.293007912,0.283212813,0.273417731,0.283357962,0.293298203,0.276890377,0.260482555,0.248496866,0.235156276,0.227639812,0.194838707,0.186589965,0.169877018,0.207613324,0.222408829,0.240446468,0.240446468
CHL,Chile,0.681678338,0.681678338,0.652157263,0.622636188,0.655146065,0.687655943,0.714321748,0.740987562,0.702139067,0.714744408,0.737668969,0.702440511,0.685930643,0.68230949,0.694734473,0.713280302,0.712427979,0.712427979
CHN,China,0.385276099,0.385276099,0.374227188,0.363178279,0.371357613,0.379536943,0.353182163,0.326827401,0.331061882,0.341407705,0.325347484,0.315423534,0.314415678,0.320130335,0.3170751,0.299549971,0.302560998,0.302560998
COL,Colombia,0.317429079,0.317429079,0.32015908,0.322889086,0.326079094,0.329269102,0.32475449,0.320239879,0.299451598,0.327893155,0.337061369,0.356286015,0.355276091,0.349311517,0.35128657,0.36283451,0.387324853,0.387324853
COM,Comoros,0.424994284,0.424994284,0.415909761,0.406825227,0.373727647,0.340630058,0.386738626,0.432847195,0.360863727,0.400350186,0.379157005,0.417513984,0.354236455,0.35405507,0.37446726,0.387246235,0.392219296,0.392219296
