ISO3,name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AFG,Afghanistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALB,Albania,0.446376133,0.468236229,0.444895759,0.423897804,0.427638964,0.434315338,0.456320529,0.480571164,0.490728709,0.494725688,0.506873552,0.533884407,0.553761363,0.576169849,0.585111745,0.592032072
DZA,Algeria,0.357887868,0.352894456,0.350977407,0.354873182,0.372083615,0.380580532,0.403323489,0.433075424,0.42671511,0.449183191,0.464700122,0.487040864,0.496158493,0.502297263,0.509897685,0.510603159
AND,Andorra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AGO,Angola,0.23517751,0.230005913,0.227383902,0.229612056,0.219114612,0.218305641,0.246545774,0.274832507,0.296347149,0.305736046,0.319535585,0.344644004,0.36150498,0.385616543,0.391427418,0.401019185
ATG,Antigua and Barbuda,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARG,Argentina,0.572751741,0.598170242,0.603281749,0.602383896,0.606077779,0.610026695,0.59322585,0.552404125,0.556161537,0.556279811,0.570438521,0.602772339,0.609717024,0.600709576,0.59227872,0.583809449
ARM,Armenia,0.432815403,0.437728146,0.435618603,0.445897285,0.452991763,0.483306652,0.507268007,0.526473285,0.535002342,0.546419433,0.560568612,0.581377285,0.602955766,0.635706229,0.641828974,0.639936938
AUS,Australia,0.740937741,0.748683231,0.754689286,0.759101134,0.766522459,0.7798863,0.788050637,0.796774529,0.799125982,0.813485074,0.813700614,0.817898135,0.825925603,0.835264085,0.834605172,0.83276532
AUT,Austria,0.679703599,0.685729319,0.68067756,0.690462756,0.698020211,0.736115934,0.740040721,0.726235216,0.728656019,0.734311423,0.733327426,0.747411016,0.755654175,0.758999929,0.750421933,0.749625788
AZE,Azerbaijan,0.328230828,0.329891888,0.350216858,0.383045154,0.385072526,0.395275563,0.40896319,0.427405618,0.427137415,0.421483384,0.432599804,0.433609865,0.455228052,0.476531233,0.504812356,0.513865878
