name,ISO3,business,finan,fiscal,gov_spend,invest,monetary,trade,non_violence,voice_accountability,corruption,mobiles,enrollment,rule_of_law,labor,economic,governance,social,readiness
Afghanistan,AFG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.225585445,0.189100963,0.44291253,0.050936773,0.095138524,#N/A,,,,
Albania,ALB,0.68,0.7,0.926,0.742,0.7,0.787,0.858,0.485952871,0.531201208,0.421353704,1,0.242203532,0.397930311,0.521,#N/A,0.138228803,#N/A,#N/A
Algeria,DZA,0.712,0.3,0.835,0.734,0.45,0.772,0.707,0.262951439,0.293304595,0.402868872,1,0.433013837,0.355151041,0.564,0.770428571,0.479502594,0.540283461,0.592032072
Andorra,AND,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.762550198,0.77162952,0.768515037,0.817106847,0.141776092,0.745422855,#N/A,0.644285714,0.319708302,0.58804122,0.510603159
Angola,AGO,0.434,0.4,0.851,0.628,0.35,0.626,0.704,0.452299702,0.27392429,0.235348059,0.482243516,0.03664268,0.263649305,0.452,#N/A,0.767564918,#N/A,#N/A
Antigua and Barbuda,ATG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.648981057,0.600529825,0.768515037,1,0.210251,0.694968929,#N/A,0.570428571,0.320524017,0.308633875,0.401019185
Argentina,ARG,0.621,0.3,0.695,0.756,0.45,0.612,0.695,0.496818525,0.549498273,0.403651392,1,0.909564144,0.368651723,0.501,#N/A,0.672675306,#N/A,#N/A
Armenia,ARM,0.834,0.7,0.893,0.909,0.75,0.729,0.805,0.517818238,0.336791969,0.383053826,0.93481862,0.709227373,0.421128853,0.706,0.589857143,0.48332273,0.694803967,0.583809449
Australia,AUS,0.903,0.9,0.614,0.649,0.8,0.827,0.851,0.665295483,0.775813905,0.901973782,1,1,0.84194773,0.949,0.802857143,0.412554678,0.692793712,0.639936938
Austria,AUT,0.736,0.7,0.512,0.288,0.75,0.793,0.875,0.723314043,0.772097667,0.847125271,1,0.750372755,0.848165265,0.791,0.792,0.781027723,0.947736933,0.83276532
Azerbaijan,AZE,0.746,0.4,0.795,0.775,0.55,0.627,0.771,0.422622666,0.262086652,0.28227953,0.971727005,0.26953047,0.339090363,0.825,0.664857143,0.78084566,0.847384505,0.749625788
Bahamas,BHS,0.734,0.7,0.952,0.836,0.3,0.727,0.422,0.674831681,0.696450151,0.772410026,1,0.213832143,0.658041968,0.81,0.666285714,0.322329616,0.60133696,0.513865878
Bahrain,BHR,0.778,0.8,0.999,0.808,0.65,0.734,0.829,0.482413275,0.336540499,0.558848613,1,0.242526182,0.600502253,0.894,0.667285714,0.714563953,0.670468528,0.658968387
Bangladesh,BGD,0.594,0.2,0.728,0.939,0.45,0.666,0.58,0.193605481,0.426515816,0.309670624,0.341756501,0.111154089,0.357046143,0.538,0.799714286,0.459267462,0.684257109,0.636619868
