"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"AFG","Afghanistan",,,,,,,,,,,,,,,,"#N/A"
"ALB","Albania",,,,,,,,,,,,,,,,0.592
"DZA","Algeria",,,,,,,,,,,,,,,,0.511
"AND","Andorra",,,,,,,,,,,,,,,,"#N/A"
"AGO","Angola",,,,,,,,,,,,,,,,0.401
"ATG","Antigua and Barbuda",,,,,,,,,,,,,,,,"#N/A"
"ARG","Argentina",,,,,,,,,,,,,,,,0.584
"ARM","Armenia",,,,,,,,,,,,,,,,0.64
"AUS","Australia",,,,,,,,,,,,,,,,0.833
"AUT","Austria",,,,,,,,,,,,,,,,0.75
"AZE","Azerbaijan",,,,,,,,,,,,,,,,0.514
"BHS","Bahamas",,,,,,,,,,,,,,,,0.659
"BHR","Bahrain",,,,,,,,,,,,,,,,0.637
"BGD","Bangladesh",,,,,,,,,,,,,,,,0.421
"BRB","Barbados",,,,,,,,,,,,,,,,0.71
"BLR","Belarus",,,,,,,,,,,,,,,,0.542
"BEL","Belgium",,,,,,,,,,,,,,,,0.743
"BLZ","Belize",,,,,,,,,,,,,,,,0.556
"BEN","Benin",,,,,,,,,,,,,,,,0.505
"BTN","Bhutan",,,,,,,,,,,,,,,,0.511
"BOL","Bolivia",,,,,,,,,,,,,,,,0.492
"BIH","Bosnia and Herzegovina",,,,,,,,,,,,,,,,0.567
"BWA","Botswana",,,,,,,,,,,,,,,,0.639
"BRA","Brazil",,,,,,,,,,,,,,,,0.578
"BRN","Brunei Darussalam",,,,,,,,,,,,,,,,"#N/A"
"BGR","Bulgaria",,,,,,,,,,,,,,,,0.65
"BFA","Burkina Faso",,,,,,,,,,,,,,,,0.492
"BDI","Burundi",,,,,,,,,,,,,,,,0.362
"KHM","Cambodia",,,,,,,,,,,,,,,,0.454
"CMR","Cameroon",,,,,,,,,,,,,,,,0.431
"CAN","Canada",,,,,,,,,,,,,,,,0.793
"CPV","Cape Verde",,,,,,,,,,,,,,,,0.603
"CAF","Central African Republic",,,,,,,,,,,,,,,,0.354
"TCD","Chad",,,,,,,,,,,,,,,,0.344
"CHL","Chile",,,,,,,,,,,,,,,,0.756
"CHN","China",,,,,,,,,,,,,,,,0.462
