ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,Afghanistan,0.18125426,0.18125426,0.181840187,0.182426128,0.181395925,0.180365725,0.180366283,0.18053539,0.18836794,0.188287884,0.193037215,0.187425186,0.203325039,0.222052823,0.248270326,0.252285305,0.249709176,0.249709176
ALB,Albania,0.235000041,0.239658213,0.24025346,0.236925912,0.242968216,0.246546594,0.278504334,0.314574492,0.330557977,0.360014848,0.388023714,0.429825127,0.471649819,0.507159652,0.525279469,0.573918018,0.594583236,0.591249902
DZA,Algeria,0.230509221,0.236990734,0.241254344,0.245485172,0.249870395,0.254540955,0.278225909,0.307251399,0.321401717,0.342995966,0.39310751,0.438867971,0.478429547,0.487237556,0.522759359,0.517356013,0.522025058,0.519025058
AND,Andorra,,,,,,,,,,,,,,,,,,
AGO,Angola,0.135744693,0.135763234,0.133612355,0.131444754,0.13356438,0.136207738,0.138158106,0.14026215,0.158875929,0.164223196,0.177470941,0.202196373,0.209952435,0.231619232,0.258125678,0.258621619,0.261937234,0.263437234
ATG,Antigua and Barbuda,0.369804526,0.369804526,0.371683967,0.3735535,0.392368079,0.428913919,0.436517188,0.472179015,0.490696299,0.503166124,0.539324369,0.565070031,0.56396501,0.562620135,0.565300214,0.572264321,0.559126793,0.559126793
ARG,Argentina,0.463643784,0.464990415,0.469459234,0.470281898,0.47952977,0.511795368,0.516954032,0.514029734,0.532252531,0.561313347,0.61264749,0.669940038,0.682887281,0.691858426,0.705419056,0.707701017,0.710813508,0.708313508
ARM,Armenia,0.3159352,0.315952713,0.311530322,0.337671427,0.355607499,0.352756032,0.36246074,0.376141569,0.376029461,0.379518462,0.405010984,0.478126275,0.525411995,0.57091174,0.624049306,0.67405732,0.666955791,0.667789124
AUS,Australia,0.777266784,0.794645023,0.802907862,0.796335557,0.799752647,0.81646799,0.84282343,0.879354116,0.899050508,0.915546625,0.924977717,0.939485715,0.941675839,0.941681238,0.940812673,0.938228797,0.936273204,0.92443987
AUT,Austria,0.634160961,0.650947931,0.674130392,0.71422096,0.767752624,0.819046194,0.830253149,0.787283394,0.798672196,0.802538476,0.80533816,0.812125639,0.828651626,0.858388934,0.870385505,0.907963852,0.908929769,0.912763102
