"ISO3","name",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"AFG","Afghanistan","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ALB","Albania",0.293,0.296,0.258,0.224,0.235,0.246,0.275,0.309,0.32,0.354,0.376,0.404,0.428,0.46,0.46,0.467
"DZA","Algeria",0.2,0.206,0.214,0.223,0.234,0.247,0.268,0.296,0.313,0.339,0.393,0.443,0.484,0.492,0.523,0.523
"AND","Andorra","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"AGO","Angola",0.125,0.125,0.124,0.123,0.123,0.124,0.133,0.143,0.158,0.166,0.178,0.204,0.218,0.227,0.253,0.256
"ATG","Antigua and Barbuda","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ARG","Argentina",0.451,0.459,0.469,0.476,0.486,0.518,0.508,0.491,0.535,0.563,0.616,0.676,0.687,0.677,0.675,0.676
"ARM","Armenia",0.315,0.318,0.309,0.331,0.349,0.346,0.357,0.371,0.371,0.374,0.4,0.471,0.532,0.629,0.647,0.65
"AUS","Australia",0.751,0.774,0.782,0.77,0.78,0.804,0.836,0.868,0.888,0.908,0.921,0.926,0.937,0.941,0.94,0.939
"AUT","Austria",0.61,0.631,0.654,0.694,0.75,0.804,0.819,0.781,0.795,0.801,0.807,0.814,0.818,0.842,0.837,0.831
"AZE","Azerbaijan",0.284,0.283,0.278,0.266,0.278,0.279,0.296,0.305,0.315,0.323,0.345,0.354,0.384,0.427,0.512,0.502
"BHS","Bahamas",0.392,0.396,0.416,0.437,0.446,0.459,0.482,0.523,0.525,0.563,0.588,0.587,0.621,0.617,0.592,0.592
"BHR","Bahrain",0.309,0.315,0.347,0.383,0.4,0.418,0.448,0.477,0.485,0.543,0.534,0.523,0.528,0.525,0.592,0.597
"BGD","Bangladesh",0.219,0.221,0.221,0.222,0.228,0.233,0.239,0.241,0.234,0.233,0.251,0.272,0.291,0.297,0.301,0.303
"BRB","Barbados","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"BLR","Belarus",0.4,0.412,0.426,0.45,0.456,0.461,0.469,0.481,0.507,0.54,0.6,0.626,0.667,0.705,0.722,0.746
"BEL","Belgium",0.61,0.627,0.634,0.646,0.679,0.733,0.777,0.793,0.808,0.825,0.825,0.826,0.834,0.84,0.836,0.824
"BLZ","Belize",0.339,0.344,0.317,0.292,0.302,0.317,0.328,0.332,0.354,0.357,0.369,0.389,0.403,0.426,0.419,0.419
"BEN","Benin",0.227,0.228,0.238,0.248,0.247,0.248,0.253,0.258,0.249,0.252,0.26,0.272,0.288,0.321,0.335,0.33
"BTN","Bhutan",0.194,0.196,0.253,0.31,0.311,0.315,0.315,0.318,0.336,0.344,0.36,0.373,0.392,0.428,0.438,0.435
"BOL","Bolivia",0.336,0.34,0.354,0.367,0.383,0.398,0.414,0.422,0.437,0.44,0.425,0.43,0.396,0.412,0.464,0.456
