ISO3,name,value,sign
AFG,Afghanistan,#N/A,#N/A
ALB,Albania,1.701018869,1
DZA,Algeria,0.406180628,0
AND,Andorra,#N/A,#N/A
AGO,Angola,2.596224093,1
ATG,Antigua and Barbuda,#N/A,#N/A
ARG,Argentina,-0.254185732,0
ARM,Armenia,2.100133598,1
AUS,Australia,0.393197735,0
AUT,Austria,0.34311699,0
AZE,Azerbaijan,3.036789372,1
BHS,Bahamas,-0.125229932,0
BHR,Bahrain,0.740779047,0
BGD,Bangladesh,1.066678332,1
BRB,Barbados,#N/A,#N/A
BLR,Belarus,1.89279916,1
BEL,Belgium,-0.862673973,0
BLZ,Belize,0.951430385,0
BEN,Benin,1.652685285,1
BTN,Bhutan,0.825949367,0
BOL,Bolivia,0.074713662,0
BIH,Bosnia and Herzegovina,1.034176628,1
BWA,Botswana,0.87102022,0
BRA,Brazil,1.438853213,1
BRN,Brunei Darussalam,#N/A,#N/A
BGR,Bulgaria,0.506262451,0
BFA,Burkina Faso,1.895041298,1
BDI,Burundi,0.756430828,0
KHM,Cambodia,1.659220453,1
CMR,Cameroon,0.369762645,0
CAN,Canada,0.35256693,0
CPV,Cape Verde,3.058687637,1
CAF,Central African Republic,-0.12054481,0
TCD,Chad,-0.248961855,0
CHL,Chile,-0.215021848,0
CHN,China,0.95541636,0
COL,Colombia,2.006382997,1
COM,Comoros,0.340655894,0
COG,Congo,1.982835307,1
COD,"Congo,DRC",#N/A,#N/A
CRI,Costa Rica,0.706816134,0
CIV,Cªte d'Ivoire,1.912794724,1
HRV,Croatia,1.49283352,1
CUB,Cuba,-0.12125645,0
CYP,Cyprus,1.006011461,0
CZE,Czech Republic,0.185544815,0
DNK,Denmark,0.569896715,0
DJI,Djibouti,1.648477231,1
DMA,Dominica,-0.532122737,0
DOM,Dominican Republic,1.82466039,1
ECU,Ecuador,0.3324539,0
EGY,Egypt,2.201260129,1
SLV,El Salvador,1.056584051,1
GNQ,Equatorial Guinea,0.687687196,0
ERI,Eritrea,0.464069437,0
EST,Estonia,-0.863307986,0
ETH,Ethiopia,0.032312091,0
FJI,Fiji,-1.022529421,-1
FIN,Finland,0.119498754,0
FRA,France,0.016328692,0
GAB,Gabon,0.86972019,0
GMB,Gambia,1.847554106,1
GEO,Georgia,-0.99060679,0
DEU,Germany,-1.093216789,-1
GHA,Ghana,2.365942352,1
GRC,Greece,-0.619855193,0
GRD,Grenada,#N/A,#N/A
GTM,Guatemala,1.016516132,1
GIN,Guinea,0.787016707,0
GNB,Guinea-Bissau,0.12141021,0
GUY,Guyana,-0.514754486,0
HTI,Haiti,#N/A,#N/A
HND,Honduras,1.39814591,1
HUN,Hungary,-1.011114715,-1
ISL,Iceland,-1.221813011,-1
IND,India,1.107928717,1
IDN,Indonesia,2.887291507,1
IRN,"Iran, Islamic Republic of",0.86144434,0
IRQ,Iraq,#N/A,#N/A
IRL,Ireland,-1.312807413,-1
ISR,Israel,0.476233379,0
ITA,Italy,-0.32607792,0
JAM,Jamaica,0.16662253,0
JPN,Japan,0.074499338,0
JOR,Jordan,0.775655202,0
KAZ,Kazakhstan,0.916032308,0
KEN,Kenya,-0.059368183,0
KIR,Kiribati,#N/A,#N/A
PRK,"Korea, Democratic People's Republic of",#N/A,#N/A
KOR,"Korea, Republic of",0.371919415,0
KWT,Kuwait,-0.695779985,0
KGZ,Kyrgyzstan,2.316249645,1
LAO,Laos,2.286366695,1
LVA,Latvia,-1.582243984,-1
LBN,Lebanon,0.093394092,0
LSO,Lesotho,-0.630394263,0
LBR,Liberia,0.549092479,0
LBY,Libyan Arab Jamahiriya,2.60160294,1
LIE,Liechtenstein,#N/A,#N/A
LTU,Lithuania,-1.207032618,-1
LUX,Luxembourg,-0.525918177,0
MDG,Madagascar,-0.143631946,0
MWI,Malawi,0.363330483,0
MYS,Malaysia,0.512523713,0
MDV,Maldives,#N/A,#N/A
