ISO3,Name,Value,Trend,,,,,,,,,,,,,,
AFG,Afghanistan,,,,,,,,,,,,,,,,
ALB,Albania,,,,,,,,,,,,,,,,
DZA,Algeria,,,,,,,,,,,,,,,,
AND,Andorra,0.001495513,1,,,,,,,,,,,,,,
AGO,Angola,0.010953886,1,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,0.104766398,1,,,,,,,,,,,,,,
ARG,Argentina,0.025888296,1,,,,,,,,,,,,,,
ARM,Armenia,,,,,,,,,,,,,,,,
AUS,Australia,0.115684245,1,,,,,,,,,,,,,,
AUT,Austria,,,,,,,,,,,,,,,,
AZE,Azerbaijan,-0.001218301,-1,,,,,,,,,,,,,,
BHS,Bahamas,0.082249449,1,,,,,,,,,,,,,,
BHR,Bahrain,0.00968005,1,,,,,,,,,,,,,,
BGD,Bangladesh,0.023573183,1,,,,,,,,,,,,,,
BRB,Barbados,0.143149201,1,,,,,,,,,,,,,,
BLR,Belarus,-0.005718798,-1,,,,,,,,,,,,,,
BEL,Belgium,0.037892183,1,,,,,,,,,,,,,,
BLZ,Belize,0.080826738,1,,,,,,,,,,,,,,
BEN,Benin,0.022794644,1,,,,,,,,,,,,,,
BTN,Bhutan,0.077488774,1,,,,,,,,,,,,,,
BOL,Bolivia,0.010337608,1,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,0.023654541,1,,,,,,,,,,,,,,
BWA,Botswana,0.070888024,1,,,,,,,,,,,,,,
BRA,Brazil,0.043037512,1,,,,,,,,,,,,,,
BRN,Brunei Darussalam,0.003389253,1,,,,,,,,,,,,,,
BGR,Bulgaria,0.032687424,1,,,,,,,,,,,,,,
BFA,Burkina Faso,0.047482542,1,,,,,,,,,,,,,,
BDI,Burundi,0.037130051,1,,,,,,,,,,,,,,
KHM,Cambodia,,,,,,,,,,,,,,,,
CMR,Cameroon,0.020292867,1,,,,,,,,,,,,,,
CAN,Canada,0.072196318,1,,,,,,,,,,,,,,
CPV,Cape Verde,0.039280244,1,,,,,,,,,,,,,,
CAF,Central African Republic,0.067446597,1,,,,,,,,,,,,,,
TCD,Chad,0.00263055,1,,,,,,,,,,,,,,
CHL,Chile,0.026906654,1,,,,,,,,,,,,,,
CHN,China,0.098135128,1,,,,,,,,,,,,,,
COL,Colombia,-0.004015777,-1,,,,,,,,,,,,,,
COM,Comoros,-0.013635417,-1,,,,,,,,,,,,,,
COG,Congo,0.031044558,1,,,,,,,,,,,,,,
COD,"Congo,DRC",0.028795253,1,,,,,,,,,,,,,,
CRI,Costa Rica,0.085950454,1,,,,,,,,,,,,,,
CIV,Cªte d'Ivoire,0.029989384,1,,,,,,,,,,,,,,
HRV,Croatia,0.133136487,1,,,,,,,,,,,,,,
CUB,Cuba,-0.006650663,-1,,,,,,,,,,,,,,
CYP,Cyprus,0.054826895,1,,,,,,,,,,,,,,
CZE,Czech Republic,0.090831224,1,,,,,,,,,,,,,,
DNK,Denmark,0.049323453,1,,,,,,,,,,,,,,
DJI,Djibouti,0.02608071,1,,,,,,,,,,,,,,
DMA,Dominica,0.043822511,1,,,,,,,,,,,,,,
DOM,Dominican Republic,0.040139099,1,,,,,,,,,,,,,,
ECU,Ecuador,0.005961978,1,,,,,,,,,,,,,,
EGY,Egypt,0.072469741,1,,,,,,,,,,,,,,
SLV,El Salvador,0.005561242,1,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,0.060029013,1,,,,,,,,,,,,,,
ERI,Eritrea,-0.007578107,-1,,,,,,,,,,,,,,
EST,Estonia,0.114416452,1,,,,,,,,,,,,,,
ETH,Ethiopia,0.036018967,1,,,,,,,,,,,,,,
FJI,Fiji,0.003233979,1,,,,,,,,,,,,,,
FIN,Finland,-0.020496846,-1,,,,,,,,,,,,,,
FRA,France,-0.014634206,-1,,,,,,,,,,,,,,
GAB,Gabon,-0.007502949,-1,,,,,,,,,,,,,,
GMB,Gambia,0.037250236,1,,,,,,,,,,,,,,
GEO,Georgia,-0.001856379,-1,,,,,,,,,,,,,,
DEU,Germany,0.020110982,1,,,,,,,,,,,,,,
GHA,Ghana,0.03197296,1,,,,,,,,,,,,,,
GRC,Greece,0.046913114,1,,,,,,,,,,,,,,
GRD,Grenada,0.010770752,1,,,,,,,,,,,,,,
GTM,Guatemala,-0.001926233,-1,,,,,,,,,,,,,,
GIN,Guinea,0.087011624,1,,,,,,,,,,,,,,
GNB,Guinea-Bissau,-0.019689719,-1,,,,,,,,,,,,,,
GUY,Guyana,,,,,,,,,,,,,,,,
HTI,Haiti,0.040399837,1,,,,,,,,,,,,,,
HND,Honduras,0.035192514,1,,,,,,,,,,,,,,
HUN,Hungary,-0.014856645,-1,,,,,,,,,,,,,,
ISL,Iceland,-0.013370532,-1,,,,,,,,,,,,,,
IND,India,0.104217397,1,,,,,,,,,,,,,,
IDN,Indonesia,0.055059361,1,,,,,,,,,,,,,,
IRN,"Iran, Islamic Republic of",-0.020033501,-1,,,,,,,,,,,,,,
IRQ,Iraq,-0.025200747,-1,,,,,,,,,,,,,,
